lat,lon,depth
38.9973,-120.5950,403.4387
38.9980,-120.2778,411.6051
38.9983,-120.0217,424.8994
38.9985,-119.7673,436.9953
39.2006,-120.9788,275.9588
39.2002,-120.6824,288.5562
39.2003,-120.4991,310.6742
39.2007,-120.3736,338.2149
39.1999,-120.3297,374.6499
39.1987,-120.2085,403.4089
39.1982,-119.9554,416.5417
39.1973,-119.7372,432.7280
39.4006,-121.9559,95.1620
39.4000,-121.8000,116.7476
39.3997,-121.6789,142.7539
39.3999,-121.5653,170.2544
39.4003,-121.4535,198.8177
39.4007,-121.3048,225.1383
39.4005,-121.1187,248.5581
39.4001,-120.9388,272.1989
39.3999,-120.7484,294.4623
39.3999,-120.5236,312.9178
39.3999,-120.3978,340.4913
39.3995,-120.2722,368.1962
39.3989,-120.1391,395.2057
39.3987,-119.9026,409.8518
39.3984,-119.6870,425.9244
39.6011,-122.0824,112.0828
39.6007,-121.9021,127.8189
39.6003,-121.7663,150.9857
39.5999,-121.5657,170.2549
39.5993,-121.4202,195.9807
39.5987,-121.2716,222.2974
39.5988,-121.1027,247.1186
39.5991,-120.8982,268.5438
39.5993,-120.7004,289.9931
39.5992,-120.5166,312.1562
39.5988,-120.3990,340.4906
39.5989,-120.2213,362.6063
39.5989,-120.0832,388.6724
39.5992,-119.8628,404.8463
39.5996,-119.6621,422.5227
39.8016,-122.0444,106.5365
39.8021,-121.9179,129.0228
39.8010,-121.7915,153.0329
39.7998,-121.6169,174.5295
39.7981,-121.4898,201.6995
39.7969,-121.2896,223.9064
39.7978,-121.0861,245.8643
39.7988,-120.8654,265.7211
39.7989,-120.7012,290.0483
39.7989,-120.4857,309.1515
39.7983,-120.3459,335.0948
39.7986,-120.1774,357.8724
39.7990,-120.0124,380.5353
39.7996,-119.8087,398.1820
39.8004,-119.6298,418.2631
39.9999,-121.9044,127.1010
39.9998,-121.7686,150.6551
39.9997,-121.6348,175.9294
39.9996,-121.5087,203.1459
39.9996,-121.2905,224.1599
39.9997,-121.1031,247.4927
39.9997,-120.8992,268.7275
39.9996,-120.6938,289.3408
39.9997,-120.4707,307.6573
39.9996,-120.2927,329.7068
39.9995,-120.1407,353.9318
39.9995,-119.9415,372.3785
39.9995,-119.7270,388.1628
39.9995,-119.5252,404.6314
40.1977,-122.0639,109.0682
40.1984,-121.8889,125.8738
40.1989,-121.7685,150.7997
40.1998,-121.6265,175.2505
40.2011,-121.5087,203.1126
40.2025,-121.3085,225.3268
40.2014,-121.0878,245.8670
40.2005,-120.8837,267.1842
40.2002,-120.6947,289.3015
40.2003,-120.4874,309.1509
40.2006,-120.2780,328.0719
40.2002,-120.1421,353.8748
40.1997,-119.9284,370.7188
40.1993,-119.7283,388.1565
40.1985,-119.5531,408.0447
40.3993,-122.0512,107.8513
40.3994,-121.8737,124.6534
40.3994,-121.7522,149.4865
40.3998,-121.6266,175.3015
40.4003,-121.4916,201.6514
40.4007,-121.2921,223.7194
40.4005,-121.0892,245.6838
40.4001,-120.8680,265.6223
40.4000,-120.6792,287.7574
40.4000,-120.4882,309.1096
40.4000,-120.2789,328.0110
40.3999,-120.1135,350.6200
40.3997,-119.9153,369.0553
40.3994,-119.7365,388.9852
40.3988,-119.5944,413.1632
40.6007,-122.0514,107.8562
40.6003,-121.8443,121.4980
40.6003,-121.7446,148.7431
40.5998,-121.6019,173.1398
40.5991,-121.4752,200.2327
40.5986,-121.2929,223.7168
40.5987,-121.1243,248.5557
40.5991,-120.9195,270.0050
40.5991,-120.7545,294.4621
40.5991,-120.5536,315.2014
40.5991,-120.3266,332.6923
40.5992,-120.1445,353.8171
40.5994,-119.9307,370.6906
40.5995,-119.7723,393.1606
40.5996,-119.6622,421.6718
40.8014,-122.0386,105.6917
40.8018,-121.9046,127.4506
40.8007,-121.7295,147.0726
40.7999,-121.5861,171.6535
40.7982,-121.4767,200.2868
40.7971,-121.2765,222.4876
