lon,lat,depth,unc,etype,src
174.9330,-41.9717,12.1847,nan,AS,nan
174.9329,-41.9716,12.1862,nan,AS,nan
174.9329,-41.9715,12.1878,nan,AS,nan
174.9328,-41.9714,12.1894,nan,AS,nan
174.9327,-41.9713,12.1910,nan,AS,nan
174.9326,-41.9712,12.1927,nan,AS,nan
174.9325,-41.9712,12.1943,nan,AS,nan
174.9325,-41.9711,12.1959,nan,AS,nan
174.9324,-41.9710,12.1976,nan,AS,nan
174.9323,-41.9709,12.1991,nan,AS,nan
174.9322,-41.9708,12.2007,nan,AS,nan
174.9321,-41.9707,12.2023,nan,AS,nan
174.9321,-41.9706,12.2041,nan,AS,nan
174.9320,-41.9705,12.2056,nan,AS,nan
174.9319,-41.9704,12.2073,nan,AS,nan
174.9318,-41.9703,12.2090,nan,AS,nan
174.9317,-41.9702,12.2106,nan,AS,nan
174.9316,-41.9701,12.2121,nan,AS,nan
174.9316,-41.9700,12.2137,nan,AS,nan
174.9315,-41.9699,12.2153,nan,AS,nan
174.9314,-41.9698,12.2171,nan,AS,nan
174.9313,-41.9697,12.2191,nan,AS,nan
174.9313,-41.9696,12.2212,nan,AS,nan
174.9312,-41.9695,12.2236,nan,AS,nan
174.9311,-41.9694,12.2262,nan,AS,nan
174.9310,-41.9693,12.2285,nan,AS,nan
174.9309,-41.9692,12.2309,nan,AS,nan
174.9308,-41.9692,12.2332,nan,AS,nan
174.9308,-41.9691,12.2360,nan,AS,nan
174.9307,-41.9690,12.2392,nan,AS,nan
174.9306,-41.9689,12.2422,nan,AS,nan
174.9305,-41.9688,12.2449,nan,AS,nan
174.9305,-41.9687,12.2479,nan,AS,nan
174.9304,-41.9686,12.2513,nan,AS,nan
174.9303,-41.9685,12.2544,nan,AS,nan
174.9302,-41.9684,12.2575,nan,AS,nan
174.9301,-41.9683,12.2604,nan,AS,nan
174.9300,-41.9682,12.2638,nan,AS,nan
174.9300,-41.9681,12.2670,nan,AS,nan
174.9299,-41.9680,12.2700,nan,AS,nan
174.9298,-41.9679,12.2730,nan,AS,nan
174.9297,-41.9678,12.2764,nan,AS,nan
174.9297,-41.9677,12.2795,nan,AS,nan
174.9296,-41.9676,12.2823,nan,AS,nan
174.9295,-41.9675,12.2850,nan,AS,nan
174.9294,-41.9674,12.2877,nan,AS,nan
174.9293,-41.9673,12.2905,nan,AS,nan
174.9292,-41.9672,12.2933,nan,AS,nan
174.9292,-41.9671,12.2959,nan,AS,nan
174.9291,-41.9671,12.2986,nan,AS,nan
174.9290,-41.9670,12.3014,nan,AS,nan
174.9289,-41.9669,12.3044,nan,AS,nan
174.9288,-41.9668,12.3074,nan,AS,nan
174.9288,-41.9667,12.3100,nan,AS,nan
174.9287,-41.9666,12.3127,nan,AS,nan
174.9286,-41.9665,12.3155,nan,AS,nan
174.9285,-41.9664,12.3185,nan,AS,nan
174.9284,-41.9663,12.3214,nan,AS,nan
174.9284,-41.9662,12.3241,nan,AS,nan
