lon,lat,depth,unc,etype,mag
286.8930,-36.2160,35,nan,ER,7.2000
290.5610,-31.7450,24,nan,ER,6.0000
287.2200,-34.9240,30,nan,ER,6.2000
287.5730,-33.9590,26,nan,ER,5.8000
287.7440,-33.9530,26,nan,ER,6.0000
286.8870,-36.2390,28,nan,ER,5.4000
286.2060,-36.9720,21,nan,ER,5.6000
287.2720,-35.0450,29,nan,ER,5.2000
287.1670,-35.8100,24,nan,ER,5.4000
286.3500,-38.0880,33,nan,ER,5.6000
287.5410,-33.9390,26,nan,ER,5.5000
286.7260,-36.9490,26,nan,ER,6.0000
287.6210,-35.2180,29,nan,ER,5.5000
286.5110,-36.8820,27,nan,ER,5.3000
287.8310,-33.5170,24,nan,ER,5.2000
286.9540,-36.5170,30,nan,ER,5.4000
286.4070,-37.0550,27,nan,ER,5.1000
287.1550,-35.6260,28,nan,ER,5.1000
287.8430,-33.5090,24,nan,ER,5.3000
287.0180,-36.2020,35,nan,ER,5.3000
284.5710,-37.9530,26,nan,ER,6.9000
288.0460,-33.6210,24,nan,ER,5.6000
287.5360,-33.6500,24,nan,ER,5.3000
287.8450,-34.4410,25,nan,ER,5.2000
287.3180,-34.8190,28,nan,ER,6.1000
285.5020,-34.8750,30,nan,ER,5.4000
287.2340,-34.9560,30,nan,ER,5.7000
286.3580,-36.1280,30,nan,ER,5.1000
287.1190,-34.8030,30,nan,ER,5.0000
284.4920,-38.5080,25,nan,ER,5.6000
286.8090,-36.0450,35,nan,ER,4.9000
287.1330,-34.7570,24,nan,ER,5.0000
286.7130,-35.6240,28,nan,ER,5.0000
286.4330,-34.5060,28,nan,ER,5.4000
286.6280,-36.1890,35,nan,ER,5.0000
288.0030,-33.6390,24,nan,ER,5.6000
287.4900,-33.9720,26,nan,ER,5.3000
286.9410,-36.3680,35,nan,ER,4.7000
284.3930,-38.5690,25,nan,ER,4.8000
286.1870,-36.7050,28,nan,ER,5.2000
288.1310,-35.9580,30,nan,ER,4.4000
287.9970,-35.9310,30,nan,ER,4.3000
285.9510,-38.2310,25,nan,ER,4.8000
286.2500,-37.1510,21,nan,ER,5.0000
286.1750,-37.9030,22,nan,ER,4.9000
285.9690,-38.2350,26,nan,ER,5.8000
287.4490,-33.7820,26,nan,ER,5.6000
287.6670,-35.1560,28,nan,ER,4.7000
287.7370,-33.3240,24,nan,ER,6.0000
286.0200,-38.1650,25,nan,ER,5.9000
287.1700,-35.3590,28,nan,ER,4.8000
288.0750,-33.4190,24,nan,ER,4.4000
286.2210,-36.7620,27,nan,ER,5.4000
287.7340,-33.3670,24,nan,ER,4.8000
287.0550,-35.3630,21,nan,ER,4.9000
286.1210,-38.2570,25,nan,ER,5.2000
286.4790,-36.1400,35,nan,ER,4.3000
286.0800,-36.8630,27,nan,ER,4.7000
286.5070,-36.2150,35,nan,ER,4.1000
286.3800,-36.4190,29,nan,ER,5.4000
286.6720,-37.8830,30,nan,ER,4.5000
287.0280,-35.6760,28,nan,ER,4.1000
286.3420,-37.0560,27,nan,ER,5.0000
286.0110,-34.4250,25,nan,ER,5.5000
286.6370,-36.3060,35,nan,ER,5.0000
286.4270,-36.2540,35,nan,ER,4.6000
287.6840,-34.0340,26,nan,ER,4.4000
290.5430,-31.8800,24,nan,ER,4.9000
286.1450,-37.2000,21,nan,ER,5.1000
284.8580,-37.9730,26,nan,ER,5.1000
285.8720,-38.1240,26,nan,ER,4.6000
287.8090,-33.5800,24,nan,ER,5.1000
286.2930,-37.0190,27,nan,ER,4.9000
286.9340,-38.5210,25,nan,ER,5.0000
286.2060,-38.4980,25,nan,ER,5.3000
286.6590,-36.0670,35,nan,ER,4.4000
286.6030,-36.3850,35,nan,ER,4.4000
286.4120,-36.3100,35,nan,ER,4.1000
287.0880,-36.1020,35,nan,ER,4.3000
286.1850,-37.5760,21,nan,ER,4.6000
286.4420,-36.0550,35,nan,ER,4.8000
286.7940,-35.9500,28,nan,ER,4.3000
287.8340,-33.3110,24,nan,ER,5.2000
287.8570,-34.3310,24,nan,ER,4.7000
286.2660,-38.4350,20,nan,ER,4.8000
286.3300,-37.3950,20,nan,ER,5.0000
287.7610,-34.0060,28,nan,ER,4.8000
287.0970,-34.6190,26,nan,ER,5.2000
287.1450,-34.9310,30,nan,ER,4.9000
287.5590,-34.2550,24,nan,ER,4.9000
287.7890,-34.2940,37,nan,ER,5.0000
286.7490,-35.7730,28,nan,ER,5.1000
286.7910,-35.8350,28,nan,ER,4.2000
286.8360,-35.8130,28,nan,ER,4.9000
286.4780,-38.0840,24,nan,ER,5.0000
288.5430,-34.0040,58,nan,ER,5.1000
288.4870,-33.9960,44,nan,ER,5.2000
285.8650,-38.3830,25,nan,ER,5.2000
286.6370,-36.1580,35,nan,ER,4.1000
286.6350,-36.1690,35,nan,ER,5.5000
287.7850,-34.1830,29,nan,ER,5.0000
287.1420,-36.2140,35,nan,ER,4.0000
286.2570,-38.3850,25,nan,ER,5.4000
286.2650,-37.8600,26,nan,ER,5.5000
287.2760,-34.9460,30,nan,ER,5.1000
286.1730,-37.6080,26,nan,ER,5.4000
287.7640,-34.2690,32,nan,ER,5.1000
287.7820,-34.1070,26,nan,ER,5.5000
286.2380,-38.1100,26,nan,ER,4.9000
286.4230,-36.4310,28,nan,ER,5.7000
287.7550,-33.4500,24,nan,ER,5.0000
286.4040,-36.5940,28,nan,ER,5.5000
287.4100,-35.4600,28,nan,ER,4.8000
288.2080,-34.9350,30,nan,ER,5.3000
287.8600,-34.9480,30,nan,ER,5.3000
286.2540,-37.6440,21,nan,ER,4.9000
287.9410,-34.0520,26,nan,ER,5.0000
286.5120,-36.5650,28,nan,ER,5.0000
286.1040,-37.5270,21,nan,ER,5.6000
286.0150,-37.6440,19,nan,ER,5.3000
286.1810,-37.6420,21,nan,ER,5.0000
286.7230,-35.9260,28,nan,ER,4.7000
287.7870,-33.4990,24,nan,ER,5.9000
286.2490,-37.6470,21,nan,ER,5.2000
287.3850,-35.0550,28,nan,ER,5.2000
287.0620,-36.2510,35,nan,ER,4.5000
288.0160,-35.7630,50,nan,ER,4.7000
286.7130,-35.8060,28,nan,ER,4.8000
286.4300,-36.5670,28,nan,ER,5.0000
286.9250,-34.6940,24,nan,ER,4.9000
287.1060,-35.5680,28,nan,ER,4.8000
286.1660,-36.6850,28,nan,ER,4.9000
287.8750,-33.3730,24,nan,ER,4.9000
285.9440,-34.9790,30,nan,ER,5.0000
286.1240,-37.5610,21,nan,ER,4.9000
286.1830,-38.0740,26,nan,ER,4.9000
287.1860,-34.6730,24,nan,ER,4.5000
286.5940,-33.9280,26,nan,ER,5.2000
286.7800,-36.2840,28,nan,ER,4.5000
285.8490,-37.3210,21,nan,ER,5.0000
287.1530,-35.2180,28,nan,ER,5.2000
287.7210,-34.0530,29,nan,ER,5.1000
286.2740,-36.7760,27,nan,ER,5.2000
286.8620,-35.7920,28,nan,ER,4.9000
286.5070,-35.8580,28,nan,ER,5.1000
286.3510,-36.4630,28,nan,ER,5.3000
286.2660,-37.5530,21,nan,ER,4.8000
287.1160,-34.9510,30,nan,ER,5.2000
288.4880,-33.9960,26,nan,ER,5.3000
286.8950,-37.7620,34,nan,ER,5.8000
287.8850,-34.7800,24,nan,ER,6.0000
287.4480,-33.9120,27,nan,ER,5.2000
286.1680,-36.6640,28,nan,ER,5.3000
286.0000,-38.2190,23,nan,ER,5.1000
286.3010,-36.8230,23,nan,ER,5.3000
287.1830,-36.1360,35,nan,ER,4.7000
286.4520,-36.0560,35,nan,ER,4.7000
287.8640,-34.2450,27,nan,ER,5.5000
287.8000,-34.2950,25,nan,ER,4.8000
286.5180,-35.9670,28,nan,ER,4.7000
286.1250,-37.1840,21,nan,ER,4.8000
287.5270,-33.3520,24,nan,ER,4.3000
286.8030,-34.8670,30,nan,ER,4.7000
286.9770,-36.6610,31,nan,ER,5.3000
286.7200,-37.9390,26,nan,ER,4.6000
286.4800,-37.9150,21,nan,ER,4.6000
286.1900,-34.4780,25,nan,ER,5.2000
286.0140,-38.5210,25,nan,ER,4.6000
288.4860,-36.2250,35,nan,ER,4.2000
284.8600,-38.3490,25,nan,ER,4.5000
286.6690,-35.9590,35,nan,ER,4.6000
287.1930,-34.9230,30,nan,ER,5.2000
286.2160,-34.5350,25,nan,ER,5.0000
286.1790,-34.4650,25,nan,ER,4.5000
287.8470,-34.4940,25,nan,ER,4.7000
285.2110,-37.0110,27,nan,ER,4.7000
286.1200,-36.7410,27,nan,ER,4.5000
287.3700,-33.3110,24,nan,ER,4.6000
287.9530,-34.4210,25,nan,ER,4.5000
286.1270,-38.3180,25,nan,ER,5.4000
286.2070,-38.3170,25,nan,ER,5.1000
287.3500,-33.4570,24,nan,ER,4.4000
287.1440,-35.2320,28,nan,ER,4.9000
286.6390,-33.9300,28,nan,ER,5.0000
286.7510,-33.9510,31,nan,ER,4.9000
286.2090,-37.8340,26,nan,ER,5.1000
287.9490,-34.3300,25,nan,ER,4.9000
287.0700,-36.6540,28,nan,ER,4.6000
287.4200,-35.2790,28,nan,ER,4.3000
285.9120,-38.4530,25,nan,ER,4.7000
287.6510,-34.1090,26,nan,ER,4.5000
285.3490,-38.5370,25,nan,ER,4.5000
286.3530,-36.8960,27,nan,ER,4.5000
286.5210,-35.9560,28,nan,ER,4.6000
286.7150,-33.9050,31,nan,ER,4.9000
287.1000,-34.8170,30,nan,ER,4.6000
287.9130,-34.7120,24,nan,ER,5.0000
287.0130,-36.2900,35,nan,ER,4.7000
287.9500,-34.7450,30,nan,ER,4.9000
286.6180,-36.6880,27,nan,ER,4.5000
287.1810,-38.2080,26,nan,ER,4.8000
285.8060,-37.7610,21,nan,ER,4.6000
287.1290,-35.8170,28,nan,ER,4.4000
285.8000,-38.8730,25,nan,ER,5.0000
286.0660,-34.9900,28,nan,ER,4.6000
286.0230,-38.1790,26,nan,ER,4.9000
287.7490,-34.0960,26,nan,ER,5.3000
286.3810,-36.4540,24,nan,ER,4.5000
287.8390,-35.0620,35,nan,ER,5.0000
286.2810,-37.8020,18,nan,ER,5.3000
286.4710,-34.5440,26,nan,ER,4.7000
286.2810,-37.8580,26,nan,ER,5.3000
286.7610,-35.8250,28,nan,ER,4.6000
287.8820,-33.6010,24,nan,ER,4.1000
287.8090,-35.5170,43,nan,ER,4.7000
286.1360,-37.7160,20,nan,ER,4.4000
286.7890,-36.0160,35,nan,ER,4.2000
286.2930,-38.4180,25,nan,ER,5.1000
286.8460,-37.8760,28,nan,ER,5.0000
287.3080,-35.2500,28,nan,ER,5.0000
286.4600,-38.6460,25,nan,ER,4.9000
287.8520,-33.7190,24,nan,ER,5.2000
286.5270,-36.7190,27,nan,ER,4.6000
287.5160,-34.0060,26,nan,ER,4.9000
284.4660,-38.4910,25,nan,ER,5.1000
287.6040,-34.5150,30,nan,ER,4.4000
286.9590,-35.6280,28,nan,ER,5.0000
285.7940,-35.5910,28,nan,ER,4.6000
288.1060,-34.9490,49,nan,ER,6.2000
287.2900,-35.0780,27,nan,ER,5.2000
287.2360,-35.8500,29,nan,ER,4.9000
287.2520,-35.8680,28,nan,ER,4.5000
286.4610,-38.3110,25,nan,ER,4.7000
287.1410,-33.2540,28,nan,ER,4.5000
287.5580,-33.3810,31,nan,ER,4.5000
286.4370,-38.1910,20,nan,ER,5.2000
286.4620,-36.3390,23,nan,ER,4.7000
287.8740,-33.0800,23,nan,ER,4.2000
287.0010,-35.3400,28,nan,ER,5.0000
285.9480,-37.4960,21,nan,ER,4.9000
286.3870,-36.0830,35,nan,ER,4.7000
286.4030,-33.9170,26,nan,ER,5.2000
286.3980,-33.8990,26,nan,ER,5.1000
287.4350,-35.2550,27,nan,ER,5.0000
286.2310,-37.4610,20,nan,ER,4.9000
286.0680,-38.1980,26,nan,ER,4.6000
287.3000,-34.7020,24,nan,ER,4.7000
286.2670,-37.5360,21,nan,ER,4.7000
287.2070,-35.9440,28,nan,ER,4.1000
286.2640,-34.4320,25,nan,ER,4.8000
287.8350,-34.9130,46,nan,ER,5.0000
286.6930,-35.8540,28,nan,ER,4.9000
287.8040,-33.0150,27,nan,ER,4.2000
286.5690,-37.2130,28,nan,ER,4.3000
286.8060,-36.8470,33,nan,ER,5.1000
286.3840,-36.5040,28,nan,ER,4.9000
286.2370,-36.8630,27,nan,ER,4.9000
286.6980,-36.8520,31,nan,ER,4.3000
286.0710,-38.1850,26,nan,ER,5.4000
286.4190,-36.4810,28,nan,ER,4.4000
288.1010,-34.4750,25,nan,ER,4.4000
287.5490,-33.8260,26,nan,ER,4.6000
287.7340,-34.3070,29,nan,ER,4.5000
287.9050,-34.2370,29,nan,ER,4.9000
285.9770,-38.4700,25,nan,ER,4.8000
286.2400,-36.8600,21,nan,ER,5.0000
287.5070,-35.3750,28,nan,ER,5.2000
286.5670,-37.3840,21,nan,ER,5.1000
285.2080,-36.3830,28,nan,ER,4.7000
286.7800,-36.3240,28,nan,ER,4.6000
285.9760,-38.3420,25,nan,ER,5.1000
287.3740,-34.7560,24,nan,ER,4.6000
287.3400,-34.6360,24,nan,ER,4.8000
287.9690,-35.2750,42,nan,ER,5.4000
285.8940,-35.1870,28,nan,ER,5.0000
287.8960,-33.8270,26,nan,ER,4.6000
286.3810,-36.6690,28,nan,ER,4.8000
287.2320,-35.0950,22,nan,ER,5.9000
287.0580,-36.0750,26,nan,ER,5.0000
286.7780,-38.6240,25,nan,ER,5.0000
286.1250,-34.7380,27,nan,ER,5.1000
286.3050,-36.8700,33,nan,ER,4.8000
287.9280,-33.3710,24,nan,ER,4.7000
286.3350,-36.1760,35,nan,ER,4.2000
284.6880,-38.0810,24,nan,ER,5.0000
287.2800,-35.9640,28,nan,ER,4.5000
286.4850,-34.2410,29,nan,ER,4.7000
286.6690,-35.8800,28,nan,ER,4.3000
286.3800,-34.5130,25,nan,ER,4.7000
286.3640,-34.0530,26,nan,ER,4.4000
287.2010,-36.1680,34,nan,ER,4.9000
286.6010,-34.6870,37,nan,ER,5.3000
287.5340,-33.3370,24,nan,ER,4.2000
287.6780,-35.6270,24,nan,ER,4.9000
285.1790,-37.8960,27,nan,ER,5.3000
286.3280,-34.4520,25,nan,ER,4.8000
287.9590,-35.8710,28,nan,ER,4.9000
287.1210,-35.9960,29,nan,ER,4.7000
287.0230,-35.0530,30,nan,ER,4.9000
286.7870,-35.5140,28,nan,ER,4.6000
287.6000,-33.9790,26,nan,ER,4.6000
286.6730,-36.2750,35,nan,ER,4.7000
287.4140,-35.3460,28,nan,ER,4.9000
286.2010,-34.5300,25,nan,ER,5.0000
287.9150,-34.3780,25,nan,ER,5.2000
284.8810,-37.1720,21,nan,ER,4.6000
286.1920,-38.3660,25,nan,ER,4.8000
286.3130,-34.4450,25,nan,ER,5.3000
287.8020,-32.8920,24,nan,ER,4.4000
287.8850,-35.9560,50,nan,ER,4.8000
286.1790,-36.7890,27,nan,ER,4.9000
286.3150,-38.0010,20,nan,ER,4.5000
286.4690,-36.2880,35,nan,ER,4.1000
287.8020,-33.0140,28,nan,ER,4.5000
287.3900,-36.3550,45,nan,ER,5.1000
285.8540,-34.8970,30,nan,ER,4.9000
287.8050,-32.9550,30,nan,ER,4.2000
286.8750,-36.0140,28,nan,ER,4.5000
288.5340,-33.9000,65,nan,ER,5.0000
288.5390,-33.9030,63,nan,ER,5.0000
285.8670,-34.7970,30,nan,ER,4.9000
288.1320,-35.1170,43,nan,ER,4.9000
285.9420,-37.9900,26,nan,ER,4.4000
286.1550,-37.6420,21,nan,ER,4.9000
286.3360,-36.1550,35,nan,ER,4.9000
285.8020,-35.3230,28,nan,ER,4.7000
285.9660,-35.2740,28,nan,ER,4.8000
287.2690,-34.5010,25,nan,ER,5.0000
287.9630,-33.8550,26,nan,ER,5.0000
286.6610,-35.8340,28,nan,ER,5.1000
286.3040,-36.6930,28,nan,ER,5.1000
286.1000,-37.6600,21,nan,ER,4.2000
287.2390,-34.5010,25,nan,ER,5.5000
286.6160,-35.9220,28,nan,ER,4.6000
288.4050,-33.9910,53,nan,ER,4.5000
288.4320,-33.9490,53,nan,ER,4.5000
287.7090,-33.3500,24,nan,ER,4.3000
286.4470,-34.2050,29,nan,ER,5.0000
285.1090,-37.9210,27,nan,ER,4.6000
287.1680,-35.2260,28,nan,ER,5.2000
286.5200,-36.1710,35,nan,ER,4.3000
286.0240,-34.7340,24,nan,ER,4.9000
286.2980,-36.6530,23,nan,ER,5.1000
286.4380,-33.9870,26,nan,ER,4.4000
287.8930,-33.3960,24,nan,ER,4.9000
287.7070,-34.2360,34,nan,ER,4.8000
288.0230,-35.6680,28,nan,ER,4.8000
286.1100,-37.5030,21,nan,ER,4.8000
287.8830,-33.8200,26,nan,ER,5.0000
286.9690,-36.5890,28,nan,ER,5.1000
287.9200,-35.7680,28,nan,ER,4.8000
287.7030,-34.2820,29,nan,ER,5.1000
285.9850,-37.6010,21,nan,ER,4.5000
287.7400,-34.0930,29,nan,ER,4.9000
286.6360,-35.8640,28,nan,ER,4.7000
