lon,lat,depth,unc,etype,src
105.9210,-10.0978,5.1800,nan,AS,nan
105.9470,-10.0432,5.1700,nan,AS,nan
105.9840,-9.9637,5.3500,nan,AS,nan
106.0200,-9.8892,5.7000,nan,AS,nan
106.0520,-9.8197,6.0500,nan,AS,nan
106.0860,-9.7476,6.0400,nan,AS,nan
106.1250,-9.6656,6.2200,nan,AS,nan
106.1600,-9.5910,6.5700,nan,AS,nan
106.1940,-9.5190,7.2800,nan,AS,nan
106.2150,-9.4743,7.6300,nan,AS,nan
106.2570,-9.3849,7.9800,nan,AS,nan
106.2900,-9.3153,8.3300,nan,AS,nan
106.3190,-9.2532,8.6800,nan,AS,nan
106.3530,-9.1812,9.3900,nan,AS,nan
106.3970,-9.0868,10.4600,nan,AS,nan
106.4440,-8.9875,12.4100,nan,AS,nan
106.4850,-8.9005,13.6600,nan,AS,nan
106.5230,-8.8186,14.9000,nan,AS,nan
106.5780,-8.7019,17.3900,nan,AS,nan
106.6270,-8.5976,19.7000,nan,AS,nan
106.6590,-8.5280,21.1300,nan,AS,nan
106.6990,-8.4436,23.2600,nan,AS,nan
106.7380,-8.3592,25.0400,nan,AS,nan
106.7720,-8.2872,26.6400,nan,AS,nan
106.8130,-8.2003,28.4200,nan,AS,nan
106.8510,-8.1183,30.5600,nan,AS,nan
106.8940,-8.0265,33.2300,nan,AS,nan
106.9270,-7.9544,35.1900,nan,AS,nan
106.9670,-7.8700,37.5000,nan,AS,nan
106.9860,-7.8277,38.5700,nan,AS,nan
