lon,lat,depth,unc,etype,src
-158.1600,53.8300,7.4600,nan,AS,nan
-158.2000,53.9200,7.1100,nan,AS,nan
-158.2500,54.0000,6.5800,nan,AS,nan
-158.3000,54.0900,6.9500,nan,AS,nan
-158.3400,54.1700,6.9500,nan,AS,nan
-158.3900,54.2600,7.8500,nan,AS,nan
-158.4400,54.3500,12.3100,nan,AS,nan
-158.4900,54.4300,14.2800,nan,AS,nan
-158.5400,54.5200,17.1400,nan,AS,nan
-158.5800,54.6000,17.1500,nan,AS,nan
-158.6300,54.6900,16.2700,nan,AS,nan
-158.6800,54.7700,18.5900,nan,AS,nan
-158.7300,54.8600,20.3800,nan,AS,nan
-158.7800,54.9400,20.9200,nan,AS,nan
-158.8300,55.0300,25.0300,nan,AS,nan
-158.8800,55.1100,29.8400,nan,AS,nan
-158.9300,55.2000,36.8000,nan,AS,nan
-158.9800,55.2900,41.6200,nan,AS,nan
-159.0300,55.3700,46.6100,nan,AS,nan
-159.0800,55.4600,51.4300,nan,AS,nan
-159.1300,55.5400,55.3600,nan,AS,nan
-159.1800,55.6300,59.9900,nan,AS,nan
