lon,lat,depth,unc,etype,src
-163.5691,52.3030,5.1982,nan,AS,nan
-163.5960,52.3448,5.2455,nan,AS,nan
-163.6501,52.4285,5.4328,nan,AS,nan
-163.7044,52.5122,5.7589,nan,AS,nan
-163.7589,52.5958,6.1082,nan,AS,nan
-163.8136,52.6794,6.6195,nan,AS,nan
-163.8685,52.7630,7.5706,nan,AS,nan
-163.9236,52.8465,8.4986,nan,AS,nan
-163.9790,52.9300,9.9590,nan,AS,nan
-164.0345,53.0135,12.4148,nan,AS,nan
-164.0903,53.0969,15.4319,nan,AS,nan
-164.1462,53.1804,17.3726,nan,AS,nan
-164.2024,53.2638,20.7543,nan,AS,nan
-164.2588,53.3471,24.2131,nan,AS,nan
-164.3155,53.4305,27.5176,nan,AS,nan
-164.3723,53.5138,30.8839,nan,AS,nan
