lon,lat,depth,unc,etype,mag
-83.5123,8.7881,83.4600,0.7994,ER,nan
-83.7377,9.0896,71.2200,0.4333,ER,nan
-84.0920,9.1446,26.5800,0.4744,ER,nan
-83.9426,8.8556,9.7600,0.2408,ER,nan
-84.3487,8.8201,9.8500,0.2462,ER,nan
-83.9955,8.9630,3.0900,0.1413,ER,nan
-83.6575,8.7681,43.3300,3.1617,ER,nan
-83.9579,9.0136,16.0700,0.6983,ER,nan
-83.9908,9.0861,20.6900,0.7797,ER,nan
-84.1306,9.0018,18.2300,0.3429,ER,nan
-83.7641,9.3958,96.1300,0.4281,ER,nan
-84.0278,8.8277,5.2400,0.2830,ER,nan
-83.6454,9.4197,29.7400,0.6582,ER,nan
-84.1117,9.0124,17.3900,0.3938,ER,nan
-84.1380,8.9824,18.1200,0.4231,ER,nan
-84.1499,8.9768,13.9900,0.3509,ER,nan
-84.1878,8.9705,12.1100,0.2143,ER,nan
-83.7123,9.1951,50.9800,1.1139,ER,nan
-84.5440,9.4256,3.0800,0.2415,ER,nan
-84.2115,8.9695,9.5400,0.2381,ER,nan
-83.9202,9.7011,17.4900,0.7487,ER,nan
-84.5558,9.5122,40.8500,0.5316,ER,nan
-83.4475,8.9646,83.0800,0.1890,ER,nan
-84.4229,9.2617,27.5200,0.1971,ER,nan
-84.0012,9.0037,21.3900,0.3100,ER,nan
-84.1199,8.9704,14.4600,0.3569,ER,nan
-83.8116,8.9674,14.4500,0.6701,ER,nan
-84.1020,8.9688,16.2900,0.9362,ER,nan
-83.9260,9.0222,17.4200,0.5858,ER,nan
-83.9004,9.0152,18.7100,0.3929,ER,nan
-84.0058,9.0075,17.6400,0.3984,ER,nan
-84.1346,8.9950,14.9800,0.3062,ER,nan
-83.8182,9.1564,38.3800,0.6890,ER,nan
-83.9686,8.9710,7.6000,0.4401,ER,nan
-84.1364,8.9951,15.2400,0.3442,ER,nan
-83.9995,9.0128,17.6300,0.4388,ER,nan
-83.9177,9.0169,10.2000,0.4296,ER,nan
-83.8061,9.0246,12.6400,0.5344,ER,nan
-84.1221,8.9751,14.5200,0.4140,ER,nan
-84.0260,9.0138,17.7900,0.3463,ER,nan
-84.0190,9.0114,17.8000,0.3520,ER,nan
-83.9475,8.9983,18.2500,0.2194,ER,nan
-83.9187,8.9868,14.8600,0.5897,ER,nan
-84.2281,9.0580,32.8400,0.0035,ER,nan
-83.9210,8.9892,15.0300,0.6223,ER,nan
-83.9453,9.0215,17.0100,0.5171,ER,nan
-84.2378,8.9842,7.4700,0.0856,ER,nan
-83.8739,8.9566,12.2000,0.4578,ER,nan
-84.1373,8.9753,14.4700,0.8223,ER,nan
-83.9570,8.9919,17.6000,0.8495,ER,nan
-83.9461,8.9569,40.3800,0.8849,ER,nan
-83.7888,9.0289,-0.7200,0.3965,ER,nan
-83.9238,8.9971,15.6900,0.5725,ER,nan
-83.8095,8.9328,12.4500,0.3733,ER,nan
-83.8522,8.9785,12.9100,0.3803,ER,nan
-84.1830,8.9325,8.4800,0.2168,ER,nan
-83.9198,8.9050,25.6300,0.8705,ER,nan
-84.3155,10.1373,89.9200,0.8191,ER,nan
-85.0107,9.4860,73.3600,0.8805,ER,nan
-84.0704,9.0124,20.2000,0.8418,ER,nan
-84.0039,8.9956,16.8200,0.9829,ER,nan
-84.2136,8.9647,9.1300,0.3367,ER,nan
-83.6410,9.2710,102.7900,0.5162,ER,nan
-84.0294,8.9179,15.6600,0.5231,ER,nan
-83.9708,9.0372,18.4300,0.8980,ER,nan
-83.7389,9.0855,33.8300,2.1922,ER,nan
-84.8296,9.4203,65.3900,1.0287,ER,nan
-83.9803,9.3187,69.5800,0.3646,ER,nan
-83.9732,9.0443,20.5600,0.8887,ER,nan
-84.1804,8.9874,11.5800,0.6710,ER,nan
-83.9485,9.7089,85.7500,0.5542,ER,nan
-84.1340,9.0092,16.2000,0.5921,ER,nan
-83.7432,8.9516,13.8100,0.6146,ER,nan
-83.9926,8.5928,27.1400,0.6571,ER,nan
-84.1120,8.8364,4.7000,0.0272,ER,nan
-83.9445,8.9476,15.3100,0.4127,ER,nan
-83.5717,9.1159,62.6700,1.2400,ER,nan
-84.1374,8.9976,47.1000,0.3376,ER,nan
-84.0493,8.9499,19.1500,0.5158,ER,nan
-83.9794,9.1210,31.7500,0.3316,ER,nan
-84.0631,8.9165,14.3700,0.8099,ER,nan
-84.0681,9.0961,20.1600,0.3629,ER,nan
-84.2745,10.8729,198.8100,0.4181,ER,nan
-84.1765,9.0722,39.0100,0.2446,ER,nan
-84.6042,9.6173,23.2500,0.8489,ER,nan
-84.3768,9.7796,84.6700,0.5133,ER,nan
-84.4532,9.3480,33.1500,0.8267,ER,nan
-84.1106,9.0183,17.7300,0.4520,ER,nan
-84.6242,9.9358,90.5100,0.6563,ER,nan
-84.7693,9.7428,77.8300,0.5480,ER,nan
-83.4384,9.1177,103.3300,1.0057,ER,nan
-84.6542,9.6047,43.6000,0.9248,ER,nan
-84.0111,9.0352,29.5600,1.1373,ER,nan
-83.9689,9.0651,48.6600,0.5045,ER,nan
-84.6950,9.6586,29.1100,0.2891,ER,nan
-83.8450,8.9080,8.6200,0.5302,ER,nan
-84.0744,9.7586,31.8500,0.9836,ER,nan
-84.1328,8.9826,17.6900,0.3804,ER,nan
-84.0791,9.0733,19.5700,0.3227,ER,nan
-83.9226,8.8722,27.7000,0.6013,ER,nan
-83.9189,8.9398,16.3100,0.9079,ER,nan
-83.9451,8.9390,13.1300,0.9201,ER,nan
-84.3007,9.6148,20.2600,0.3241,ER,nan
-83.5043,8.6842,58.2900,1.6081,ER,nan
-83.9080,9.0076,12.9200,0.6911,ER,nan
-83.8260,8.8851,16.5600,0.4290,ER,nan
-85.5217,8.9371,23.8500,0.8344,ER,nan
-83.9180,9.7000,117.8900,0.0549,ER,nan
-83.9011,9.1183,33.3200,0.7050,ER,nan
-84.6907,9.4471,47.8300,0.5446,ER,nan
-84.6255,9.3330,36.1400,0.8103,ER,nan
-84.0904,8.8979,28.4400,1.1910,ER,nan
-84.1934,8.9175,19.3500,0.5967,ER,nan
-83.9458,10.6202,7.8800,0.0923,ER,nan
-84.6320,8.9616,11.7100,0.3282,ER,nan
-84.1234,8.9274,13.7100,0.6225,ER,nan
-84.0206,9.0270,20.9000,0.9483,ER,nan
-84.1534,9.0567,47.8200,0.4230,ER,nan
-83.8900,9.0270,15.1900,0.7614,ER,nan
-84.7176,8.9312,14.4600,0.4473,ER,nan
-84.1040,9.2223,32.2000,0.4749,ER,nan
-84.0054,9.0036,13.5000,1.0444,ER,nan
-84.1961,9.4332,59.8900,0.4330,ER,nan
-84.3147,9.4114,24.8500,0.7551,ER,nan
-84.2999,9.2911,36.4800,0.5713,ER,nan
-84.3651,8.9882,17.7000,0.2877,ER,nan
-84.5834,9.6372,50.0000,1.2842,ER,nan
-84.6014,8.8550,25.9800,0.7161,ER,nan
-84.1885,8.9563,11.1800,0.5759,ER,nan
-84.3435,9.3868,18.2800,1.2715,ER,nan
-84.0739,9.0920,20.3700,0.3186,ER,nan
-84.6158,8.9665,10.7200,0.3591,ER,nan
-84.4186,8.5203,68.7800,0.0000,ER,nan
-83.9932,9.1143,20.2300,1.4644,ER,nan
-84.1813,8.9855,39.4800,0.3076,ER,nan
-84.5603,9.8502,174.2600,0.4899,ER,nan
-84.1097,9.4587,57.3900,0.3415,ER,nan
-84.1814,8.9943,38.1400,0.2625,ER,nan
-84.0798,8.9087,27.5600,1.1784,ER,nan
-84.3029,9.5013,59.0800,0.8759,ER,nan
-84.2160,9.5243,56.9400,0.2785,ER,nan
-84.1395,8.9785,52.4300,0.2744,ER,nan
-84.1292,8.9154,23.1400,0.3494,ER,nan
-84.0127,9.5589,76.9000,0.4089,ER,nan
-83.8825,9.0806,46.1300,2.3045,ER,nan
-83.6244,8.9785,39.5200,0.8951,ER,nan
-85.0585,9.3575,74.1700,1.0969,ER,nan
-84.1547,9.2610,35.2400,1.1690,ER,nan
-84.2759,8.9997,14.8000,0.2486,ER,nan
-84.5655,9.6757,19.0700,1.2308,ER,nan
-84.2795,9.3051,41.4400,0.5613,ER,nan
-84.5846,9.6067,23.7100,0.8626,ER,nan
-84.0005,8.9137,15.5200,0.4762,ER,nan
-84.3295,10.5393,150.5000,0.1948,ER,nan
-84.1514,8.9383,23.6500,0.3142,ER,nan
-84.1950,8.9871,36.7200,0.4188,ER,nan
-84.1086,8.9502,8.9200,0.5203,ER,nan
-84.2503,9.4936,24.7900,0.4636,ER,nan
-84.5030,9.3859,24.4700,0.5577,ER,nan
-84.5093,9.3955,23.6100,0.4585,ER,nan
-83.9966,8.9169,16.1900,0.4516,ER,nan
-83.9289,8.8784,10.8800,0.6638,ER,nan
-83.9064,8.8979,11.8200,0.7233,ER,nan
-83.9765,8.8807,9.5100,0.2011,ER,nan
-84.0352,8.8993,12.1900,0.7387,ER,nan
-85.5208,9.2154,144.7000,0.5397,ER,nan
-83.9868,8.8792,9.7200,0.2331,ER,nan
-84.0279,9.4801,64.1000,1.1781,ER,nan
-83.9747,9.1864,47.7000,0.3784,ER,nan
-83.9558,9.1895,50.2600,0.4526,ER,nan
-83.9635,9.1908,48.5500,0.4204,ER,nan
-84.0900,8.7791,33.7000,0.4131,ER,nan
-83.9687,9.1863,48.2600,0.3149,ER,nan
-83.9238,9.4577,51.7800,0.0258,ER,nan
-84.2009,8.9940,34.7700,0.4380,ER,nan
-84.2030,9.0031,11.2500,0.8677,ER,nan
-84.1338,8.9781,56.8700,0.4747,ER,nan
-84.1529,9.5312,20.6000,0.0601,ER,nan
-84.1857,8.9890,38.2600,0.1904,ER,nan
-83.6926,9.1608,44.7900,1.6070,ER,nan
-84.5412,8.7221,23.1300,1.2106,ER,nan
-84.1989,8.9939,34.7200,0.5018,ER,nan
-84.7393,9.7482,18.6300,0.5948,ER,nan
-84.1361,9.8091,111.0300,0.4785,ER,nan
-83.9575,8.9245,48.7300,0.7505,ER,nan
-83.8166,8.9181,21.2400,0.4611,ER,nan
-83.6161,8.8788,58.9900,0.6166,ER,nan
-84.3034,10.5237,148.6900,0.4447,ER,nan
-84.4339,9.4359,22.2400,0.5911,ER,nan
-84.0722,9.2761,33.9100,0.4877,ER,nan
-84.0106,8.5691,25.7800,1.1998,ER,nan
