lon,lat,depth,unc,etype,src
-84.6193,8.6810,2.5200,nan,AS,nan
-84.6067,8.6986,2.6900,nan,AS,nan
-84.5917,8.7196,3.0000,nan,AS,nan
-84.5757,8.7421,3.2700,nan,AS,nan
-84.5645,8.7578,3.5100,nan,AS,nan
-84.5485,8.7802,3.9200,nan,AS,nan
-84.5216,8.8179,4.5000,nan,AS,nan
-84.4962,8.8535,5.2600,nan,AS,nan
-84.4725,8.8867,5.6300,nan,AS,nan
-84.4564,8.9092,6.1500,nan,AS,nan
-84.4323,8.9429,6.9400,nan,AS,nan
-84.4103,8.9737,7.8600,nan,AS,nan
-84.3901,9.0021,8.5500,nan,AS,nan
-84.3649,9.0373,9.3700,nan,AS,nan
-84.3450,9.0651,9.5400,nan,AS,nan
-84.3258,9.0920,10.3700,nan,AS,nan
-84.3031,9.1238,11.1600,nan,AS,nan
-84.2723,9.1667,11.9100,nan,AS,nan
