lon,lat,depth,unc,Reference_,Location_T
-125.3021654,48.17459699,20.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-125.0654002,48.2678085,25.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.8110757,48.36004886,30.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.0912003,48.63209915,35.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7373771,48.76039904,40.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.532565,48.83352602,45.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.0454391,49.40039111,50.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7828486,49.29765141,45.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7138322,49.25745003,45.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.5069773,49.11846525,50.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.8026649,48.40265029,55.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.6580512,48.11322419,60.0,6,6.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
