lon,lat,depth,unc,Reference_,Location_T
-127.2301328,49.51072625,15.0,2,23.2,HYPOCENTERS >2002
-127.0206989,49.60896183,20.0,2,23.2,HYPOCENTERS >2002
-126.8560527,49.6861899,25.0,2,23.2,HYPOCENTERS >2002
-126.7172189,49.75369912,30.0,2,23.2,HYPOCENTERS >2002
-126.5745286,49.8186188,35.0,2,23.2,HYPOCENTERS >2002
-125.9690587,48.57270748,20.0,2,23.2,HYPOCENTERS >2002
-125.5525572,48.81270182,25.0,2,23.2,HYPOCENTERS >2002
-125.2093291,49.01097297,30.0,2,23.2,HYPOCENTERS >2002
-124.9760463,49.14147225,35.0,2,23.2,HYPOCENTERS >2002
-124.7946246,49.24458929,40.0,2,23.2,HYPOCENTERS >2002
-124.6346409,49.33215301,45.0,2,23.2,HYPOCENTERS >2002
-124.4881644,49.41520858,50.0,2,23.2,HYPOCENTERS >2002
-124.3570436,49.48309566,55.0,2,23.2,HYPOCENTERS >2002
-124.2355991,49.55278142,60.0,2,23.2,HYPOCENTERS >2002
-124.1217973,49.61357485,65.0,2,23.2,HYPOCENTERS >2002
-124.0215284,49.67117504,70.0,2,23.2,HYPOCENTERS >2002
-126.5496527,48.00102067,5.0,2,23.2,HYPOCENTERS >2002
-126.0044752,48.19661599,10.0,2,23.2,HYPOCENTERS >2002
-125.6439772,48.3364658,15.0,2,23.2,HYPOCENTERS >2002
-125.3120505,48.45979237,20.0,2,23.2,HYPOCENTERS >2002
-125.0175163,48.56831365,25.0,2,23.2,HYPOCENTERS >2002
-124.7353746,48.67013212,30.0,2,23.2,HYPOCENTERS >2002
-124.4525012,48.77424663,35.0,2,23.2,HYPOCENTERS >2002
-124.1996626,48.86608147,40.0,2,23.2,HYPOCENTERS >2002
-123.9425208,48.95788855,45.0,2,23.2,HYPOCENTERS >2002
-123.696825,49.0460752,50.0,2,23.2,HYPOCENTERS >2002
-123.4613265,49.12569052,55.0,2,23.2,HYPOCENTERS >2002
-123.2451486,49.20111731,60.0,2,23.2,HYPOCENTERS >2002
-123.0389532,49.27437288,65.0,2,23.2,HYPOCENTERS >2002
-122.8603825,49.33509228,70.0,2,23.2,HYPOCENTERS >2002
-125.2182472,47.95470387,20.0,2,23.2,HYPOCENTERS >2002
-124.7764459,48.12281827,25.0,2,23.2,HYPOCENTERS >2002
-124.3708757,48.27503022,30.0,2,23.2,HYPOCENTERS >2002
-123.9998245,48.4114779,35.0,2,23.2,HYPOCENTERS >2002
-123.6575932,48.5330078,40.0,2,23.2,HYPOCENTERS >2002
-123.3447555,48.64713743,45.0,2,23.2,HYPOCENTERS >2002
-123.1137297,48.72694506,50.0,2,23.2,HYPOCENTERS >2002
-122.9428556,48.79054651,55.0,2,23.2,HYPOCENTERS >2002
-122.7862757,48.84244019,60.0,2,23.2,HYPOCENTERS >2002
-122.6396245,48.8914778,65.0,2,23.2,HYPOCENTERS >2002
-122.5170804,48.93649678,70.0,2,23.2,HYPOCENTERS >2002
-122.3985541,48.97673237,75.0,2,23.2,HYPOCENTERS >2002
-122.2900724,49.01584252,80.0,2,23.2,HYPOCENTERS >2002
-122.1845462,49.04878962,85.0,2,23.2,HYPOCENTERS >2002
-124.896066,47.6877964,20.0,2,23.2,HYPOCENTERS >2002
-124.4892129,47.93196745,25.0,2,23.2,HYPOCENTERS >2002
-124.145237,48.14033808,30.0,2,23.2,HYPOCENTERS >2002
-123.8391068,48.31706273,35.0,2,23.2,HYPOCENTERS >2002
-123.5765016,48.47098511,40.0,2,23.2,HYPOCENTERS >2002
-123.3426267,48.606075,45.0,2,23.2,HYPOCENTERS >2002
-123.1465974,48.7212282,50.0,2,23.2,HYPOCENTERS >2002
-122.9727601,48.81902252,55.0,2,23.2,HYPOCENTERS >2002
-122.8229204,48.90256342,60.0,2,23.2,HYPOCENTERS >2002
-122.6990589,48.97266022,65.0,2,23.2,HYPOCENTERS >2002
-122.588099,49.03349597,70.0,2,23.2,HYPOCENTERS >2002
-122.4956323,49.08454024,75.0,2,23.2,HYPOCENTERS >2002
