lon,lat,depth
142.8495,38.584,18.5489
142.8598,38.6284,18.745
142.8707,38.6757,18.9408
142.8803,38.7171,19.0033
142.8902,38.76,18.8648
142.9005,38.8043,18.86
142.9108,38.8487,18.6543
142.9211,38.893,18.6495
142.9314,38.9374,18.5777
142.9417,38.9817,18.3051
142.952,39.026,18.0994
142.9624,39.0704,17.8267
142.9728,39.1147,17.755
142.9832,39.1591,17.7502
142.9936,39.2034,17.7454
143.004,39.2478,17.8075
143.0144,39.2921,17.8697
143.0245,39.335,17.999
143.0349,39.3793,18.0612
143.0454,39.4237,18.0564
143.0559,39.468,18.1186
143.0667,39.5138,18.1136
143.0779,39.5611,18.1085
143.0874,39.601,18.2381
143.0979,39.6454,18.2333
143.1088,39.6912,18.2283
143.119,39.7341,18.2237
143.1292,39.7769,18.2191
143.1398,39.8212,18.2812
143.1504,39.8656,18.2095
143.1614,39.9114,18.2045
