lon,lat,depth,unc,etype,src
145.3150,40.5527,5.7500,nan,AS,nan
145.2540,40.5839,5.8500,nan,AS,nan
145.2040,40.6091,5.8500,nan,AS,nan
145.1560,40.6334,5.9500,nan,AS,nan
145.0980,40.6625,6.1500,nan,AS,nan
145.0560,40.6839,6.0500,nan,AS,nan
144.9950,40.7149,6.1500,nan,AS,nan
144.9250,40.7497,5.6500,nan,AS,nan
144.8890,40.7681,4.5400,nan,AS,nan
144.8480,40.7884,4.1400,nan,AS,nan
144.8100,40.8077,3.9300,nan,AS,nan
144.7600,40.8328,5.4500,nan,AS,nan
144.7060,40.8598,7.0600,nan,AS,nan
144.6480,40.8886,8.7800,nan,AS,nan
144.6030,40.9108,9.1800,nan,AS,nan
144.5160,40.9540,9.9900,nan,AS,nan
144.4410,40.9915,11.1000,nan,AS,nan
144.3590,41.0317,11.5000,nan,AS,nan
144.3030,41.0595,11.9000,nan,AS,nan
144.2480,41.0863,12.9100,nan,AS,nan
144.1980,41.1111,14.4200,nan,AS,nan
144.1320,41.1435,15.9400,nan,AS,nan
144.0480,41.1846,17.8500,nan,AS,nan
143.9870,41.2141,18.9600,nan,AS,nan
