lon,lat,depth,unc,elev,thickness
129.3330,3.1670,5.1890,5.0000,-4387.0000,802.0000
129.4170,3.1670,5.2250,5.0000,-4421.0000,804.0000
129.5000,3.1670,4.3080,5.0000,-3502.0000,806.0000
129.3330,3.0830,5.1540,5.0000,-4338.0000,816.0000
129.4170,3.0830,4.5050,5.0000,-3687.0000,818.0000
129.5000,3.0830,3.5500,5.0000,-2731.0000,819.0000
129.5830,3.0830,3.1160,5.0000,-2297.0000,819.0000
129.6670,3.0830,3.1890,5.0000,-2371.0000,818.0000
129.7500,3.0830,3.5870,5.0000,-2771.0000,816.0000
129.8330,3.0830,3.8090,5.0000,-2995.0000,814.0000
129.3330,3.0000,5.5180,5.0000,-4687.0000,831.0000
129.4170,3.0000,4.5150,5.0000,-3682.0000,833.0000
129.5000,3.0000,3.4210,5.0000,-2588.0000,833.0000
129.5830,3.0000,2.7900,5.0000,-1957.0000,833.0000
129.6670,3.0000,3.0380,5.0000,-2206.0000,832.0000
129.7500,3.0000,3.3860,5.0000,-2555.0000,831.0000
129.8330,3.0000,3.7080,5.0000,-2880.0000,828.0000
129.9170,3.0000,3.9620,5.0000,-3137.0000,825.0000
130.0000,3.0000,3.8330,5.0000,-3011.0000,822.0000
129.3330,2.9170,5.7000,5.0000,-4853.0000,847.0000
129.4170,2.9170,4.5420,5.0000,-3694.0000,848.0000
129.5000,2.9170,3.4280,5.0000,-2579.0000,849.0000
129.5830,2.9170,2.8220,5.0000,-1974.0000,848.0000
129.6670,2.9170,2.9600,5.0000,-2113.0000,847.0000
129.7500,2.9170,3.2340,5.0000,-2388.0000,846.0000
129.8330,2.9170,3.6480,5.0000,-2805.0000,843.0000
129.9170,2.9170,3.8460,5.0000,-3006.0000,840.0000
130.0000,2.9170,4.1240,5.0000,-3287.0000,837.0000
130.0830,2.9170,4.1810,5.0000,-3348.0000,833.0000
130.1670,2.9170,4.0990,5.0000,-3271.0000,828.0000
129.3330,2.8330,5.2940,5.0000,-4431.0000,863.0000
129.4170,2.8330,4.0600,5.0000,-3196.0000,864.0000
129.5000,2.8330,3.5120,5.0000,-2647.0000,865.0000
129.5830,2.8330,3.1990,5.0000,-2335.0000,864.0000
129.6670,2.8330,3.0170,5.0000,-2154.0000,863.0000
129.7500,2.8330,3.4590,5.0000,-2597.0000,862.0000
129.8330,2.8330,3.6840,5.0000,-2825.0000,859.0000
129.9170,2.8330,3.9750,5.0000,-3119.0000,856.0000
130.0000,2.8330,4.1130,5.0000,-3260.0000,853.0000
130.0830,2.8330,4.0670,5.0000,-3218.0000,849.0000
130.1670,2.8330,3.9340,5.0000,-3090.0000,844.0000
130.2500,2.8330,4.3820,5.0000,-3542.0000,840.0000
129.3330,2.7500,5.0750,5.0000,-4194.0000,881.0000
129.4170,2.7500,3.4190,5.0000,-2537.0000,882.0000
129.5000,2.7500,3.3360,5.0000,-2454.0000,882.0000
129.5830,2.7500,3.1950,5.0000,-2314.0000,881.0000
129.6670,2.7500,3.1030,5.0000,-2223.0000,880.0000
129.7500,2.7500,3.5030,5.0000,-2625.0000,878.0000
129.8330,2.7500,3.3960,5.0000,-2521.0000,875.0000
129.9170,2.7500,3.5970,5.0000,-2725.0000,872.0000
130.0000,2.7500,3.8460,5.0000,-2977.0000,869.0000
130.0830,2.7500,3.8300,5.0000,-2965.0000,865.0000
130.1670,2.7500,3.2820,5.0000,-2421.0000,861.0000
130.2500,2.7500,3.7140,5.0000,-2858.0000,856.0000
130.3330,2.7500,4.5640,5.0000,-3712.0000,852.0000
129.3330,2.6670,5.0240,5.0000,-4125.0000,899.0000
129.4170,2.6670,3.7930,5.0000,-2894.0000,899.0000
129.5000,2.6670,3.1270,5.0000,-2228.0000,899.0000
129.5830,2.6670,2.9270,5.0000,-2029.0000,898.0000
129.6670,2.6670,3.1870,5.0000,-2290.0000,897.0000
129.7500,2.6670,3.1080,5.0000,-2213.0000,895.0000
129.8330,2.6670,3.2400,5.0000,-2348.0000,892.0000
129.9170,2.6670,3.4970,5.0000,-2608.0000,889.0000
130.0000,2.6670,4.0570,5.0000,-3171.0000,886.0000
130.0830,2.6670,4.0970,5.0000,-3215.0000,882.0000
130.1670,2.6670,4.2750,5.0000,-3397.0000,878.0000
130.2500,2.6670,4.5950,5.0000,-3721.0000,874.0000
130.3330,2.6670,4.5510,5.0000,-3682.0000,869.0000
130.4170,2.6670,4.3930,5.0000,-3529.0000,864.0000
129.3330,2.5830,5.0550,5.0000,-4137.0000,918.0000
129.4170,2.5830,4.3860,5.0000,-3468.0000,918.0000
129.5000,2.5830,3.3970,5.0000,-2480.0000,917.0000
129.5830,2.5830,2.6740,5.0000,-1758.0000,916.0000
129.6670,2.5830,3.1280,5.0000,-2214.0000,914.0000
129.7500,2.5830,3.3440,5.0000,-2432.0000,912.0000
129.8330,2.5830,3.9440,5.0000,-3035.0000,909.0000
129.9170,2.5830,4.4860,5.0000,-3580.0000,906.0000
130.0000,2.5830,4.7630,5.0000,-3861.0000,902.0000
130.0830,2.5830,4.6950,5.0000,-3796.0000,899.0000
130.1670,2.5830,4.1370,5.0000,-3242.0000,895.0000
130.2500,2.5830,4.3620,5.0000,-3471.0000,891.0000
130.3330,2.5830,4.4590,5.0000,-3573.0000,886.0000
130.4170,2.5830,4.1840,5.0000,-3302.0000,882.0000
130.5000,2.5830,4.8900,5.0000,-4014.0000,876.0000
129.3330,2.5000,5.0720,5.0000,-4134.0000,938.0000
129.4170,2.5000,4.6780,5.0000,-3741.0000,937.0000
129.5000,2.5000,3.9600,5.0000,-3024.0000,936.0000
129.5830,2.5000,2.8570,5.0000,-1922.0000,935.0000
129.6670,2.5000,2.9670,5.0000,-2034.0000,933.0000
129.7500,2.5000,3.6080,5.0000,-2678.0000,930.0000
129.8330,2.5000,3.9350,5.0000,-3008.0000,927.0000
129.9170,2.5000,4.5040,5.0000,-3581.0000,923.0000
130.0000,2.5000,4.9490,5.0000,-4029.0000,920.0000
130.0830,2.5000,4.9190,5.0000,-4003.0000,916.0000
130.1670,2.5000,4.4400,5.0000,-3528.0000,912.0000
130.2500,2.5000,4.0410,5.0000,-3133.0000,908.0000
130.3330,2.5000,4.3090,5.0000,-3405.0000,904.0000
130.4170,2.5000,4.4470,5.0000,-3547.0000,900.0000
130.5000,2.5000,5.1970,5.0000,-4301.0000,896.0000
130.5830,2.5000,5.2910,5.0000,-4401.0000,890.0000
129.3330,2.4170,4.4840,5.0000,-3526.0000,958.0000
129.4170,2.4170,4.0140,5.0000,-3057.0000,957.0000
129.5000,2.4170,3.6690,5.0000,-2713.0000,956.0000
129.5830,2.4170,3.2160,5.0000,-2262.0000,954.0000
129.6670,2.4170,2.9190,5.0000,-1968.0000,951.0000
129.7500,2.4170,3.7810,5.0000,-2833.0000,948.0000
129.8330,2.4170,4.1490,5.0000,-3204.0000,945.0000
129.9170,2.4170,4.8150,5.0000,-3874.0000,941.0000
130.0000,2.4170,5.0940,5.0000,-4157.0000,937.0000
130.0830,2.4170,5.0450,5.0000,-4112.0000,933.0000
130.1670,2.4170,4.7290,5.0000,-3800.0000,929.0000
130.2500,2.4170,4.0530,5.0000,-3127.0000,926.0000
130.3330,2.4170,4.2900,5.0000,-3367.0000,923.0000
130.4170,2.4170,5.1190,5.0000,-4199.0000,920.0000
130.5000,2.4170,5.4970,5.0000,-4581.0000,916.0000
130.5830,2.4170,5.3890,5.0000,-4478.0000,911.0000
130.6670,2.4170,4.9920,5.0000,-4089.0000,903.0000
129.3330,2.3330,4.0670,5.0000,-3088.0000,979.0000
129.4170,2.3330,2.6210,5.0000,-1644.0000,977.0000
129.5000,2.3330,2.4820,5.0000,-1506.0000,976.0000
129.5830,2.3330,3.0170,5.0000,-2044.0000,973.0000
129.6670,2.3330,3.4960,5.0000,-2526.0000,970.0000
129.7500,2.3330,4.4670,5.0000,-3500.0000,967.0000
129.8330,2.3330,4.3540,5.0000,-3391.0000,963.0000
129.9170,2.3330,4.5840,5.0000,-3626.0000,958.0000
130.0000,2.3330,5.1990,5.0000,-4245.0000,954.0000
130.0830,2.3330,5.1480,5.0000,-4198.0000,950.0000
130.1670,2.3330,5.1070,5.0000,-4161.0000,946.0000
130.2500,2.3330,4.6150,5.0000,-3672.0000,943.0000
130.3330,2.3330,4.4690,5.0000,-3528.0000,941.0000
130.4170,2.3330,5.4880,5.0000,-4547.0000,941.0000
130.5000,2.3330,5.5820,5.0000,-4644.0000,938.0000
130.5830,2.3330,5.3560,5.0000,-4422.0000,934.0000
130.6670,2.3330,4.9160,5.0000,-3990.0000,926.0000
130.7500,2.3330,5.1010,5.0000,-4188.0000,913.0000
129.3330,2.2500,4.0790,5.0000,-3079.0000,1000.0000
129.4170,2.2500,2.9860,5.0000,-1988.0000,998.0000
129.5000,2.2500,3.0940,5.0000,-2098.0000,996.0000
129.5830,2.2500,3.2890,5.0000,-2296.0000,993.0000
129.6670,2.2500,4.4420,5.0000,-3452.0000,990.0000
129.7500,2.2500,5.2640,5.0000,-4278.0000,986.0000
129.8330,2.2500,5.0670,5.0000,-4086.0000,981.0000
129.9170,2.2500,4.9660,5.0000,-3990.0000,976.0000
130.0000,2.2500,5.2930,5.0000,-4322.0000,971.0000
130.0830,2.2500,5.2040,5.0000,-4238.0000,966.0000
130.1670,2.2500,5.2690,5.0000,-4307.0000,962.0000
130.2500,2.2500,5.0710,5.0000,-4111.0000,960.0000
130.3330,2.2500,4.9620,5.0000,-4003.0000,959.0000
130.4170,2.2500,5.5620,5.0000,-4603.0000,959.0000
130.5000,2.2500,5.4800,5.0000,-4521.0000,959.0000
130.5830,2.2500,5.3550,5.0000,-4398.0000,957.0000
130.6670,2.2500,5.1970,5.0000,-4248.0000,949.0000
130.7500,2.2500,5.2260,5.0000,-4291.0000,935.0000
129.3330,2.1670,4.6490,5.0000,-3627.0000,1022.0000
129.4170,2.1670,3.9780,5.0000,-2959.0000,1019.0000
129.5000,2.1670,3.9130,5.0000,-2896.0000,1017.0000
129.5830,2.1670,4.3060,5.0000,-3292.0000,1014.0000
129.6670,2.1670,5.1000,5.0000,-4090.0000,1010.0000
129.7500,2.1670,5.6190,5.0000,-4613.0000,1006.0000
129.8330,2.1670,5.2540,5.0000,-4254.0000,1000.0000
129.9170,2.1670,5.0900,5.0000,-4096.0000,994.0000
130.0000,2.1670,5.3190,5.0000,-4332.0000,987.0000
130.0830,2.1670,5.3260,5.0000,-4344.0000,982.0000
130.1670,2.1670,5.3380,5.0000,-4361.0000,977.0000
130.2500,2.1670,5.3210,5.0000,-4346.0000,975.0000
130.3330,2.1670,5.3630,5.0000,-4388.0000,975.0000
130.4170,2.1670,5.5150,5.0000,-4539.0000,976.0000
130.5000,2.1670,5.3440,5.0000,-4366.0000,978.0000
130.5830,2.1670,5.3230,5.0000,-4345.0000,978.0000
130.6670,2.1670,5.1750,5.0000,-4205.0000,970.0000
130.7500,2.1670,4.7910,5.0000,-3838.0000,953.0000
130.8330,2.1670,4.8750,5.0000,-3942.0000,933.0000
129.3330,2.0830,4.9560,5.0000,-3914.0000,1042.0000
129.4170,2.0830,4.2730,5.0000,-3233.0000,1040.0000
129.5000,2.0830,3.9440,5.0000,-2906.0000,1038.0000
129.5830,2.0830,4.8130,5.0000,-3778.0000,1035.0000
129.6670,2.0830,5.3640,5.0000,-4332.0000,1032.0000
129.7500,2.0830,5.3890,5.0000,-4362.0000,1027.0000
129.8330,2.0830,5.3150,5.0000,-4295.0000,1020.0000
129.9170,2.0830,5.2930,5.0000,-4281.0000,1012.0000
130.0000,2.0830,5.4050,5.0000,-4402.0000,1003.0000
130.0830,2.0830,5.3880,5.0000,-4393.0000,995.0000
130.1670,2.0830,5.3680,5.0000,-4378.0000,990.0000
130.2500,2.0830,5.3550,5.0000,-4368.0000,987.0000
130.3330,2.0830,5.3080,5.0000,-4321.0000,987.0000
130.4170,2.0830,5.3290,5.0000,-4340.0000,989.0000
130.5000,2.0830,5.3660,5.0000,-4374.0000,992.0000
130.5830,2.0830,5.3150,5.0000,-4324.0000,991.0000
130.6670,2.0830,5.1350,5.0000,-4153.0000,982.0000
130.7500,2.0830,5.1500,5.0000,-4185.0000,965.0000
130.8330,2.0830,4.6030,5.0000,-3659.0000,944.0000
129.2500,2.0000,5.7570,5.0000,-4692.0000,1065.0000
129.3330,2.0000,5.6210,5.0000,-4559.0000,1062.0000
129.4170,2.0000,5.3820,5.0000,-4322.0000,1060.0000
129.5000,2.0000,5.1590,5.0000,-4100.0000,1059.0000
129.5830,2.0000,5.4430,5.0000,-4385.0000,1058.0000
129.6670,2.0000,5.5490,5.0000,-4494.0000,1055.0000
129.7500,2.0000,5.5100,5.0000,-4461.0000,1049.0000
129.8330,2.0000,5.4660,5.0000,-4425.0000,1041.0000
129.9170,2.0000,5.4380,5.0000,-4408.0000,1030.0000
130.0000,2.0000,5.4240,5.0000,-4406.0000,1018.0000
130.0830,2.0000,5.3980,5.0000,-4391.0000,1007.0000
130.1670,2.0000,5.3770,5.0000,-4377.0000,1000.0000
130.2500,2.0000,5.3560,5.0000,-4360.0000,996.0000
130.3330,2.0000,5.3550,5.0000,-4359.0000,996.0000
130.4170,2.0000,5.3520,5.0000,-4355.0000,997.0000
130.5000,2.0000,5.3500,5.0000,-4352.0000,998.0000
130.5830,2.0000,5.3320,5.0000,-4336.0000,996.0000
130.6670,2.0000,5.2550,5.0000,-4267.0000,988.0000
130.7500,2.0000,4.9570,5.0000,-3986.0000,971.0000
130.8330,2.0000,4.3900,5.0000,-3439.0000,951.0000
129.2500,1.9170,5.6230,5.0000,-4543.0000,1080.0000
129.3330,1.9170,6.2780,5.0000,-5199.0000,1079.0000
129.4170,1.9170,6.0300,5.0000,-4950.0000,1080.0000
129.5000,1.9170,5.6190,5.0000,-4537.0000,1082.0000
129.5830,1.9170,5.5910,5.0000,-4509.0000,1082.0000
129.6670,1.9170,5.5720,5.0000,-4492.0000,1080.0000
129.7500,1.9170,5.5280,5.0000,-4454.0000,1074.0000
129.8330,1.9170,5.5110,5.0000,-4447.0000,1064.0000
129.9170,1.9170,5.4680,5.0000,-4418.0000,1050.0000
130.0000,1.9170,5.4280,5.0000,-4395.0000,1033.0000
130.0830,1.9170,5.3970,5.0000,-4380.0000,1017.0000
130.1670,1.9170,5.3750,5.0000,-4369.0000,1006.0000
130.2500,1.9170,5.3480,5.0000,-4347.0000,1001.0000
130.3330,1.9170,5.3470,5.0000,-4347.0000,1000.0000
130.4170,1.9170,5.3520,5.0000,-4352.0000,1000.0000
130.5000,1.9170,5.3460,5.0000,-4346.0000,1000.0000
130.5830,1.9170,5.3110,5.0000,-4314.0000,997.0000
130.6670,1.9170,5.1370,5.0000,-4149.0000,988.0000
130.7500,1.9170,4.8740,5.0000,-3901.0000,973.0000
130.8330,1.9170,4.5860,5.0000,-3632.0000,954.0000
130.9170,1.9170,4.7270,5.0000,-3791.0000,936.0000
129.2500,1.8330,5.5160,5.0000,-4425.0000,1091.0000
129.3330,1.8330,6.0140,5.0000,-4919.0000,1095.0000
129.4170,1.8330,5.7050,5.0000,-4605.0000,1100.0000
129.5000,1.8330,5.2620,5.0000,-4158.0000,1104.0000
129.5830,1.8330,5.3620,5.0000,-4254.0000,1108.0000
129.6670,1.8330,5.4810,5.0000,-4373.0000,1108.0000
129.7500,1.8330,5.6320,5.0000,-4528.0000,1104.0000
129.8330,1.8330,5.5660,5.0000,-4473.0000,1093.0000
129.9170,1.8330,5.4170,5.0000,-4343.0000,1074.0000
130.0000,1.8330,5.0930,5.0000,-4045.0000,1048.0000
130.0830,1.8330,5.1120,5.0000,-4088.0000,1024.0000
130.1670,1.8330,5.1990,5.0000,-4190.0000,1009.0000
130.2500,1.8330,5.3540,5.0000,-4351.0000,1003.0000
130.3330,1.8330,5.3450,5.0000,-4344.0000,1001.0000
130.4170,1.8330,5.3370,5.0000,-4336.0000,1001.0000
130.5000,1.8330,5.3030,5.0000,-4304.0000,999.0000
130.5830,1.8330,5.2420,5.0000,-4248.0000,994.0000
130.6670,1.8330,4.7850,5.0000,-3799.0000,986.0000
130.7500,1.8330,3.8050,5.0000,-2834.0000,971.0000
130.8330,1.8330,3.4390,5.0000,-2483.0000,956.0000
130.9170,1.8330,4.7870,5.0000,-3847.0000,940.0000
129.2500,1.7500,5.7800,5.0000,-4678.0000,1102.0000
129.3330,1.7500,5.9740,5.0000,-4863.0000,1111.0000
129.4170,1.7500,5.5780,5.0000,-4458.0000,1120.0000
129.5000,1.7500,5.2810,5.0000,-4152.0000,1129.0000
129.5830,1.7500,5.3150,5.0000,-4178.0000,1137.0000
129.6670,1.7500,5.4100,5.0000,-4268.0000,1142.0000
129.7500,1.7500,5.5450,5.0000,-4404.0000,1141.0000
129.8330,1.7500,5.3310,5.0000,-4200.0000,1131.0000
129.9170,1.7500,4.9970,5.0000,-3889.0000,1108.0000
130.0000,1.7500,4.8360,5.0000,-3764.0000,1072.0000
130.0830,1.7500,5.0410,5.0000,-4005.0000,1036.0000
130.1670,1.7500,5.0620,5.0000,-4048.0000,1014.0000
130.2500,1.7500,5.3610,5.0000,-4356.0000,1005.0000
130.3330,1.7500,5.3590,5.0000,-4357.0000,1002.0000
130.4170,1.7500,5.3190,5.0000,-4319.0000,1000.0000
130.5000,1.7500,5.3140,5.0000,-4317.0000,997.0000
130.5830,1.7500,5.2530,5.0000,-4262.0000,991.0000
130.6670,1.7500,5.0450,5.0000,-4063.0000,982.0000
130.7500,1.7500,4.6650,5.0000,-3695.0000,970.0000
130.8330,1.7500,4.6500,5.0000,-3693.0000,957.0000
130.9170,1.7500,4.9620,5.0000,-4019.0000,943.0000
129.2500,1.6670,5.5890,5.0000,-4476.0000,1113.0000
129.3330,1.6670,5.9080,5.0000,-4781.0000,1127.0000
129.4170,1.6670,5.5410,5.0000,-4401.0000,1140.0000
129.5000,1.6670,4.9410,5.0000,-3787.0000,1154.0000
129.5830,1.6670,5.1850,5.0000,-4017.0000,1168.0000
129.6670,1.6670,5.3460,5.0000,-4166.0000,1180.0000
129.7500,1.6670,5.4180,5.0000,-4230.0000,1188.0000
129.8330,1.6670,5.2510,5.0000,-4067.0000,1184.0000
129.9170,1.6670,5.1150,5.0000,-3952.0000,1163.0000
130.0000,1.6670,5.0540,5.0000,-3934.0000,1120.0000
130.0830,1.6670,5.2310,5.0000,-4162.0000,1069.0000
130.1670,1.6670,5.0340,5.0000,-4002.0000,1032.0000
130.2500,1.6670,5.2680,5.0000,-4255.0000,1013.0000
130.3330,1.6670,5.2610,5.0000,-4257.0000,1004.0000
130.4170,1.6670,5.2990,5.0000,-4298.0000,1001.0000
130.5000,1.6670,5.2410,5.0000,-4246.0000,995.0000
130.5830,1.6670,5.2480,5.0000,-4259.0000,989.0000
130.6670,1.6670,5.1440,5.0000,-4164.0000,980.0000
130.7500,1.6670,4.9580,5.0000,-3989.0000,969.0000
130.8330,1.6670,4.9100,5.0000,-3952.0000,958.0000
