lon,lat,depth,unc,etype,src
131.6160,28.2270,3.7700,nan,AS,nan
131.6090,28.2744,3.9800,nan,AS,nan
131.6010,28.3242,3.9700,nan,AS,nan
131.5930,28.3716,4.1800,nan,AS,nan
131.5860,28.4137,4.4900,nan,AS,nan
131.5780,28.4663,4.4800,nan,AS,nan
131.5720,28.5056,4.4700,nan,AS,nan
131.5670,28.5342,3.4200,nan,AS,nan
131.5550,28.6078,3.7300,nan,AS,nan
131.5480,28.6525,3.8300,nan,AS,nan
131.5460,28.6633,4.7700,nan,AS,nan
131.5410,28.6953,6.0300,nan,AS,nan
131.5270,28.7824,7.1700,nan,AS,nan
131.5130,28.8692,7.5800,nan,AS,nan
131.5060,28.9083,6.8400,nan,AS,nan
131.5020,28.9350,7.7800,nan,AS,nan
131.4870,29.0243,7.9800,nan,AS,nan
131.4750,29.0981,9.0200,nan,AS,nan
131.4650,29.1613,9.1200,nan,AS,nan
131.4470,29.2720,10.3600,nan,AS,nan
131.4260,29.3982,10.7700,nan,AS,nan
131.4110,29.4907,12.4400,nan,AS,nan
131.4010,29.5538,12.7400,nan,AS,nan
131.3950,29.5902,11.5800,nan,AS,nan
131.3840,29.6534,12.2100,nan,AS,nan
131.3800,29.6774,13.3600,nan,AS,nan
131.3580,29.8117,14.1800,nan,AS,nan
131.3440,29.8958,14.3800,nan,AS,nan
