lon,lat,depth
121.6819,24.0734,14.1967
121.7261,24.0644,14.0674
121.7755,24.0543,14.2064
121.8236,24.0444,14.2114
121.8717,24.0345,14.2163
121.9198,24.0247,14.3552
121.9678,24.0148,14.3602
122.0159,24.0048,13.8294
122.0640,23.9949,13.4326
122.1120,23.9850,13.0358
122.1601,23.9750,12.2372
122.2107,23.9645,12.2424
122.2587,23.9545,14.6581
122.3093,23.9440,16.1366
122.3521,23.9350,17.3463
122.3988,23.9253,17.3512
122.4546,23.9136,17.2230
122.4948,23.9051,16.4236
122.5428,23.8951,16.4286
122.5908,23.8850,16.5675
122.6400,23.8746,16.5726
122.6867,23.8647,16.7113
122.7359,23.8543,16.7164
122.7852,23.8439,16.8555
122.8305,23.8343,16.8602
122.8785,23.8241,16.8651
122.9264,23.8139,17.0040
122.9782,23.8028,17.5451
123.0222,23.7935,18.4872
123.0701,23.7832,19.0278
123.1193,23.7727,19.8365
123.1658,23.7627,20.5110
123.2137,23.7524,20.7838
123.2616,23.7421,20.6548
123.3082,23.7321,20.2579
123.3573,23.7214,19.8612
123.4039,23.7114,19.4642
123.4530,23.7007,18.9336
