lon,lat,depth,unc,etype,src
-73.1957,-33.3526,4.3000,nan,AS,nan
-73.1337,-33.3636,4.5000,nan,AS,nan
-73.0479,-33.3789,4.6800,nan,AS,nan
-72.9764,-33.3915,5.0100,nan,AS,nan
-72.8474,-33.4143,5.6700,nan,AS,nan
-72.7590,-33.4297,6.2100,nan,AS,nan
-72.6896,-33.4419,6.7600,nan,AS,nan
-72.6177,-33.4543,7.3100,nan,AS,nan
-72.5578,-33.4647,8.0000,nan,AS,nan
-72.5194,-33.4714,8.4900,nan,AS,nan
-72.4494,-33.4835,9.9000,nan,AS,nan
-72.3601,-33.4988,11.6600,nan,AS,nan
-72.2490,-33.5178,13.9100,nan,AS,nan
-72.1352,-33.5371,16.6000,nan,AS,nan
-72.0386,-33.5534,18.6400,nan,AS,nan
-71.9660,-33.5656,20.2000,nan,AS,nan
-71.8859,-33.5791,22.1800,nan,AS,nan
-71.8061,-33.5924,23.8700,nan,AS,nan
-71.7237,-33.6061,25.6300,nan,AS,nan
