lat,lon,depth
-30.2188,-65.7310,295.3104
-30.1719,-65.4500,298.9043
-30.1277,-65.1560,307.0091
-30.0885,-64.8444,318.8578
-30.0708,-64.6040,340.4646
-30.0627,-64.3931,367.4492
-30.0525,-64.1792,397.6738
-30.1028,-65.7205,274.6099
-30.0742,-65.5416,283.9685
-30.0103,-65.2648,290.9456
-29.9524,-64.9897,302.2295
-29.8945,-64.6859,315.3188
-29.8787,-64.4848,340.1662
-29.8733,-64.3165,370.0915
-29.8551,-64.1101,401.2323
-29.8201,-63.7354,431.1901
-29.8078,-63.4585,468.7954
-29.8410,-63.5088,521.6945
-29.8701,-65.7790,258.0878
-29.8613,-65.5888,268.2956
-29.8026,-65.3343,274.2527
-29.7390,-65.0505,283.1940
-29.6838,-64.7725,295.6663
-29.6661,-64.5609,316.9689
-29.6745,-64.4202,346.2052
-29.6762,-64.2764,377.2409
-29.6493,-64.0411,406.3085
-29.6183,-63.7150,437.5856
-29.6012,-62.8089,575.8241
-29.5845,-65.8862,243.3687
-29.5151,-65.5765,240.2900
-29.4576,-65.2906,244.4293
-29.4307,-65.0515,257.5398
-29.4300,-64.8534,277.2303
-29.4282,-64.6564,298.1677
-29.4578,-64.5351,327.2617
-29.4909,-64.4566,360.5318
-29.4687,-64.2386,385.2483
-29.4471,-64.0199,414.4190
-29.4220,-63.7328,446.0915
-29.4245,-63.2108,562.8963
-29.3953,-62.7643,577.1537
-29.2754,-65.7572,232.9620
-29.1761,-65.3514,221.8497
-29.1813,-65.1618,240.9249
-29.1937,-64.9867,262.6976
-29.2063,-64.8136,285.2681
-29.2361,-64.6854,312.7352
-29.2753,-64.6032,344.5737
-29.2604,-64.3917,366.3066
-29.2489,-64.1867,391.5339
-29.2370,-63.9818,421.0893
-29.2312,-63.7881,456.5339
-29.2673,-63.8774,509.0917
-29.2232,-63.1639,564.5507
-29.1917,-62.7464,580.6620
-29.0361,-65.7486,237.6250
-29.0080,-65.4324,239.1061
-28.9884,-65.1528,247.8991
-28.9914,-64.9650,268.6716
-28.9982,-64.7929,291.5025
-29.0036,-64.6147,314.2635
-29.0142,-64.4614,340.3586
-29.0277,-64.3296,369.4420
-29.0331,-64.1712,398.2268
-29.0381,-64.0278,431.2639
-29.0412,-63.8628,467.5828
-29.0372,-63.6367,503.0850
-29.0506,-63.5003,543.6186
-29.0230,-63.1173,567.5278
-28.9773,-62.6934,583.2761
-28.7932,-65.6936,190.5293
-28.7937,-65.4811,205.7421
-28.7945,-65.2815,223.8406
-28.7961,-65.1173,246.9889
-28.7959,-64.9283,268.1805
-28.7954,-64.7417,290.0243
-28.7960,-64.5624,313.4373
-28.8061,-64.4471,343.7034
-28.8170,-64.3152,373.3912
-28.8324,-64.2076,406.3340
