lon,lat,depth,unc,etype,src
158.0660,-10.3543,6.0600,nan,AS,nan
158.1250,-10.2948,5.8300,nan,AS,nan
158.1900,-10.2304,5.3600,nan,AS,nan
158.2350,-10.1859,4.7800,nan,AS,nan
158.2800,-10.1412,4.6600,nan,AS,nan
158.3390,-10.0817,4.6600,nan,AS,nan
158.4140,-10.0072,5.1300,nan,AS,nan
158.4840,-9.9377,4.5500,nan,AS,nan
158.5830,-9.8384,4.9000,nan,AS,nan
158.6720,-9.7489,5.7100,nan,AS,nan
158.7520,-9.6693,6.6500,nan,AS,nan
158.8710,-9.5498,8.4000,nan,AS,nan
158.9660,-9.4552,10.0300,nan,AS,nan
159.0500,-9.3705,11.6600,nan,AS,nan
159.1290,-9.2907,13.4100,nan,AS,nan
159.1940,-9.2258,15.3900,nan,AS,nan
159.2440,-9.1757,17.6100,nan,AS,nan
159.3130,-9.1056,21.8100,nan,AS,nan
159.3630,-9.0554,25.3100,nan,AS,nan
