lon,lat,depth,unc,etype,src
109.4610,-12.4541,6.6900,nan,AS,nan
109.4870,-12.2070,6.6900,nan,AS,nan
109.5270,-11.8422,6.6900,nan,AS,nan
109.5920,-11.2362,6.6900,nan,AS,nan
109.6450,-10.7419,6.6900,nan,AS,nan
109.6810,-10.4124,5.9900,nan,AS,nan
109.7120,-10.1182,6.6900,nan,AS,nan
109.7410,-9.8475,7.7500,nan,AS,nan
109.7680,-9.5945,9.8600,nan,AS,nan
109.7970,-9.3238,11.9700,nan,AS,nan
109.8170,-9.1296,15.1400,nan,AS,nan
109.8490,-8.8295,21.1300,nan,AS,nan
109.8790,-8.5471,27.1100,nan,AS,nan
109.9110,-8.2470,33.8000,nan,AS,nan
109.9310,-8.0586,39.7900,nan,AS,nan
109.9500,-7.8704,48.2400,nan,AS,nan
109.9630,-7.7468,54.9300,nan,AS,nan
