lon,lat,depth,unc,etype,src
-147.5560,60.4669,19.5800,nan,RF,nan
-147.7046,60.5998,23.2800,nan,RF,nan
-147.9085,60.7805,25.4900,nan,RF,nan
-148.0004,60.8613,27.7100,nan,RF,nan
-148.1953,61.0313,30.6700,nan,RF,nan
-148.3995,61.2075,31.4000,nan,RF,nan
-148.4863,61.2818,31.4000,nan,RF,nan
-148.7119,61.4732,32.1400,nan,RF,nan
-148.8005,61.5478,34.3600,nan,RF,nan
-148.9593,61.6806,34.3600,nan,RF,nan
-149.0919,61.7906,36.5800,nan,RF,nan
-149.2387,61.9115,37.3200,nan,RF,nan
-149.5292,62.1478,41.7500,nan,RF,nan
-149.6650,62.2570,48.4000,nan,RF,nan
-149.8831,62.4308,52.8300,nan,RF,nan
-150.0101,62.5312,58.0000,nan,RF,nan
-150.0872,62.5916,64.6600,nan,RF,nan
-150.2878,62.7481,70.5700,nan,RF,nan
-150.4220,62.8518,75.0000,nan,RF,nan
-150.5641,62.9608,82.3900,nan,RF,nan
-150.7250,63.0833,89.0400,nan,RF,nan
-150.7908,63.1331,95.6900,nan,RF,nan
-151.0220,63.3066,102.3400,nan,RF,nan
-151.1646,63.4126,108.9900,nan,RF,nan
-151.2800,63.4979,112.6800,nan,RF,nan
