lon,lat,depth,unc,etype,src
-95.1114,17.9735,39.5000,nan,RF,nan
-95.0371,17.8777,35.2000,nan,RF,nan
-95.0709,17.7052,30.9000,nan,RF,nan
-95.1238,18.3997,31.4000,nan,RF,nan
-95.0667,17.8204,35.2000,nan,RF,nan
-95.0494,17.9083,37.3000,nan,RF,nan
-94.9947,16.7311,32.4000,nan,RF,nan
-95.1196,18.1106,37.7000,nan,RF,nan
-95.1177,18.1530,30.6000,nan,RF,nan
-95.0518,17.7516,46.0000,nan,RF,nan
-95.0592,17.2301,41.1000,nan,RF,nan
-95.0740,18.5842,31.2000,nan,RF,nan
-94.9577,16.6939,33.8000,nan,RF,nan
-95.0466,18.0176,41.3000,nan,RF,nan
-95.0886,17.6398,45.8000,nan,RF,nan
-95.0458,18.4595,36.8000,nan,RF,nan
-95.0591,16.5036,30.5000,nan,RF,nan
-95.1223,16.5635,29.7000,nan,RF,nan
-95.0240,17.4307,37.1000,nan,RF,nan
-95.0122,16.4497,27.3000,nan,RF,nan
-95.0497,17.3334,33.3000,nan,RF,nan
-95.1247,18.2375,28.0000,nan,RF,nan
-95.0362,16.8820,33.8000,nan,RF,nan
-94.9474,16.6325,27.9000,nan,RF,nan
-95.0944,18.6387,23.5000,nan,RF,nan
-95.0848,17.5269,42.1000,nan,RF,nan
-95.0460,17.0742,29.3000,nan,RF,nan
-95.0289,16.7643,28.8000,nan,RF,nan
-95.0698,17.7704,35.5000,nan,RF,nan
-94.9944,16.2082,25.2000,nan,RF,nan
-95.1174,18.2969,27.4000,nan,RF,nan
-95.0352,18.5040,25.0000,nan,RF,nan
-94.9888,17.3801,39.5000,nan,RF,nan
-95.0466,17.1950,40.5000,nan,RF,nan
-95.0976,18.3329,27.9000,nan,RF,nan
