lon,lat,depth
22.8783,35.5336,59.6516
22.9337,35.6307,60.8539
22.9835,35.7178,62.2534
23.0400,35.8162,63.0590
23.0772,35.8809,64.2573
23.1160,35.9483,65.8528
23.1631,36.0298,67.8469
23.2183,36.1253,69.4458
23.2705,36.2151,71.4409
23.3129,36.2881,72.2434
23.3587,36.3667,74.2371
23.4063,36.4480,76.2312
23.4589,36.5378,78.2263
23.4984,36.6051,80.2186
23.5512,36.6949,82.6105
23.5991,36.7761,85.0014
23.6422,36.8490,87.7880
23.6903,36.9302,93.3535
23.7385,37.0115,100.5060
23.7835,37.0870,109.6430
23.8336,37.1709,123.9380
