lon,lat,depth,unc,etype,mag
-70.4179,-22.9835,38.1880,nan,ER,4.0000
-70.4193,-22.9842,37.8570,nan,ER,3.5000
-70.0527,-21.6661,60.9060,nan,ER,2.1000
-69.9122,-21.3294,86.7570,nan,ER,3.4000
-70.3523,-22.5639,43.5190,nan,ER,3.2000
-69.7736,-21.4234,43.4640,nan,ER,2.7000
-69.8861,-21.2873,62.2960,nan,ER,3.1000
-70.3739,-21.9698,41.4590,nan,ER,3.4000
-69.9812,-22.0227,54.6160,nan,ER,2.2000
-69.8292,-21.8766,78.7380,nan,ER,3.0000
-70.0086,-21.2678,52.4680,nan,ER,2.1000
-70.1011,-21.7101,50.5140,nan,ER,2.5000
-70.1590,-21.8983,77.0510,nan,ER,2.9000
-69.9493,-21.5683,84.0970,nan,ER,2.4000
-70.1553,-21.8199,70.5860,nan,ER,3.7000
-70.2370,-22.3562,43.4190,nan,ER,3.2000
-70.0834,-21.9961,78.9180,nan,ER,2.5000
-70.3111,-22.7937,44.2650,nan,ER,3.5000
-70.3076,-22.0541,43.2250,nan,ER,2.1000
-69.5567,-21.9747,77.3260,nan,ER,2.8000
-69.9862,-21.7641,63.7180,nan,ER,5.4000
-70.2648,-21.2516,46.2390,nan,ER,2.9000
-69.9810,-21.7653,62.6110,nan,ER,2.8000
-70.3149,-21.5436,40.6960,nan,ER,2.5000
-70.3451,-23.0475,38.6980,nan,ER,4.4000
-69.9868,-21.7661,62.8530,nan,ER,3.2000
-70.1510,-21.1554,72.8910,nan,ER,2.8000
-70.0596,-21.2113,46.6500,nan,ER,1.8000
-69.9743,-22.0411,55.1970,nan,ER,3.3000
-70.2672,-22.8592,41.0610,nan,ER,2.6000
-69.9740,-22.0390,56.1330,nan,ER,3.2000
-69.8478,-21.8097,68.9920,nan,ER,3.1000
-69.6950,-21.4529,34.8370,nan,ER,2.0000
-70.0168,-21.3031,39.3270,nan,ER,1.7000
-70.3865,-21.1764,62.9330,nan,ER,2.4000
-69.5465,-22.6194,79.9980,nan,ER,2.7000
-69.9361,-21.1036,52.5350,nan,ER,2.7000
-70.1845,-21.2958,45.9230,nan,ER,2.4000
-69.4884,-21.5150,24.3010,nan,ER,2.3000
-69.8225,-21.2300,63.6210,nan,ER,3.0000
-69.9863,-21.2571,37.6030,nan,ER,2.8000
-70.1835,-22.3962,10.2840,nan,ER,1.4000
-70.1074,-21.9416,74.2000,nan,ER,2.0000
-70.2666,-22.3630,42.7070,nan,ER,3.2000
