lon,lat,depth,unc,etype,mag
-66.4833,-28.0164,169.3500,nan,ER,4.7000
-70.7434,-35.0861,107.8400,nan,ER,4.3000
-68.3129,-30.1146,12.4300,nan,ER,5.4000
-69.9601,-32.0825,102.6200,nan,ER,4.5000
-69.2360,-32.0822,112.0200,nan,ER,4.6000
-70.2320,-33.0941,98.5200,nan,ER,4.8000
-70.2176,-33.3704,94.6900,nan,ER,4.7000
-68.9579,-28.3277,81.6200,nan,ER,4.0000
-68.6046,-29.4982,89.7300,nan,ER,4.6000
-70.4670,-33.7790,105.1000,nan,ER,4.5000
-68.1630,-29.6160,100.0000,nan,ER,4.0000
-70.1233,-29.7295,10.0000,nan,ER,4.6000
-68.7720,-32.4270,136.0000,nan,ER,4.4000
-68.3840,-31.9600,114.0000,nan,ER,4.5000
-69.2340,-29.7350,119.0000,nan,ER,4.3000
-64.2782,-30.0404,15.7600,nan,ER,4.5000
-68.1840,-29.6274,42.3600,nan,ER,4.1000
-67.5320,-28.9930,11.0000,nan,ER,4.3000
-70.3070,-30.6360,10.2000,nan,ER,4.3000
-70.6490,-28.2160,43.8000,nan,ER,5.2000
-68.4945,-31.3155,10.0000,nan,ER,4.2000
-70.0222,-32.0233,107.6800,nan,ER,4.7000
-67.9926,-28.8752,17.3600,nan,ER,4.4000
-68.0609,-32.1373,20.0700,nan,ER,4.7000
-69.7600,-28.3380,113.4000,nan,ER,4.2000
-70.8800,-31.4570,85.1000,nan,ER,4.0000
-67.6180,-32.9890,178.0000,nan,ER,4.7000
-67.3667,-28.3003,118.9100,nan,ER,4.6000
-68.7780,-31.3510,111.0000,nan,ER,4.3000
-70.8070,-28.6500,45.1000,nan,ER,4.7000
-69.2255,-30.3524,29.6700,nan,ER,4.4000
-69.4231,-29.4782,112.8700,nan,ER,4.7000
-67.5533,-32.5015,48.3900,nan,ER,4.1000
-68.9960,-31.1450,116.0000,nan,ER,4.4000
-69.8950,-28.7480,104.4000,nan,ER,4.1000
-67.8036,-31.4628,98.0100,nan,ER,4.0000
-68.0130,-33.5650,186.0000,nan,ER,4.5000
-66.4540,-28.0480,180.0000,nan,ER,4.6000
-68.5743,-31.7324,84.6200,nan,ER,4.2000
-69.0658,-31.1824,122.3500,nan,ER,4.6000
-70.0491,-35.4776,162.3600,nan,ER,4.3000
-70.6080,-34.4500,99.1000,nan,ER,4.3000
-70.9399,-35.1067,98.3300,nan,ER,4.7000
-67.3690,-31.1520,125.0000,nan,ER,4.0000
-68.4400,-31.1510,107.0000,nan,ER,4.1000
-70.6018,-29.3814,93.9800,nan,ER,4.1000
-67.1231,-32.7183,172.0000,nan,ER,6.3000
-68.1586,-29.4227,105.9600,nan,ER,4.5000
-67.8990,-28.2860,126.0000,nan,ER,4.2000
-70.2617,-31.5106,110.7900,nan,ER,4.6000
-70.1680,-32.0590,111.0000,nan,ER,4.2000
-65.4643,-31.0437,171.8200,nan,ER,4.5000
-70.3300,-33.5900,113.0000,nan,ER,4.5000
-68.4040,-31.1820,107.0000,nan,ER,4.3000
-69.8700,-31.9010,105.0000,nan,ER,4.1000
-70.9000,-36.0570,163.0000,nan,ER,4.0000
-68.7900,-31.5650,108.0000,nan,ER,4.5000
-69.8820,-28.8382,117.8500,nan,ER,4.3000
-68.0382,-31.1920,105.4000,nan,ER,4.3000
-68.4148,-32.0270,131.2500,nan,ER,4.1000
-64.3440,-31.1570,24.0000,nan,ER,4.3000
-70.6000,-32.9590,86.2000,nan,ER,4.8000
-68.4549,-31.5725,103.3400,nan,ER,4.6000
-69.4277,-31.5783,108.9700,nan,ER,4.5000
-69.3320,-31.6800,113.0000,nan,ER,4.6000
-69.0530,-28.3760,98.0900,nan,ER,4.8000
-70.3540,-33.5820,111.7000,nan,ER,4.1000
-69.9190,-31.7320,115.0000,nan,ER,4.5000
-69.7940,-33.2970,8.1000,nan,ER,4.1000
-69.4168,-28.7095,118.5800,nan,ER,4.8000
-68.4470,-31.3300,116.0000,nan,ER,4.8000
-69.0080,-31.3870,119.0000,nan,ER,4.5000
-67.3370,-28.2446,107.5700,nan,ER,4.4000
-68.8811,-28.2836,88.4500,nan,ER,4.2000
-70.1200,-33.2750,111.7000,nan,ER,4.3000
-69.2760,-28.2350,115.0000,nan,ER,4.6000
-68.8347,-31.2943,102.6600,nan,ER,4.6000
-67.8885,-28.4990,113.7500,nan,ER,4.6000
-68.6429,-33.4835,52.0600,nan,ER,4.4000
-70.2332,-33.0699,108.3200,nan,ER,4.1000
-68.3373,-29.7166,99.8000,nan,ER,4.2000
-70.5811,-33.3807,99.9700,nan,ER,4.4000
-67.5320,-31.1870,110.0000,nan,ER,4.2000
-69.3580,-32.2527,107.6500,nan,ER,4.5000
-67.8413,-31.4242,93.3500,nan,ER,4.3000
-68.6880,-28.9480,107.9100,nan,ER,4.4000
-67.3144,-28.4660,128.3700,nan,ER,4.3000
-68.5746,-29.2195,62.7700,nan,ER,4.2000
-70.6990,-28.3120,57.8000,nan,ER,4.0000
-70.8253,-28.0758,69.8800,nan,ER,4.6000
-67.5002,-28.6396,118.0400,nan,ER,4.0000
-70.6200,-30.7480,83.4000,nan,ER,5.3000
-68.8630,-31.3620,105.0000,nan,ER,4.3000
-65.8019,-28.1534,26.9100,nan,ER,4.6000
-69.2660,-31.2970,122.0000,nan,ER,4.1000
-68.2359,-31.3557,10.0000,nan,ER,4.1000
-70.4744,-31.8891,101.9500,nan,ER,4.3000
-69.0180,-28.3904,106.9500,nan,ER,4.4000
-70.5640,-30.7450,52.6000,nan,ER,4.8000
-68.9563,-31.4321,113.2700,nan,ER,4.8000
-66.4140,-31.2976,11.4200,nan,ER,4.9000
-68.5075,-31.3573,96.0700,nan,ER,4.4000
-70.9760,-28.5540,65.9000,nan,ER,4.0000
-68.1345,-31.4199,17.2500,nan,ER,4.3000
-67.4408,-31.9367,118.2500,nan,ER,4.4000
-70.3250,-33.7960,107.6000,nan,ER,4.5000
-67.5051,-29.8311,103.4600,nan,ER,4.6000
-67.5553,-33.5756,200.2100,nan,ER,4.6000
-68.6823,-31.2666,94.7100,nan,ER,4.5000
-67.4327,-28.3127,118.0500,nan,ER,4.4000
-67.4745,-28.2701,113.2400,nan,ER,4.6000
-69.0054,-28.3860,113.5300,nan,ER,4.7000
-69.6041,-31.6779,113.9800,nan,ER,4.4000
-69.6390,-33.2370,10.0000,nan,ER,4.0000
-70.3232,-31.5039,96.2100,nan,ER,5.4000
-70.5400,-32.9160,98.7000,nan,ER,4.3000
-68.8042,-29.1902,27.6100,nan,ER,5.2000
-68.7459,-29.1646,10.0000,nan,ER,5.7000
-70.0557,-29.3362,101.1500,nan,ER,4.4000
-70.3320,-33.1490,108.1000,nan,ER,4.3000
-66.9988,-28.8587,135.2500,nan,ER,4.6000
-69.7730,-31.7110,109.0000,nan,ER,4.5000
-67.8590,-31.2280,10.0000,nan,ER,4.1000
-69.1430,-31.2480,104.0000,nan,ER,4.4000
-69.5203,-32.0572,106.7800,nan,ER,4.6000
-68.6830,-31.5940,112.0000,nan,ER,4.2000
-70.4110,-33.7080,96.3000,nan,ER,4.6000
-68.6357,-31.2234,109.6600,nan,ER,4.8000
-67.9500,-28.5320,127.0000,nan,ER,4.7000
-70.2770,-32.9780,114.7000,nan,ER,4.1000
-70.0160,-28.9800,118.1000,nan,ER,4.7000
-67.3940,-28.8570,130.0000,nan,ER,4.1000
-68.5090,-32.0310,118.0000,nan,ER,4.1000
-68.7030,-31.2980,112.0000,nan,ER,4.6000
-69.0290,-30.1290,123.0000,nan,ER,4.5000
-69.9280,-32.4840,126.0000,nan,ER,4.3000
-70.2830,-33.3330,106.9000,nan,ER,4.4000
-67.3960,-28.5040,149.0000,nan,ER,4.4000
-66.7828,-29.3228,40.3100,nan,ER,4.6000
-68.1214,-31.1362,104.6600,nan,ER,5.2000
-67.7789,-29.2860,119.5100,nan,ER,4.4000
-68.6098,-31.5271,67.0700,nan,ER,4.0000
-70.0601,-33.9514,108.6000,nan,ER,4.6000
-70.6210,-32.8720,95.3000,nan,ER,4.6000
-66.9620,-28.7640,153.0000,nan,ER,4.8000
-69.2994,-31.3939,113.0000,nan,ER,5.3000
-66.9562,-28.5998,127.8200,nan,ER,4.7000
-68.9590,-31.6437,108.5800,nan,ER,4.7000
-70.6370,-36.5733,135.4900,nan,ER,4.2000
-68.1738,-31.4819,10.1100,nan,ER,4.4000
-69.7407,-31.6294,107.7200,nan,ER,4.4000
-65.4115,-30.9232,179.7000,nan,ER,4.4000
-67.4793,-32.6627,22.2600,nan,ER,4.9000
-69.4235,-31.6490,115.3100,nan,ER,4.4000
-67.5910,-28.5040,133.0000,nan,ER,4.3000
-69.2052,-28.3644,95.2000,nan,ER,4.4000
-70.8550,-34.5330,87.5000,nan,ER,4.1000
-65.7530,-28.0790,33.0000,nan,ER,4.6000
-68.4507,-29.1366,105.0300,nan,ER,4.1000
-70.3490,-33.6040,117.9000,nan,ER,4.4000
