lon,lat,depth,unc,etype,src
-80.1492,2.0305,4.1900,nan,AS,nan
-80.1236,2.0079,4.1900,nan,AS,nan
-80.0790,1.9686,4.1800,nan,AS,nan
-80.0453,1.9389,4.4600,nan,AS,nan
-80.0088,1.9068,4.7400,nan,AS,nan
-79.9818,1.8830,4.7400,nan,AS,nan
-79.9575,1.8616,4.9300,nan,AS,nan
-79.9413,1.8473,5.5100,nan,AS,nan
-79.9278,1.8354,5.7000,nan,AS,nan
-79.9157,1.8247,6.0900,nan,AS,nan
-79.8981,1.8092,5.6000,nan,AS,nan
-79.8576,1.7735,6.2700,nan,AS,nan
-79.8064,1.7283,7.7200,nan,AS,nan
-79.7605,1.6879,8.9800,nan,AS,nan
-79.7011,1.6355,10.2300,nan,AS,nan
-79.6701,1.6081,10.9100,nan,AS,nan
-79.6282,1.5713,12.0700,nan,AS,nan
-79.5878,1.5356,13.2300,nan,AS,nan
-79.5581,1.5094,14.0000,nan,AS,nan
-79.5162,1.4725,14.9700,nan,AS,nan
-79.4717,1.4332,16.4200,nan,AS,nan
