lat,lon,depth
-39.5700,-73.4230,169.9480
-39.5906,-73.2835,183.1334
-39.6076,-73.1289,197.0592
-39.6235,-72.9792,212.4026
-39.6358,-72.7798,228.5978
-39.6177,-72.6930,258.5046
-39.6041,-72.5457,285.0663
-39.4586,-73.2160,125.7087
-39.4680,-73.0215,132.1333
-39.4682,-72.8447,144.6975
-39.4679,-72.6804,159.5995
-39.4698,-72.4814,174.8579
-39.4839,-72.2481,182.2194
-39.5221,-71.9239,174.2992
-39.5960,-71.4205,133.5246
-39.6077,-71.1352,128.6477
-39.6023,-70.9388,138.4278
-39.5974,-70.7568,150.0686
-39.6112,-70.6742,183.7577
-39.6560,-70.7262,241.2956
-39.6346,-70.1512,321.4089
-39.6292,-70.1071,362.2672
-39.6163,-69.8889,369.8652
-39.6055,-69.6661,377.4072
-39.5965,-69.4358,382.8000
-39.5895,-69.1967,386.1069
-39.5832,-68.9752,392.9289
-39.5772,-68.7722,403.2423
-39.5728,-68.5454,407.6751
-39.5673,-68.3466,418.5495
-39.5618,-68.1544,430.1194
-39.5457,-68.0955,472.7886
-39.5411,-66.3373,498.7105
-39.5448,-66.1116,498.9614
-39.5476,-65.8979,502.0730
-39.5498,-65.6956,508.0578
-39.2515,-73.0177,130.7520
-39.2101,-72.8691,146.3481
-39.1879,-72.6911,157.4846
-39.1675,-72.5108,173.6049
-39.1823,-72.3162,185.5186
-39.2602,-71.9893,177.1814
-39.3529,-71.5701,153.5160
-39.3921,-71.2437,145.2528
-39.3977,-71.0258,153.8689
-39.4002,-70.8387,166.8922
-39.4059,-70.6612,181.1492
-39.4258,-70.5861,215.4563
-39.4321,-70.1278,320.6809
-39.4257,-70.0025,345.6194
-39.4176,-69.8660,368.6701
-39.4077,-69.6401,375.0610
-39.3991,-69.4072,379.3088
-39.3914,-69.2050,389.9119
-39.3847,-68.9752,394.7271
-39.3779,-68.7726,404.9178
-39.3705,-68.5879,418.6548
-39.3645,-68.3761,426.6187
-39.3547,-68.2242,447.5622
-39.3447,-68.0672,467.4646
-39.3298,-66.3744,507.1607
-39.3333,-66.1533,508.3578
-39.3377,-65.9289,508.6201
-39.3409,-65.7196,512.7195
-39.0512,-72.9805,130.5441
-39.0048,-72.8300,141.5889
-38.9668,-72.6796,153.6467
-38.9502,-72.5083,165.6099
-38.9578,-72.3639,180.2535
-39.0179,-72.1105,183.2408
-39.0961,-71.7766,175.2086
-39.1625,-71.3987,163.3906
-39.1877,-71.1072,164.5845
-39.1975,-70.8749,171.9855
-39.2044,-70.6912,186.5506
-39.2128,-70.5313,205.9697
-39.2162,-69.8344,365.6893
-39.2075,-69.6144,372.7883
-39.1995,-69.3964,379.6302
-39.1920,-69.1772,386.3281
-39.1848,-68.9613,393.7911
-39.1774,-68.7633,404.7798
-39.1692,-68.5786,418.3927
-39.1603,-68.3995,433.7925
-39.1504,-68.2310,450.8547
-39.1401,-68.0619,467.8166
-39.1168,-66.4110,515.4983
-39.1210,-66.1871,515.7309
