lon,lat,depth,unc,elev,thickness
335.8330,-59.5830,8.4920,5.0000,-6594.0000,1898.0000
335.9170,-59.5830,8.5070,5.0000,-6547.0000,1960.0000
335.6670,-59.6670,7.5670,5.0000,-5895.0000,1672.0000
335.7500,-59.6670,8.0600,5.0000,-6273.0000,1787.0000
335.8330,-59.6670,8.1540,5.0000,-6273.0000,1881.0000
335.9170,-59.6670,7.6300,5.0000,-5681.0000,1949.0000
335.4170,-59.7500,5.9320,5.0000,-4657.0000,1275.0000
335.5000,-59.7500,6.3550,5.0000,-4962.0000,1393.0000
335.5830,-59.7500,6.7830,5.0000,-5269.0000,1514.0000
335.6670,-59.7500,7.8040,5.0000,-6169.0000,1635.0000
335.7500,-59.7500,8.0550,5.0000,-6306.0000,1749.0000
335.8330,-59.7500,7.7020,5.0000,-5854.0000,1848.0000
335.9170,-59.7500,7.4250,5.0000,-5504.0000,1921.0000
335.2500,-59.8330,5.5750,5.0000,-4514.0000,1061.0000
335.3330,-59.8330,5.8380,5.0000,-4680.0000,1158.0000
335.4170,-59.8330,6.3940,5.0000,-5138.0000,1256.0000
335.5000,-59.8330,7.0060,5.0000,-5650.0000,1356.0000
335.5830,-59.8330,7.5100,5.0000,-6046.0000,1464.0000
335.6670,-59.8330,7.8410,5.0000,-6266.0000,1575.0000
335.7500,-59.8330,7.8360,5.0000,-6153.0000,1683.0000
335.8330,-59.8330,7.5150,5.0000,-5735.0000,1780.0000
335.9170,-59.8330,7.4290,5.0000,-5571.0000,1858.0000
335.0830,-59.9170,5.6490,5.0000,-4768.0000,881.0000
335.1670,-59.9170,5.8100,5.0000,-4830.0000,980.0000
335.2500,-59.9170,6.0510,5.0000,-4987.0000,1064.0000
335.3330,-59.9170,6.4520,5.0000,-5311.0000,1141.0000
335.4170,-59.9170,6.9050,5.0000,-5685.0000,1220.0000
335.5000,-59.9170,7.2890,5.0000,-5985.0000,1304.0000
335.5830,-59.9170,7.0360,5.0000,-5640.0000,1396.0000
335.6670,-59.9170,7.3940,5.0000,-5902.0000,1492.0000
335.7500,-59.9170,7.3350,5.0000,-5748.0000,1587.0000
335.8330,-59.9170,7.1520,5.0000,-5476.0000,1676.0000
335.9170,-59.9170,7.0450,5.0000,-5293.0000,1752.0000
334.9170,-60.0000,5.1340,5.0000,-4495.0000,639.0000
335.0000,-60.0000,5.6480,5.0000,-4871.0000,777.0000
335.0830,-60.0000,6.1020,5.0000,-5211.0000,891.0000
335.1670,-60.0000,6.2150,5.0000,-5237.0000,978.0000
335.2500,-60.0000,6.9290,5.0000,-5881.0000,1048.0000
335.3330,-60.0000,7.4580,5.0000,-6348.0000,1110.0000
335.4170,-60.0000,7.7790,5.0000,-6606.0000,1173.0000
335.5000,-60.0000,7.9650,5.0000,-6723.0000,1242.0000
335.5830,-60.0000,7.6740,5.0000,-6358.0000,1316.0000
335.6670,-60.0000,7.3390,5.0000,-5944.0000,1395.0000
335.7500,-60.0000,7.2900,5.0000,-5816.0000,1474.0000
335.8330,-60.0000,7.3030,5.0000,-5753.0000,1550.0000
335.9170,-60.0000,7.2440,5.0000,-5629.0000,1615.0000
334.7500,-60.0830,4.3800,5.0000,-3998.0000,382.0000
334.8330,-60.0830,4.8260,5.0000,-4315.0000,511.0000
334.9170,-60.0830,5.4000,5.0000,-4749.0000,651.0000
335.0000,-60.0830,5.9850,5.0000,-5205.0000,780.0000
335.0830,-60.0830,6.3670,5.0000,-5483.0000,884.0000
335.1670,-60.0830,6.9720,5.0000,-6011.0000,961.0000
335.2500,-60.0830,7.7780,5.0000,-6758.0000,1020.0000
335.3330,-60.0830,7.9200,5.0000,-6851.0000,1069.0000
335.4170,-60.0830,7.7360,5.0000,-6617.0000,1119.0000
335.5000,-60.0830,7.5110,5.0000,-6339.0000,1172.0000
335.5830,-60.0830,7.3220,5.0000,-6091.0000,1231.0000
335.6670,-60.0830,7.2710,5.0000,-5978.0000,1293.0000
335.7500,-60.0830,7.1870,5.0000,-5831.0000,1356.0000
335.8330,-60.0830,7.1900,5.0000,-5774.0000,1416.0000
335.9170,-60.0830,6.9700,5.0000,-5502.0000,1468.0000
334.5000,-60.1670,4.5520,5.0000,-4364.0000,188.0000
334.5830,-60.1670,4.6520,5.0000,-4417.0000,235.0000
334.6670,-60.1670,4.9450,5.0000,-4638.0000,307.0000
334.7500,-60.1670,5.1460,5.0000,-4738.0000,408.0000
334.8330,-60.1670,5.1800,5.0000,-4649.0000,531.0000
334.9170,-60.1670,5.5690,5.0000,-4907.0000,662.0000
335.0000,-60.1670,5.8620,5.0000,-5081.0000,781.0000
335.0830,-60.1670,6.1800,5.0000,-5306.0000,874.0000
335.1670,-60.1670,6.8040,5.0000,-5864.0000,940.0000
335.2500,-60.1670,7.7030,5.0000,-6715.0000,988.0000
335.3330,-60.1670,7.6190,5.0000,-6593.0000,1026.0000
335.4170,-60.1670,7.2890,5.0000,-6226.0000,1063.0000
335.5000,-60.1670,7.0060,5.0000,-5903.0000,1103.0000
335.5830,-60.1670,6.8100,5.0000,-5664.0000,1146.0000
335.6670,-60.1670,6.6990,5.0000,-5506.0000,1193.0000
335.7500,-60.1670,6.6990,5.0000,-5458.0000,1241.0000
335.8330,-60.1670,6.1210,5.0000,-4833.0000,1288.0000
335.9170,-60.1670,6.2080,5.0000,-4880.0000,1328.0000
334.3330,-60.2500,4.4230,5.0000,-4268.0000,155.0000
334.4170,-60.2500,4.3410,5.0000,-4163.0000,178.0000
