lat,lon,depth
39.4017,-121.8679,83.3104
39.4006,-121.7275,108.8366
39.4006,-121.2369,219.4604
39.4003,-120.9338,232.7337
39.4001,-120.7153,252.4507
39.4001,-120.5211,273.5836
39.4001,-120.3338,294.6241
39.4001,-120.1983,320.2032
39.4000,-120.0351,342.6220
39.3998,-119.8398,360.8723
39.6003,-122.0190,103.6269
39.6003,-121.8437,121.4973
39.6002,-121.6712,142.0093
39.6000,-121.4994,164.4824
39.5997,-121.3184,187.4686
39.5995,-121.1186,209.5095
39.5997,-120.9006,229.8499
39.5999,-120.6660,248.0532
39.5999,-120.4809,269.8493
39.5998,-120.3263,293.8606
39.5996,-120.1988,320.2025
39.5996,-120.0358,342.6212
39.5997,-119.8547,362.5087
39.5999,-119.6167,374.7783
39.6000,-119.4201,391.0210
39.8032,-122.0890,112.4525
39.8014,-121.8810,125.0910
39.8006,-121.6956,144.0902
39.8000,-121.4833,163.0172
39.7994,-121.3020,186.1403
39.7988,-121.1190,209.7025
39.7993,-120.9007,230.0055
39.7997,-120.6744,248.8692
39.7998,-120.4730,269.1516
39.7996,-120.3267,293.9062
39.7994,-120.1532,315.5736
39.7992,-120.0436,343.4719
39.7996,-119.8552,362.5329
39.7999,-119.6307,376.4519
39.8004,-119.4334,392.7046
39.9999,-121.9193,128.6644
39.9999,-121.6962,143.9664
39.9999,-121.5088,165.1618
40.0000,-121.3026,186.2216
39.9999,-121.1194,209.9594
40.0000,-120.9176,231.5986
40.0000,-120.7161,252.6011
39.9999,-120.5303,274.4168
39.9999,-120.3430,295.4663
39.9999,-120.1691,317.2100
39.9998,-120.0440,343.5221
39.9997,-119.8557,362.5518
39.9998,-119.6312,376.4531
39.9997,-119.4337,392.6908
40.1956,-122.1215,116.6731
40.1974,-121.9483,132.1627
40.1990,-121.7605,150.0547
40.1999,-121.5341,167.3384
40.2005,-121.3198,187.5567
40.2013,-121.1454,211.8371
40.2008,-120.9521,234.3364
40.2004,-120.7499,255.4675
40.2002,-120.5634,277.3665
40.2003,-120.3753,298.4822
40.2005,-120.2005,320.2626
40.2002,-120.0450,343.4724
40.1999,-119.8567,362.5326
40.1995,-119.6527,378.9605
40.1991,-119.4348,392.7045
40.3982,-122.1283,117.9946
40.3984,-121.9772,135.7103
40.3993,-121.7924,153.2240
40.3999,-121.5677,170.2549
40.4002,-121.3713,191.7287
40.4005,-121.1629,213.0668
40.4004,-120.9698,235.6137
40.4001,-120.7505,255.3798
40.4001,-120.5393,275.0766
40.4001,-120.3918,299.9635
40.4001,-120.2245,322.5459
40.4000,-120.0460,343.4216
40.3998,-119.8721,364.1459
40.3996,-119.6606,379.7941
40.3995,-119.4359,392.7244
40.6016,-122.1287,118.0000
40.6013,-121.9926,137.2947
40.6004,-121.8091,154.7235
40.5998,-121.6188,174.5815
40.5994,-121.4148,195.2721
40.5990,-121.2238,218.0378
40.5992,-121.0216,239.9289
40.5995,-120.7930,259.0376
40.5996,-120.5974,280.3007
40.5995,-120.4407,304.5376
40.5994,-120.2485,324.8879
40.5995,-120.0693,345.8210
40.5996,-119.8729,364.1452
40.5997,-119.6890,383.1367
40.8058,-122.1679,122.5893
