lon,lat,depth,unc,etype,src
148.49,16.1702,3.4,nan,AS,nan
148.466,16.174,3.77,nan,AS,nan
148.434,16.1792,4.07,nan,AS,nan
148.407,16.1835,4.87,nan,AS,nan
148.364,16.1904,5.05,nan,AS,nan
148.31,16.1991,5.54,nan,AS,nan
148.268,16.2059,5.72,nan,AS,nan
148.244,16.2096,5.42,nan,AS,nan
148.221,16.2133,5.91,nan,AS,nan
148.208,16.2154,5.54,nan,AS,nan
148.168,16.2218,5.66,nan,AS,nan
148.1,16.2327,5.84,nan,AS,nan
148.058,16.2392,5.66,nan,AS,nan
148.039,16.2423,5.29,nan,AS,nan
148.023,16.2448,5.42,nan,AS,nan
147.968,16.2536,4.87,nan,AS,nan
147.936,16.2587,5.48,nan,AS,nan
147.908,16.263,6.03,nan,AS,nan
147.872,16.2687,5.97,nan,AS,nan
147.853,16.2718,6.09,nan,AS,nan
147.833,16.2749,6.09,nan,AS,nan
147.819,16.2771,6.09,nan,AS,nan
147.796,16.2808,6.52,nan,AS,nan
147.774,16.2842,6.88,nan,AS,nan
147.748,16.2883,7.19,nan,AS,nan
147.707,16.2948,7.74,nan,AS,nan
147.655,16.303,8.65,nan,AS,nan
147.582,16.3143,9.81,nan,AS,nan
147.467,16.3323,12.49,nan,AS,nan
147.442,16.3362,13.35,nan,AS,nan
147.411,16.341,13.9,nan,AS,nan
147.321,16.3551,15.55,nan,AS,nan
147.31,16.3567,15.97,nan,AS,nan
147.265,16.3637,16.83,nan,AS,nan
