lon,lat,depth,unc,etype,src
148.127,17.9101,7.14,nan,AS,nan
148.067,17.9102,7.08,nan,AS,nan
148.008,17.9104,7.14,nan,AS,nan
147.963,17.9105,7.02,nan,AS,nan
147.916,17.9106,6.48,nan,AS,nan
147.879,17.9106,6.84,nan,AS,nan
147.82,17.9107,7.39,nan,AS,nan
147.794,17.9107,7.81,nan,AS,nan
147.733,17.9108,8.84,nan,AS,nan
147.391,17.9108,15.01,nan,AS,nan
147.374,17.9108,15.61,nan,AS,nan
147.363,17.9108,16.04,nan,AS,nan
147.348,17.9108,15.92,nan,AS,nan
147.344,17.9108,15.68,nan,AS,nan
147.33,17.9108,15.43,nan,AS,nan
147.317,17.9107,15.74,nan,AS,nan
147.307,17.9107,16.16,nan,AS,nan
147.289,17.9107,16.64,nan,AS,nan
147.275,17.9107,16.58,nan,AS,nan
