lon,lat,depth
136.096644244,35.4569091619,34.41
136.137428626,35.4663862805,32.247
136.183661121,35.4771100974,30.741
136.23483605,35.4889564429,29.83
136.286227997,35.5008277743,28.975
136.338613239,35.5129025204,28.399
136.391024861,35.5249570564,27.822
136.443835187,35.5370767067,27.476
136.496980699,35.5492463492,27.319
136.550142331,35.5613926657,27.162
136.603352008,35.5735229128,27.101
136.656588436,35.5856321909,27.09
136.709745065,35.5976963152,27.201
136.762672585,35.6096816454,27.573
136.815445381,35.621605328,28.0
136.866645005,35.6331481775,28.928
136.917283401,35.644539918,29.927
136.959955422,35.6541205502,31.938
137.002637673,35.6636861265,33.949
