lon,lat,depth,unc,etype,src
136.7540,32.7985,4.7000,nan,AS,nan
136.7440,32.8136,4.4000,nan,AS,nan
136.7340,32.8287,4.6400,nan,AS,nan
136.7150,32.8580,5.1900,nan,AS,nan
136.6830,32.9071,5.4900,nan,AS,nan
136.6490,32.9572,5.5000,nan,AS,nan
136.6270,32.9911,6.0400,nan,AS,nan
136.6040,33.0261,5.7400,nan,AS,nan
136.5990,33.0327,5.9800,nan,AS,nan
136.5860,33.0525,5.5600,nan,AS,nan
136.5720,33.0742,5.7500,nan,AS,nan
136.5650,33.0845,5.9900,nan,AS,nan
136.5570,33.0968,5.8100,nan,AS,nan
136.5370,33.1261,5.9900,nan,AS,nan
136.5300,33.1374,5.9300,nan,AS,nan
136.5050,33.1742,6.9000,nan,AS,nan
136.4780,33.2157,7.4400,nan,AS,nan
136.4410,33.2704,8.2900,nan,AS,nan
136.3940,33.3402,9.3800,nan,AS,nan
136.3620,33.3892,9.9300,nan,AS,nan
136.3300,33.4363,10.8400,nan,AS,nan
136.3020,33.4787,11.3800,nan,AS,nan
136.2670,33.5296,11.8100,nan,AS,nan
