lon,lat,depth,unc,etype,src
-81.5700,-1.5771,3.3100,nan,AS,nan
-81.5606,-1.5764,3.5000,nan,AS,nan
-81.5499,-1.5756,3.5600,nan,AS,nan
-81.5383,-1.5748,3.6100,nan,AS,nan
-81.5262,-1.5739,3.7200,nan,AS,nan
-81.5164,-1.5732,3.5800,nan,AS,nan
-81.5071,-1.5725,3.5800,nan,AS,nan
-81.4977,-1.5718,3.6700,nan,AS,nan
-81.4917,-1.5714,3.7700,nan,AS,nan
-81.4843,-1.5709,3.9900,nan,AS,nan
-81.4754,-1.5702,4.1800,nan,AS,nan
-81.4656,-1.5695,4.2100,nan,AS,nan
-81.4582,-1.5690,4.3200,nan,AS,nan
-81.4479,-1.5682,4.4000,nan,AS,nan
-81.4395,-1.5676,4.5300,nan,AS,nan
-81.4316,-1.5670,4.5600,nan,AS,nan
-81.4227,-1.5664,4.4800,nan,AS,nan
-81.4167,-1.5660,4.5300,nan,AS,nan
-81.4069,-1.5653,4.7200,nan,AS,nan
-81.3963,-1.5645,4.7500,nan,AS,nan
-81.3785,-1.5632,4.8900,nan,AS,nan
-81.3627,-1.5620,5.0500,nan,AS,nan
-81.3478,-1.5610,5.2100,nan,AS,nan
-81.3366,-1.5601,5.2400,nan,AS,nan
-81.3240,-1.5592,5.2700,nan,AS,nan
-81.3036,-1.5577,5.4300,nan,AS,nan
-81.2919,-1.5569,5.6700,nan,AS,nan
-81.2802,-1.5560,5.8100,nan,AS,nan
