lon,lat,depth,unc,etype,src
-72.7779,-24.8901,4.1000,nan,AS,nan
-72.5240,-24.8915,4.1000,nan,AS,nan
-72.4918,-24.8916,3.4100,nan,AS,nan
-72.4596,-24.8918,4.1000,nan,AS,nan
-72.3427,-24.8922,4.1000,nan,AS,nan
-72.1895,-24.8927,4.1000,nan,AS,nan
-72.0646,-24.8929,3.9200,nan,AS,nan
-72.0082,-24.8930,4.1000,nan,AS,nan
-71.9436,-24.8931,4.4400,nan,AS,nan
-71.8671,-24.8931,4.6100,nan,AS,nan
-71.7381,-24.8931,4.7800,nan,AS,nan
-71.6454,-24.8930,5.4600,nan,AS,nan
-71.5125,-24.8928,6.6600,nan,AS,nan
-71.3714,-24.8924,9.9000,nan,AS,nan
-71.1739,-24.8917,14.6800,nan,AS,nan
-71.0248,-24.8910,17.9200,nan,AS,nan
