lon,lat,depth,unc,etype,src
-58.3978,-60.5133,4.8400,nan,AS,nan
-58.3674,-60.5463,4.9600,nan,AS,nan
-58.3095,-60.6091,5.1900,nan,AS,nan
-58.2461,-60.6775,4.9900,nan,AS,nan
-58.1691,-60.7601,5.0100,nan,AS,nan
-58.1155,-60.8173,5.4600,nan,AS,nan
-58.0597,-60.8768,6.1200,nan,AS,nan
-58.0098,-60.9296,6.6700,nan,AS,nan
-57.9556,-60.9867,7.4400,nan,AS,nan
-57.8929,-61.0527,8.6400,nan,AS,nan
-57.8488,-61.0989,10.0500,nan,AS,nan
-57.8099,-61.1395,11.6700,nan,AS,nan
-57.7645,-61.1867,14.3700,nan,AS,nan
-57.7179,-61.2350,18.3700,nan,AS,nan
-57.6574,-61.2976,24.4000,nan,AS,nan
-57.6190,-61.3370,29.1500,nan,AS,nan
