lon,lat,depth,unc,etype,mag
129.4090,-7.1690,113.0000,nan,ER,5.1000
127.9730,-6.4660,363.4000,nan,ER,5.7000
129.2180,-6.9190,148.9000,nan,ER,4.9000
125.4690,-7.0450,494.8000,nan,ER,4.9000
129.5290,-6.9250,105.0000,nan,ER,4.7000
129.7650,-6.9950,118.5000,nan,ER,5.6000
129.6800,-5.5700,215.3000,nan,ER,6.6000
129.6830,-5.5480,187.3000,nan,ER,6.6000
130.4850,-6.0360,116.8000,nan,ER,4.9000
129.3850,-6.9870,114.0000,nan,ER,5.2000
123.9210,-7.1790,594.3000,nan,ER,6.2000
128.0150,-7.4090,146.9000,nan,ER,5.2000
122.9370,-7.1780,564.3000,nan,ER,5.3000
121.3510,-8.8770,165.9000,nan,ER,5.0000
129.6120,-7.0590,117.7000,nan,ER,5.8000
130.3310,-6.2260,118.5000,nan,ER,5.8000
129.1850,-6.8970,161.8000,nan,ER,5.0000
128.5490,-5.7150,333.3000,nan,ER,6.1000
128.5530,-5.6990,311.0000,nan,ER,6.1000
130.5410,-5.7510,125.2000,nan,ER,5.5000
128.5320,-7.3500,149.7000,nan,ER,5.3000
126.6740,-4.6980,418.3000,nan,ER,5.2000
129.1520,-7.2820,127.7000,nan,ER,5.9000
130.3880,-6.3120,111.0000,nan,ER,6.3000
129.3350,-7.0140,185.2000,nan,ER,5.7000
124.4180,-5.4090,620.6000,nan,ER,5.4000
124.7260,-7.2570,515.0000,nan,ER,6.1000
124.8710,-6.4760,568.4000,nan,ER,5.1000
130.0170,-7.0450,103.0000,nan,ER,5.1000
125.2010,-5.0200,551.5000,nan,ER,5.5000
127.1250,-7.6410,151.3000,nan,ER,5.1000
126.0320,-7.1990,443.9000,nan,ER,5.3000
126.0500,-7.1530,448.4000,nan,ER,5.3000
119.9450,-7.2390,622.3000,nan,ER,5.1000
123.9570,-7.1810,588.8000,nan,ER,4.9000
129.9530,-6.7400,90.8000,nan,ER,5.9000
129.6160,-5.5720,186.2000,nan,ER,5.4000
129.7060,-5.5630,201.9000,nan,ER,5.4000
129.6910,-7.0610,98.6000,nan,ER,5.4000
130.4710,-5.8620,71.0000,nan,ER,5.7000
128.5460,-7.3050,133.8000,nan,ER,5.3000
121.3700,-8.3290,208.6000,nan,ER,5.5000
129.5140,-6.8360,171.2000,nan,ER,5.2000
130.5730,-6.4990,88.6000,nan,ER,5.6000
126.7230,-4.7330,420.9000,nan,ER,4.8000
129.9180,-7.1550,72.6000,nan,ER,6.0000
123.7880,-7.2110,585.8000,nan,ER,5.6000
128.9180,-6.5000,198.2000,nan,ER,4.5000
127.8810,-7.5490,86.6000,nan,ER,6.0000
130.4410,-6.8520,83.6000,nan,ER,5.3000
131.2040,-5.4520,96.0000,nan,ER,5.4000
125.9370,-7.2680,475.4000,nan,ER,5.1000
130.0070,-6.3940,121.0000,nan,ER,5.7000
118.9950,-6.8700,624.5000,nan,ER,5.8000
119.7800,-8.4230,140.2000,nan,ER,5.4000
129.2930,-6.9500,178.6000,nan,ER,5.9000
128.5100,-3.7850,119.8000,nan,ER,5.7000
129.8280,-7.3520,92.9000,nan,ER,5.3000
125.1390,-7.0360,579.7000,nan,ER,5.0000
130.4410,-6.7600,95.0000,nan,ER,5.2000
128.9810,-5.3530,234.0000,nan,ER,5.1000
128.9790,-5.3510,249.8000,nan,ER,5.1000
128.2140,-3.5980,101.3000,nan,ER,5.2000
129.8190,-6.8090,96.1000,nan,ER,5.6000
128.3040,-7.4140,142.8000,nan,ER,5.2000
125.1630,-6.0570,546.8000,nan,ER,4.9000
126.7520,-6.7700,444.6000,nan,ER,6.0000
124.9560,-7.0030,552.7000,nan,ER,5.2000
129.6640,-7.0050,136.2000,nan,ER,5.3000
129.8330,-6.2130,143.9000,nan,ER,5.8000
120.9260,-7.3260,623.6000,nan,ER,5.6000
120.1840,-7.4470,410.0000,nan,ER,5.0000
129.9090,-6.9490,92.7000,nan,ER,5.2000
125.4820,-5.7200,535.4000,nan,ER,6.3000
129.6730,-6.2320,172.0000,nan,ER,5.8000
128.7420,-7.3060,114.8000,nan,ER,5.5000
127.8500,-7.4770,168.1000,nan,ER,5.3000
123.4640,-7.0120,643.7000,nan,ER,4.9000
127.4900,-6.9880,308.4000,nan,ER,5.1000
129.5070,-6.7850,177.6000,nan,ER,5.4000
130.6570,-5.9910,98.6000,nan,ER,5.5000
129.1370,-7.1140,134.5000,nan,ER,5.4000
120.5870,-7.3160,495.2000,nan,ER,5.1000
124.9000,-7.1540,515.3000,nan,ER,5.0000
125.4470,-6.8350,527.7000,nan,ER,5.4000
127.4940,-6.5990,408.7000,nan,ER,4.8000
128.6290,-7.5430,75.7000,nan,ER,5.3000
124.0560,-8.8820,53.5000,nan,ER,6.2000
118.0290,-9.0340,114.6000,nan,ER,5.9000
130.4230,-6.9580,87.5000,nan,ER,5.4000
130.0540,-6.5220,124.3000,nan,ER,5.6000
130.1840,-6.3890,128.1000,nan,ER,5.7000
126.8490,-6.7930,420.4000,nan,ER,4.7000
125.3120,-6.8200,547.8000,nan,ER,5.1000
129.2870,-4.9040,247.1000,nan,ER,4.9000
128.3310,-7.4530,153.6000,nan,ER,5.2000
130.1740,-6.4650,125.5000,nan,ER,5.6000
129.8180,-6.0640,159.2000,nan,ER,5.6000
129.0940,-7.1340,173.1000,nan,ER,5.5000
125.0940,-7.5140,380.7000,nan,ER,0.0000
130.6850,-6.5760,63.0000,nan,ER,5.5000
130.7360,-5.9850,109.5000,nan,ER,6.4000
122.8470,-9.6330,76.3000,nan,ER,5.3000
128.7830,-7.3870,141.0000,nan,ER,5.4000
128.4730,-5.4900,292.3000,nan,ER,5.1000
125.3310,-7.2210,451.2000,nan,ER,4.9000
131.3740,-5.4070,82.3000,nan,ER,5.5000
129.9060,-6.7670,130.4000,nan,ER,5.3000
129.6190,-6.9560,126.4000,nan,ER,5.6000
126.7030,-7.2980,308.2000,nan,ER,5.4000
130.5110,-5.7970,77.8000,nan,ER,5.6000
130.5340,-5.7140,76.1000,nan,ER,5.6000
119.9450,-7.3690,616.4000,nan,ER,4.9000
129.7770,-6.9750,101.7000,nan,ER,5.7000
130.5570,-5.8000,77.3000,nan,ER,5.6000
130.5240,-5.7070,56.0000,nan,ER,5.6000
