lon,lat,depth,unc,etype,src
-146.7880,57.1649,5.7400,nan,AS,nan
-146.8960,57.2287,6.1800,nan,AS,nan
-147.0480,57.3186,6.4400,nan,AS,nan
-147.1200,57.3606,6.8800,nan,AS,nan
-147.2730,57.4501,7.4000,nan,AS,nan
-147.3530,57.4966,7.4900,nan,AS,nan
-147.4000,57.5237,7.5800,nan,AS,nan
-147.4670,57.5622,8.0100,nan,AS,nan
-147.5100,57.5870,8.2700,nan,AS,nan
-147.6470,57.6659,8.6200,nan,AS,nan
-147.7860,57.7448,9.5700,nan,AS,nan
-147.8730,57.7943,9.9200,nan,AS,nan
-148.0920,57.9177,11.4800,nan,AS,nan
-148.2680,58.0162,12.6900,nan,AS,nan
-148.4820,58.1344,14.0700,nan,AS,nan
-148.7360,58.2735,16.0500,nan,AS,nan
