x,Curve1,lon,lat,depth
-97.6344,17.9642,-97.6344,17.9642,060
-97.4512,17.6493,-97.4512,17.6493,060
-97.268,17.3344,-97.268,17.3344,060
-97.0849,17.0196,-97.0849,17.0196,060
-97.6286,18.3995,-97.6286,18.3995,080
-97.3324,18.1771,-97.3324,18.1771,080
-97.0362,17.9546,-97.0362,17.9546,080
-96.74,17.7322,-96.74,17.7322,080
-96.4438,17.5098,-96.4438,17.5098,080
-96.1476,17.2873,-96.1476,17.2873,080
-95.8514,17.0649,-95.8514,17.0649,080
-103.0328,19.1483,-103.0328,19.1483,100
-102.6632,19.0835,-102.6632,19.0835,100
-102.2935,19.019,-102.2935,19.019,100
-101.9188,19.041,-101.9188,19.041,100
-101.568,19.1329,-101.568,19.1329,100
-101.2509,19.3242,-101.2509,19.3242,100
-97.8233,18.6853,-97.8233,18.6853,100
-97.498,18.5042,-97.498,18.5042,100
-97.1726,18.3232,-97.1726,18.3232,100
-96.8472,18.1422,-96.8472,18.1422,100
-96.5219,17.9611,-96.5219,17.9611,100
-96.1965,17.7801,-96.1965,17.7801,100
-95.8711,17.599,-95.8711,17.599,100
-95.5458,17.418,-95.5458,17.418,100
-103.1452,19.3269,-103.1452,19.3269,120
-102.7745,19.2679,-102.7745,19.2679,120
-102.4039,19.2148,-102.4039,19.2148,120
-102.034,19.275,-102.034,19.275,120
-101.6642,19.3353,-101.6642,19.3353,120
-101.3218,19.4759,-101.3218,19.4759,120
-97.9581,18.871,-97.9581,18.871,120
-97.6172,18.7187,-97.6172,18.7187,120
-97.2763,18.5664,-97.2763,18.5664,120
-96.9354,18.4141,-96.9354,18.4141,120
-96.5944,18.2618,-96.5944,18.2618,120
-96.2535,18.1095,-96.2535,18.1095,120
-95.9126,17.9572,-95.9126,17.9572,120
-95.5717,17.8049,-95.5717,17.8049,120
-95.2307,17.6526,-95.2307,17.6526,120
-94.8898,17.5003,-94.8898,17.5003,120
-94.5489,17.348,-94.5489,17.348,120
-103.2132,19.5625,-103.2132,19.5625,140
-102.8407,19.6065,-102.8407,19.6065,140
-102.4683,19.6505,-102.4683,19.6505,140
-102.0959,19.6945,-102.0959,19.6945,140
-101.7235,19.7385,-101.7235,19.7385,140
-101.351,19.7825,-101.351,19.7825,140
-97.8766,18.9923,-97.8766,18.9923,140
-97.5321,18.8476,-97.5321,18.8476,140
-97.1876,18.7029,-97.1876,18.7029,140
-96.8431,18.5583,-96.8431,18.5583,140
-96.4986,18.4136,-96.4986,18.4136,140
-96.1541,18.2689,-96.1541,18.2689,140
-95.8096,18.1243,-95.8096,18.1243,140
-95.4651,17.9796,-95.4651,17.9796,140
-95.1206,17.8349,-95.1206,17.8349,140
-94.7761,17.6903,-94.7761,17.6903,140
-94.4316,17.5456,-94.4316,17.5456,140
-97.8025,19.0778,-97.8025,19.0778,160
-97.4552,18.9395,-97.4552,18.9395,160
-97.1079,18.8011,-97.1079,18.8011,160
-96.7606,18.6628,-96.7606,18.6628,160
-96.4133,18.5244,-96.4133,18.5244,160
-96.066,18.3861,-96.066,18.3861,160
-95.7187,18.2478,-95.7187,18.2478,160
-95.3714,18.1094,-95.3714,18.1094,160
-95.0241,17.9711,-95.0241,17.9711,160
-94.6768,17.8327,-94.6768,17.8327,160
-94.3296,17.6944,-94.3296,17.6944,160
-97.9895,19.285,-97.9895,19.285,180
-97.6391,19.1543,-97.6391,19.1543,180
-97.2886,19.0235,-97.2886,19.0235,180
-96.9382,18.8927,-96.9382,18.8927,180
-96.5877,18.762,-96.5877,18.762,180
-96.2373,18.6312,-96.2373,18.6312,180
-95.8868,18.5004,-95.8868,18.5004,180
-95.5364,18.3697,-95.5364,18.3697,180
-95.186,18.2389,-95.186,18.2389,180
-94.8355,18.1081,-94.8355,18.1081,180
-94.4851,17.9774,-94.4851,17.9774,180
-94.1346,17.8466,-94.1346,17.8466,180
-97.9003,19.342,-97.9003,19.342,200
-97.5445,19.2255,-97.5445,19.2255,200
-97.1887,19.109,-97.1887,19.109,200
-96.8329,18.9925,-96.8329,18.9925,200
-96.477,18.876,-96.477,18.876,200
-96.1212,18.7595,-96.1212,18.7595,200
-95.7654,18.643,-95.7654,18.643,200
-95.4096,18.5265,-95.4096,18.5265,200
-95.0538,18.4099,-95.0538,18.4099,200
-94.6979,18.2934,-94.6979,18.2934,200
-94.3421,18.1769,-94.3421,18.1769,200
-93.9863,18.0604,-93.9863,18.0604,200
-97.8709,19.4419,-97.8709,19.4419,220
-97.5128,19.332,-97.5128,19.332,220
-97.1547,19.2221,-97.1547,19.2221,220
-96.7967,19.1122,-96.7967,19.1122,220
-96.4386,19.0023,-96.4386,19.0023,220
-96.0805,18.8924,-96.0805,18.8924,220
-95.7225,18.7825,-95.7225,18.7825,220
-95.3644,18.6726,-95.3644,18.6726,220
-95.0063,18.5627,-95.0063,18.5627,220
-94.6482,18.4528,-94.6482,18.4528,220
-94.2902,18.3429,-94.2902,18.3429,220
-93.9321,18.233,-93.9321,18.233,220
