lon,lat,depth,unc,Reference_,Location_T
-126.8788461,48.03459119,5.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
-125.9566313,48.44751359,10.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
-125.6639413,48.57792796,15.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
-125.3206628,48.72762816,20.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
-125.0512386,48.90648272,25.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
-124.8219088,49.14234059,30.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
-124.6020088,49.3656655,35.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
-124.5230476,49.44985354,40.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
-124.4702113,49.50653236,45.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
-124.4211201,49.54740877,50.0,8,22.0,RESISTIVITY <2002 (v.4 + new)
