lon,lat,depth,mag,unc,date
-122.59,48.02,56.5,0.8,10.0,01/02/1985
-122.68,49.07,76.1,0.7,10.0,01/06/1985
-127.13,49.68,30.7,1.1,10.0,01/07/1985
-125.16,48.89,31.3,0.9,10.0,01/09/1985
-127.19,49.65,32.2,1.1,10.0,01/10/1985
-127.15,49.53,17.5,0.8,10.0,1/13/1985
-127.04,49.68,46.4,1.0,10.0,1/13/1985
-125.44,49.2,34.5,0.9,10.0,1/18/1985
-127.4,49.65,29.0,2.0,10.0,1/21/1985
-127.38,49.64,21.9,2.3,10.0,1/21/1985
-123.52,48.19,53.0,0.9,10.0,1/25/1985
-127.0,49.86,30.7,1.1,10.0,1/31/1985
-123.63,48.15,36.8,1.5,10.0,02/02/1985
-123.93,48.44,51.3,1.2,10.0,02/11/1985
-126.94,49.61,31.9,1.7,10.0,2/17/1985
-126.28,49.41,34.8,1.2,10.0,2/23/1985
-126.88,49.49,34.0,1.5,10.0,2/28/1985
-126.9,49.69,24.7,1.8,10.0,03/05/1985
-126.88,49.7,25.2,1.5,10.0,03/06/1985
-126.87,49.7,26.3,1.3,10.0,03/06/1985
-126.93,49.64,23.9,1.4,10.0,03/06/1985
-122.8,48.82,67.7,1.5,10.0,03/06/1985
-126.89,49.53,22.0,0.2,10.0,03/06/1985
-126.84,49.79,37.0,0.9,10.0,03/06/1985
-126.84,49.7,28.0,1.5,10.0,03/06/1985
-127.23,49.67,32.6,1.3,10.0,3/13/1985
-126.96,49.62,31.0,0.9,10.0,3/13/1985
-126.3,49.19,43.8,1.4,10.0,3/17/1985
-125.58,49.15,35.2,0.8,10.0,3/18/1985
-124.92,48.75,33.6,2.0,10.0,3/19/1985
-122.79,48.36,49.6,1.3,10.0,3/23/1985
-123.63,49.0,51.5,0.6,10.0,04/02/1985
-127.37,49.72,26.0,1.1,10.0,04/07/1985
-127.4,49.62,29.0,2.8,10.0,04/07/1985
-127.32,49.67,28.0,1.6,10.0,04/07/1985
-122.99,48.87,58.4,1.4,10.0,04/09/1985
-125.51,49.12,33.0,2.4,10.0,4/13/1985
-127.13,49.7,32.0,1.6,10.0,4/14/1985
-127.13,49.7,33.0,1.1,10.0,4/14/1985
-126.66,49.53,26.1,1.1,10.0,4/15/1985
-125.15,49.02,34.0,1.9,10.0,4/24/1985
-126.34,49.66,36.6,1.5,10.0,4/28/1985
-126.81,49.52,22.7,1.2,10.0,4/29/1985
-125.36,49.19,36.3,0.8,10.0,4/30/1985
-123.97,48.41,48.2,0.9,10.0,05/02/1985
-127.55,49.69,18.6,2.8,10.0,5/19/1985
-125.74,48.85,23.0,1.6,10.0,5/21/1985
-122.97,48.41,48.3,1.4,10.0,5/24/1985
-127.1,49.7,30.0,1.1,10.0,5/27/1985
-127.57,49.67,30.4,1.1,10.0,5/30/1985
-123.22,49.21,64.5,1.9,10.0,5/31/1985
-123.92,49.34,65.5,1.6,10.0,6/16/1985
-126.85,49.53,35.4,1.4,10.0,6/18/1985
-126.89,49.5,26.0,1.8,10.0,6/22/1985
-127.28,49.77,21.9,1.4,10.0,6/24/1985
-122.54,48.26,54.5,1.3,10.0,6/26/1985
-127.49,49.33,36.7,1.2,10.0,07/07/1985
-126.76,49.65,31.0,1.1,10.0,07/10/1985
-124.49,49.02,46.8,1.1,10.0,7/14/1985
-127.51,49.64,32.3,2.1,10.0,7/18/1985
-123.98,49.35,69.3,2.3,10.0,7/24/1985
-127.39,49.69,27.0,0.8,10.0,7/24/1985
-127.43,49.7,26.0,0.9,10.0,7/24/1985
-126.95,49.73,42.0,1.1,10.0,7/26/1985
-126.84,49.66,37.0,0.9,10.0,08/03/1985
-125.76,48.75,33.0,1.3,10.0,08/07/1985
-127.35,49.67,20.0,0.4,10.0,08/08/1985
-125.35,48.7,24.0,1.6,10.0,08/11/1985
-127.2,48.89,10.0,1.6,10.0,08/12/1985
-127.13,49.64,32.0,1.3,10.0,8/15/1985
-123.25,48.98,59.0,0.6,10.0,8/20/1985
-123.17,48.92,58.0,0.8,10.0,8/21/1985
-125.28,48.99,37.0,0.6,10.0,8/25/1985
-127.25,49.66,33.0,1.1,10.0,8/25/1985
-123.05,48.71,55.0,1.0,10.0,8/26/1985
-127.21,49.61,26.0,1.0,10.0,8/28/1985
-127.1,49.69,40.0,1.5,10.0,09/01/1985
-126.84,49.24,34.0,1.5,10.0,09/04/1985
-126.98,50.44,42.0,1.5,10.0,09/11/1985
-127.08,49.6,24.0,0.8,10.0,9/14/1985
-127.1,49.46,28.0,1.8,10.0,9/20/1985
-127.43,49.58,20.0,1.6,10.0,9/20/1985
-126.83,49.55,45.0,1.0,10.0,9/23/1985
-127.05,49.51,34.0,0.7,10.0,9/23/1985
-126.96,49.64,39.0,1.8,10.0,10/02/1985
-125.36,49.12,33.0,1.3,10.0,10/09/1985
-123.11,48.4,45.0,0.9,10.0,10/22/1985
-127.19,49.6,27.0,2.9,10.0,10/23/1985
-127.45,49.58,30.0,0.9,10.0,10/26/1985
-125.2,49.66,48.8,1.3,10.0,10/27/1985
-125.08,48.94,36.0,0.9,10.0,11/01/1985
-127.53,49.55,21.5,1.2,10.0,11/08/1985
-127.17,49.71,26.0,1.1,10.0,11/12/1985
-125.43,48.89,31.0,1.2,10.0,11/14/1985
-127.33,49.35,33.7,1.4,10.0,11/20/1985
-124.63,48.02,34.8,1.0,10.0,11/25/1985
-127.37,49.3,36.3,2.7,10.0,12/02/1985
-123.49,49.01,61.2,2.0,10.0,12/02/1985
-122.81,48.78,62.6,1.8,10.0,12/04/1985
-123.25,48.8,53.2,1.4,10.0,12/04/1985
-123.18,48.84,57.7,1.0,10.0,12/05/1985
-127.56,49.32,10.0,1.7,10.0,12/09/1985
-125.67,48.95,32.0,1.6,10.0,12/09/1985
-127.38,49.61,27.0,2.1,10.0,12/12/1985
-125.75,48.22,37.0,1.6,10.0,12/13/1985
-127.25,49.69,25.0,1.3,10.0,12/16/1985
-127.75,49.85,30.0,2.3,10.0,12/17/1985
-126.62,49.17,34.1,2.9,10.0,12/25/1985
-122.89,48.13,52.0,1.3,10.0,01/12/1986
-124.73,48.07,39.0,1.6,10.0,1/29/1986
-124.76,48.07,38.0,1.8,10.0,1/29/1986
-125.25,49.06,37.0,0.8,10.0,1/30/1986
-125.73,49.26,35.0,1.2,10.0,02/01/1986
-125.46,48.69,25.0,1.5,10.0,02/04/1986
-127.15,49.49,37.0,1.8,10.0,02/05/1986
-127.46,49.41,20.0,1.6,10.0,2/16/1986
-126.91,49.6,33.0,1.2,10.0,2/18/1986
-124.76,48.73,32.0,1.4,10.0,2/22/1986
-125.87,49.15,29.0,2.2,10.0,2/23/1986
-123.9,48.72,43.0,1.7,10.0,2/25/1986
-123.14,48.44,54.0,0.6,10.0,03/01/1986
-124.91,48.74,38.0,3.0,10.0,03/02/1986
-127.43,49.74,30.0,1.5,10.0,03/03/1986
-123.18,48.37,47.0,1.3,10.0,3/13/1986
-126.36,49.47,30.0,0.9,10.0,3/16/1986
-123.85,48.02,41.0,1.6,10.0,3/18/1986
-125.94,48.98,26.0,2.0,10.0,3/26/1986
-123.25,48.97,61.0,0.7,10.0,3/28/1986
-127.09,49.7,29.0,1.3,10.0,3/29/1986
-125.63,49.15,36.0,1.2,10.0,04/04/1986
-125.62,49.1,36.0,1.2,10.0,04/04/1986
-127.51,49.5,22.0,2.3,10.0,04/05/1986
-127.15,49.39,40.0,1.4,10.0,04/05/1986
-123.95,49.29,63.0,1.0,10.0,4/15/1986
-127.35,49.41,26.0,2.5,10.0,4/21/1986
-127.03,49.64,31.0,1.3,10.0,4/27/1986
-124.68,48.37,30.0,1.8,10.0,4/29/1986
-127.01,49.63,20.0,1.4,10.0,4/30/1986
-126.99,49.41,25.6,1.9,10.0,05/01/1986
-127.61,49.56,32.2,1.6,10.0,05/10/1986
-127.33,49.62,42.8,2.5,10.0,5/30/1986
-125.33,49.0,31.6,3.2,10.0,06/08/1986
-126.78,50.48,35.0,1.2,10.0,06/09/1986
-127.06,49.73,33.0,1.3,10.0,06/11/1986
-123.11,48.59,51.0,1.1,10.0,6/14/1986
-127.54,49.46,34.3,2.0,10.0,6/15/1986
-127.02,49.43,35.2,5.2,10.0,6/16/1986
-126.92,49.46,27.0,2.0,10.0,6/16/1986
-126.96,49.42,33.0,1.8,10.0,6/16/1986
-126.99,49.48,34.2,1.8,10.0,6/16/1986
-126.96,49.45,34.6,2.0,10.0,6/16/1986
-126.94,49.45,31.0,1.7,10.0,6/16/1986
-126.96,49.51,32.2,1.5,10.0,6/16/1986
-126.97,49.47,31.0,1.8,10.0,6/17/1986
-126.93,49.47,28.5,1.4,10.0,6/17/1986
-126.95,49.47,29.0,1.4,10.0,6/17/1986
-126.99,49.44,33.0,1.5,10.0,6/18/1986
-127.02,49.64,31.3,1.7,10.0,6/18/1986
-127.0,49.66,30.9,1.1,10.0,6/19/1986
-126.98,49.46,25.4,1.8,10.0,6/20/1986
-124.64,48.26,28.3,0.4,10.0,6/21/1986
-126.95,49.45,26.1,1.7,10.0,6/22/1986
-126.98,49.45,35.3,1.5,10.0,6/25/1986
-127.27,49.41,39.8,2.2,10.0,6/26/1986
-127.24,49.4,37.2,2.5,10.0,6/26/1986
-127.44,49.36,37.0,1.7,10.0,6/28/1986
-127.15,49.58,27.2,2.1,10.0,6/28/1986
-127.09,49.59,29.0,2.0,10.0,6/28/1986
-127.2,49.58,29.0,1.3,10.0,6/28/1986
-123.03,48.01,49.8,1.4,10.0,07/03/1986
-127.01,49.46,34.2,2.2,10.0,07/05/1986
-122.56,48.27,63.6,3.4,10.0,07/08/1986
-127.33,49.38,37.0,2.4,10.0,07/08/1986
-127.24,49.45,37.6,1.8,10.0,07/08/1986
-125.5,48.71,24.0,1.1,10.0,07/09/1986
-126.23,49.03,27.5,2.0,10.0,7/16/1986
-127.21,49.74,34.5,1.6,10.0,7/17/1986
-127.39,49.36,20.0,1.4,10.0,7/18/1986
-127.51,49.38,30.0,2.0,10.0,7/18/1986
-124.61,48.31,26.7,0.9,10.0,7/23/1986
-125.41,49.13,32.0,1.2,10.0,7/24/1986
-126.99,49.43,25.0,1.9,10.0,7/30/1986
-126.94,49.58,27.2,1.4,10.0,08/03/1986
-127.06,49.67,33.3,1.4,10.0,08/06/1986
-127.55,49.63,35.0,1.6,10.0,08/07/1986
-127.47,49.71,24.7,1.3,10.0,08/11/1986
-125.23,48.59,33.7,1.0,10.0,8/15/1986
-123.29,48.14,42.0,0.9,10.0,8/17/1986
-126.9,49.51,35.9,1.5,10.0,8/18/1986
-126.97,49.46,26.2,1.2,10.0,8/23/1986
-126.87,49.54,34.1,1.5,10.0,8/24/1986
-127.54,49.59,20.0,0.8,10.0,09/04/1986
-124.76,48.39,26.2,1.4,10.0,09/05/1986
-126.88,49.6,32.7,0.9,10.0,09/06/1986
-123.22,48.24,48.3,1.7,10.0,09/06/1986
-125.27,48.74,33.1,3.5,10.0,09/06/1986
-124.82,48.57,46.0,1.3,10.0,9/23/1986
-126.96,49.44,25.0,1.5,10.0,9/26/1986
-127.15,49.5,31.8,0.9,10.0,10/02/1986
-124.85,48.69,40.6,1.2,10.0,10/02/1986
-127.17,49.69,36.4,1.4,10.0,10/05/1986
-126.88,49.78,34.7,1.5,10.0,10/13/1986
-127.18,49.75,32.7,1.0,10.0,10/20/1986
-123.91,49.25,62.5,1.1,10.0,10/24/1986
-126.57,49.07,47.3,0.8,10.0,11/01/1986
-125.28,48.93,37.3,1.2,10.0,11/03/1986
-127.49,49.72,18.0,2.1,10.0,11/07/1986
-127.18,49.53,25.3,1.6,10.0,11/09/1986
-126.96,49.79,32.0,1.1,10.0,11/15/1986
-123.93,49.32,63.9,2.0,10.0,11/19/1986
-126.83,49.76,35.8,2.5,10.0,11/22/1986
-126.85,49.75,36.4,2.7,10.0,11/22/1986
-123.23,48.48,49.1,1.5,10.0,11/23/1986
-127.25,49.59,31.0,3.1,10.0,12/05/1986
-127.19,49.58,27.2,1.7,10.0,12/05/1986
-127.18,49.6,26.2,1.4,10.0,12/05/1986
-126.14,49.32,36.9,0.5,10.0,12/06/1986
-125.5,49.12,32.5,1.3,10.0,12/09/1986
-126.24,49.39,32.7,1.6,10.0,12/12/1986
-123.95,49.29,60.3,1.1,10.0,12/16/1986
-126.48,49.45,31.0,2.5,10.0,12/17/1986
-127.61,49.54,32.7,1.8,10.0,12/22/1986
-125.14,48.8,27.5,1.2,10.0,12/26/1986
-125.2,49.03,33.6,1.9,10.0,01/05/1987
-126.69,49.07,25.6,2.0,10.0,01/09/1987
-125.16,48.66,32.3,1.4,10.0,1/14/1987
-126.81,49.4,31.6,1.6,10.0,02/01/1987
-123.07,48.73,54.6,1.9,10.0,02/03/1987
-122.94,48.73,61.2,1.0,10.0,02/03/1987
-127.44,49.57,36.0,2.0,10.0,02/03/1987
-125.35,49.04,33.9,1.6,10.0,2/13/1987
-126.89,49.68,24.9,2.1,10.0,2/18/1987
-123.52,48.93,50.7,1.0,10.0,2/27/1987
-125.65,48.75,25.3,1.6,10.0,03/09/1987
