lon,lat,depth,mag,unc,date
-122.99,48.88,22.5,1.2,10.0,01/02/1985
-123.75,48.64,24.3,1.1,10.0,01/02/1985
-124.81,49.48,22.5,1.1,10.0,01/07/1985
-127.5,49.7,5.0,1.2,10.0,01/08/1985
-123.09,48.58,12.6,1.1,10.0,01/08/1985
-124.88,48.95,0.0,0.8,10.0,01/09/1985
-123.36,48.15,5.4,0.3,10.0,01/09/1985
-123.62,49.24,8.2,0.9,10.0,01/09/1985
-123.04,48.6,18.6,1.1,10.0,1/20/1985
-123.4,48.49,25.3,1.2,10.0,1/21/1985
-127.17,49.56,6.0,1.2,10.0,1/24/1985
-123.79,48.81,18.7,0.8,10.0,1/26/1985
-122.47,48.86,14.3,1.5,10.0,02/02/1985
-125.9,49.75,32.8,1.0,10.0,02/09/1985
-122.56,48.86,26.0,1.2,10.0,2/13/1985
-123.41,48.42,25.7,0.8,10.0,2/17/1985
-126.35,50.64,21.1,2.1,10.0,2/24/1985
-122.65,48.49,24.2,0.7,10.0,03/05/1985
-122.18,48.27,9.0,3.1,10.0,03/05/1985
-126.74,50.32,25.8,1.2,10.0,03/07/1985
-124.23,48.56,16.0,0.1,10.0,03/09/1985
-127.6,49.44,2.0,1.5,10.0,03/11/1985
-123.47,48.51,22.1,0.8,10.0,03/11/1985
-122.87,48.32,28.6,1.0,10.0,3/16/1985
-122.47,48.86,17.8,1.4,10.0,3/20/1985
-125.4,48.58,14.9,1.4,10.0,3/27/1985
-122.12,48.31,18.5,2.5,10.0,3/30/1985
-123.89,48.12,6.0,1.6,10.0,04/01/1985
-122.69,48.27,20.0,0.7,10.0,04/03/1985
-124.52,48.1,23.2,1.1,10.0,04/08/1985
-122.08,48.83,18.9,2.1,10.0,4/16/1985
-122.07,48.82,18.2,1.1,10.0,4/17/1985
-123.71,48.62,22.1,0.8,10.0,4/22/1985
-122.1,48.82,13.4,1.1,10.0,4/23/1985
-122.07,48.82,18.8,1.8,10.0,4/23/1985
-122.7,48.3,23.4,1.2,10.0,4/24/1985
-122.32,48.39,33.9,2.5,10.0,4/26/1985
-126.16,50.46,22.1,1.3,10.0,4/27/1985
-122.08,48.83,20.3,1.4,10.0,4/28/1985
-122.08,48.83,20.0,1.8,10.0,4/28/1985
-122.27,48.33,37.0,2.8,10.0,4/30/1985
-122.24,48.31,41.0,2.6,10.0,4/30/1985
-122.69,48.56,27.6,1.0,10.0,05/02/1985
-124.55,49.21,1.0,0.7,10.0,05/02/1985
-122.06,48.85,21.5,1.7,10.0,05/06/1985
-122.09,48.83,16.8,1.4,10.0,05/06/1985
-122.13,48.83,10.7,1.4,10.0,05/06/1985
-122.13,48.83,10.6,1.4,10.0,05/07/1985
-122.15,48.83,4.0,1.2,10.0,05/07/1985
-124.24,48.56,17.0,0.7,10.0,05/08/1985
-122.12,48.85,13.8,1.5,10.0,05/08/1985
-122.13,48.86,15.0,1.3,10.0,05/08/1985
-122.79,48.16,21.6,0.7,10.0,05/09/1985
-122.13,48.83,13.2,1.0,10.0,05/09/1985
-122.12,48.86,15.2,2.0,10.0,05/09/1985
-125.24,49.38,1.0,0.6,10.0,05/10/1985
-125.04,49.52,16.5,1.0,10.0,05/10/1985
-122.18,48.85,0.2,1.0,10.0,05/11/1985
-123.23,48.67,21.1,2.5,10.0,5/14/1985
-122.1,48.82,14.0,1.4,10.0,5/15/1985
-123.98,48.65,7.4,0.3,10.0,5/15/1985
-122.14,48.86,17.0,1.3,10.0,5/18/1985
-122.76,48.56,29.0,0.8,10.0,5/18/1985
-123.43,48.38,0.8,1.3,10.0,5/18/1985
-124.93,48.58,5.1,0.6,10.0,5/19/1985
-127.62,49.49,10.0,1.5,10.0,5/21/1985
-123.39,48.06,33.9,0.9,10.0,5/21/1985
-124.31,48.94,0.0,0.8,10.0,5/21/1985
-124.28,48.76,10.7,0.9,10.0,5/21/1985
-123.43,48.38,0.2,0.6,10.0,5/22/1985
-122.8,48.56,26.1,1.2,10.0,5/24/1985
-122.06,48.83,19.8,1.3,10.0,5/27/1985
