lon,lat,depth
69.63117,36.115818,100
69.7597,36.05921,100
70.21636,36.020004,100
70.452774,36.07269,100
70.7436,36.147526,100
70.825165,36.18437,100
70.9884,36.25083,100
71.142525,36.31721,100
71.44049,36.529316,100
69.414,36.2029,125
69.5419,36.1896,125
69.846,36.1924,125
70.1373,36.2287,125
70.5075,36.285,125
70.8833,36.3702,125
71.3853,36.5625,125
69.5333,36.3629,150
69.7651,36.3168,150
70.0389,36.3048,150
70.2759,36.3214,150
70.591,36.3965,150
70.8456,36.4517,150
71.0938,36.531,150
71.2752,36.6049,150
71.3469,36.697,150
69.6527,36.518,175
69.7689,36.4757,175
69.8663,36.4718,175
70.3231,36.4181,175
70.42,36.4479,175
70.5536,36.4635,175
70.681,36.4839,175
70.8086,36.4899,175
71.0093,36.4917,175
71.2815,36.5905,175
71.3476,36.644,175
71.4258,36.7025,175
69.896,36.5202,225
70.0909,36.4979,225
70.3161,36.4807,225
70.5107,36.4872,225
70.6989,36.5034,225
70.9109,36.5679,225
71.1277,36.7142,225
71.1081,36.3819,225
71.18,36.4596,225
71.2581,36.5277,225
71.3726,36.5961,225
70.9714,36.5877,250
71.0438,36.6268,250
71.1711,36.6569,250
70.975,36.3374,250
71.0531,36.4055,250
71.2338,36.5226,250
