lon,lat,depth,unc,etype,src
148.7090,16.3955,5.4100,nan,AS,nan
148.6700,16.4014,5.2000,nan,AS,nan
148.6400,16.4060,3.7400,nan,AS,nan
148.6160,16.4098,3.8800,nan,AS,nan
148.5950,16.4130,3.5300,nan,AS,nan
148.5680,16.4171,4.2300,nan,AS,nan
148.5330,16.4225,5.3400,nan,AS,nan
148.3780,16.4460,5.8300,nan,AS,nan
148.2380,16.4672,6.3800,nan,AS,nan
148.0000,16.5029,7.2900,nan,AS,nan
147.9640,16.5084,7.2900,nan,AS,nan
147.9480,16.5107,8.1900,nan,AS,nan
147.9240,16.5144,8.5400,nan,AS,nan
147.8870,16.5198,8.8200,nan,AS,nan
147.8550,16.5247,9.3100,nan,AS,nan
147.8220,16.5295,9.4500,nan,AS,nan
147.7910,16.5342,9.9300,nan,AS,nan
147.7520,16.5400,10.4200,nan,AS,nan
147.7210,16.5446,11.1900,nan,AS,nan
147.5250,16.5736,13.5500,nan,AS,nan
147.5090,16.5759,13.6900,nan,AS,nan
147.4990,16.5775,14.2500,nan,AS,nan
147.4880,16.5790,14.8100,nan,AS,nan
147.4700,16.5817,14.8100,nan,AS,nan
