lon,lat,depth,unc,etype,src
145.934,38.8407,5.12,nan,AS,nan
145.802,38.8573,5.13,nan,AS,nan
145.698,38.8702,5.06,nan,AS,nan
145.662,38.8747,4.77,nan,AS,nan
145.616,38.8803,5.21,nan,AS,nan
145.487,38.896,5.28,nan,AS,nan
145.282,38.9208,5.44,nan,AS,nan
145.124,38.9396,5.59,nan,AS,nan
144.95,38.9601,5.74,nan,AS,nan
144.822,38.9751,6.03,nan,AS,nan
144.734,38.9851,6.11,nan,AS,nan
144.603,39.0001,6.19,nan,AS,nan
144.443,39.0182,6.48,nan,AS,nan
144.392,39.024,6.55,nan,AS,nan
144.37,39.0265,7.2,nan,AS,nan
144.314,39.0327,6.92,nan,AS,nan
144.258,39.0389,7.57,nan,AS,nan
144.21,39.0442,7.28,nan,AS,nan
144.178,39.0478,8.01,nan,AS,nan
144.139,39.052,7.79,nan,AS,nan
144.098,39.0566,8.15,nan,AS,nan
144.059,39.0608,8.37,nan,AS,nan
144.037,39.0632,8.16,nan,AS,nan
143.981,39.0693,8.59,nan,AS,nan
143.961,39.0714,9.38,nan,AS,nan
143.927,39.0751,9.46,nan,AS,nan
143.893,39.0787,8.96,nan,AS,nan
143.859,39.0824,9.24,nan,AS,nan
143.844,39.0841,10.4,nan,AS,nan
143.787,39.0901,10.76,nan,AS,nan
143.744,39.0947,10.76,nan,AS,nan
143.716,39.0976,11.56,nan,AS,nan
143.667,39.1028,12.07,nan,AS,nan
143.619,39.1079,12.28,nan,AS,nan
143.565,39.1136,12.72,nan,AS,nan
143.54,39.1161,13.44,nan,AS,nan
143.271,39.1439,16.19,nan,AS,nan
142.852,39.1859,20.25,nan,AS,nan
