lon,lat,depth,unc,etype,src
140.6474,41.0448,116.7300,nan,ER,nan
139.2393,41.2870,13.6320,nan,ER,nan
140.5786,41.2125,120.7530,nan,ER,nan
140.8797,41.0509,107.1270,nan,ER,nan
139.8371,41.3787,162.5900,nan,ER,nan
139.3376,41.0663,23.2360,nan,ER,nan
139.9803,41.8169,158.8760,nan,ER,nan
140.4200,41.3703,156.7110,nan,ER,nan
140.8368,41.1072,105.0850,nan,ER,nan
140.1172,41.8598,155.2460,nan,ER,nan
140.0464,41.5580,162.3710,nan,ER,nan
140.6717,41.5746,151.3080,nan,ER,nan
140.8875,41.4895,108.3980,nan,ER,nan
140.3057,41.6344,23.5200,nan,ER,nan
140.3165,41.6379,22.7630,nan,ER,nan
140.8218,41.5153,137.9360,nan,ER,nan
140.8636,41.1551,135.5590,nan,ER,nan
139.3048,41.1175,23.9280,nan,ER,nan
140.1455,41.4641,154.9350,nan,ER,nan
140.1388,41.4272,155.8630,nan,ER,nan
140.7843,41.8954,121.7990,nan,ER,nan
139.2631,41.3462,17.5270,nan,ER,nan
140.2018,41.1108,173.6660,nan,ER,nan
139.2736,41.0806,24.8140,nan,ER,nan
140.6131,41.2728,113.1570,nan,ER,nan
139.8568,41.9260,186.3090,nan,ER,nan
140.6749,41.6892,122.2920,nan,ER,nan
139.0233,41.2216,18.3210,nan,ER,nan
140.7078,41.4658,115.3720,nan,ER,nan
140.1085,41.5149,154.4040,nan,ER,nan
140.2192,41.4051,146.6250,nan,ER,nan
140.4754,41.2803,158.9850,nan,ER,nan
140.8966,41.4241,106.9830,nan,ER,nan
139.5861,41.6367,182.5290,nan,ER,nan
140.0217,41.5748,149.9900,nan,ER,nan
140.7504,41.1293,111.6090,nan,ER,nan
140.3225,41.2790,168.6720,nan,ER,nan
139.9470,41.7474,159.7710,nan,ER,nan
139.3565,41.5115,191.7300,nan,ER,nan
140.6225,41.9701,151.1590,nan,ER,nan
140.5058,41.5592,136.7090,nan,ER,nan
140.3850,41.3109,156.6000,nan,ER,nan
140.6335,41.8392,131.3910,nan,ER,nan
139.5646,41.7569,178.6100,nan,ER,nan
140.1366,41.1602,159.4470,nan,ER,nan
139.1867,41.2902,16.8600,nan,ER,nan
140.0736,41.1129,161.7800,nan,ER,nan
139.9698,41.8995,184.0820,nan,ER,nan
139.1116,41.2226,24.1290,nan,ER,nan
140.9015,41.9954,140.7980,nan,ER,nan
140.5919,41.2615,135.9710,nan,ER,nan
139.1174,41.0720,22.9600,nan,ER,nan
140.5982,41.1645,116.3100,nan,ER,nan
140.3810,41.2404,143.3140,nan,ER,nan
140.2337,41.6314,29.2240,nan,ER,nan
140.2117,41.0289,155.4570,nan,ER,nan
140.4494,41.3070,140.1930,nan,ER,nan
140.3689,41.2475,143.6760,nan,ER,nan
140.0127,41.4426,161.1620,nan,ER,nan
140.8110,41.7416,142.3640,nan,ER,nan
140.7533,41.5446,140.3870,nan,ER,nan
140.6390,41.3479,135.7030,nan,ER,nan
140.2240,41.0158,152.4200,nan,ER,nan
140.7459,41.5663,140.1230,nan,ER,nan
140.7171,41.6209,128.6130,nan,ER,nan
140.7069,41.5924,148.1250,nan,ER,nan
140.2012,41.2480,158.4630,nan,ER,nan
139.4996,41.2844,15.7040,nan,ER,nan
140.8767,41.9757,114.3160,nan,ER,nan
139.1022,41.3231,19.5500,nan,ER,nan
139.1270,41.0832,26.0010,nan,ER,nan
140.7421,41.6841,117.8430,nan,ER,nan
140.8321,41.3402,109.5430,nan,ER,nan
140.6227,41.2968,134.8030,nan,ER,nan
140.3100,41.3405,146.7910,nan,ER,nan
139.0845,41.1962,26.0200,nan,ER,nan
140.7534,41.5776,146.4560,nan,ER,nan
140.8996,41.4839,107.0110,nan,ER,nan
140.4345,41.3651,142.2630,nan,ER,nan
140.6861,41.4323,145.2550,nan,ER,nan
139.1099,41.2560,23.5030,nan,ER,nan
140.5980,41.4307,144.6270,nan,ER,nan
140.2599,41.0693,148.0260,nan,ER,nan
140.7340,41.2656,140.6960,nan,ER,nan
140.0095,41.8973,179.9820,nan,ER,nan
140.6831,41.6940,117.2420,nan,ER,nan
140.1145,41.5022,150.5620,nan,ER,nan
140.2643,41.4172,139.3890,nan,ER,nan
139.1501,41.1543,28.4230,nan,ER,nan
139.4770,41.5853,184.2480,nan,ER,nan
140.8142,41.9368,123.0190,nan,ER,nan
140.8111,41.9148,121.1700,nan,ER,nan
140.3850,41.1595,165.2800,nan,ER,nan
140.9994,41.3835,103.3910,nan,ER,nan
140.6493,41.7649,140.7250,nan,ER,nan
140.6534,41.3589,149.7440,nan,ER,nan
140.3155,41.1343,163.1870,nan,ER,nan
139.1599,41.1676,27.7100,nan,ER,nan
140.3404,41.2195,164.8190,nan,ER,nan
140.0752,41.4536,156.9000,nan,ER,nan
140.6429,41.2703,146.6940,nan,ER,nan
140.7147,41.0489,118.2480,nan,ER,nan
140.4100,41.2091,128.8430,nan,ER,nan
140.5936,41.4283,153.0660,nan,ER,nan
139.9358,41.9313,168.5780,nan,ER,nan
140.6150,41.3399,155.1510,nan,ER,nan
140.4233,41.2023,161.4160,nan,ER,nan
140.1393,41.6114,176.9190,nan,ER,nan
