lon,lat,depth,unc,elev,thickness
142.8330,-0.8330,4.8150,5.0000,-4162.0000,653.0000
142.9170,-0.8330,4.8590,5.0000,-4209.0000,650.0000
143.0000,-0.8330,4.8350,5.0000,-4189.0000,646.0000
143.0830,-0.8330,4.7250,5.0000,-4083.0000,642.0000
143.1670,-0.8330,4.8060,5.0000,-4168.0000,638.0000
143.2500,-0.8330,4.9140,5.0000,-4281.0000,633.0000
143.3330,-0.8330,4.8790,5.0000,-4251.0000,628.0000
142.5000,-0.9170,3.5830,5.0000,-2923.0000,660.0000
142.5830,-0.9170,3.4070,5.0000,-2749.0000,658.0000
142.6670,-0.9170,4.8700,5.0000,-4215.0000,655.0000
142.7500,-0.9170,4.9860,5.0000,-4334.0000,652.0000
142.8330,-0.9170,4.8470,5.0000,-4197.0000,650.0000
142.9170,-0.9170,4.8590,5.0000,-4213.0000,646.0000
143.0000,-0.9170,4.8480,5.0000,-4206.0000,642.0000
143.0830,-0.9170,4.8970,5.0000,-4259.0000,638.0000
143.1670,-0.9170,4.8800,5.0000,-4246.0000,634.0000
143.2500,-0.9170,4.7860,5.0000,-4156.0000,630.0000
143.3330,-0.9170,4.4080,5.0000,-3783.0000,625.0000
143.4170,-0.9170,2.5010,5.0000,-1881.0000,620.0000
143.5000,-0.9170,2.5340,5.0000,-1919.0000,615.0000
143.5830,-0.9170,3.0230,5.0000,-2413.0000,610.0000
143.6670,-0.9170,3.7350,5.0000,-3130.0000,605.0000
142.3330,-1.0000,3.4710,5.0000,-2810.0000,661.0000
142.4170,-1.0000,3.7030,5.0000,-3044.0000,659.0000
142.5000,-1.0000,4.1230,5.0000,-3466.0000,657.0000
142.5830,-1.0000,4.7860,5.0000,-4131.0000,655.0000
142.6670,-1.0000,5.1480,5.0000,-4496.0000,652.0000
142.7500,-1.0000,5.2010,5.0000,-4552.0000,649.0000
142.8330,-1.0000,4.8400,5.0000,-4194.0000,646.0000
142.9170,-1.0000,4.8620,5.0000,-4219.0000,643.0000
143.0000,-1.0000,4.8410,5.0000,-4202.0000,639.0000
143.0830,-1.0000,4.6830,5.0000,-4048.0000,635.0000
143.1670,-1.0000,4.3050,5.0000,-3674.0000,631.0000
143.2500,-1.0000,3.7550,5.0000,-3128.0000,627.0000
143.3330,-1.0000,3.2290,5.0000,-2607.0000,622.0000
143.4170,-1.0000,2.5600,5.0000,-1942.0000,618.0000
143.5000,-1.0000,2.7360,5.0000,-2123.0000,613.0000
143.5830,-1.0000,3.4230,5.0000,-2815.0000,608.0000
143.6670,-1.0000,3.8690,5.0000,-3266.0000,603.0000
