lon,lat,depth
164.844797415,-47.1254638021,4.72
164.929179173,-47.1463263875,5.64
165.067500422,-47.1803557264,7.87
165.137581184,-47.1975166451,9.18
165.402342227,-47.2618645832,18.8
165.715535655,-47.336996953,30.27
165.800199823,-47.3571242322,33.17
164.920814604,-46.9774638029,4.72
165.004962367,-46.9983265249,5.64
165.142899312,-47.0323567801,7.87
165.212785019,-47.0495184913,9.18
165.476807085,-47.1138714163,18.8
165.789122187,-47.1890137538,30.27
165.873548158,-47.2091444846,33.17
164.93883773,-46.7764638041,4.72
165.022670666,-46.7973267103,5.64
165.160090554,-46.8313582017,7.87
165.229713829,-46.8485209823,9.18
165.492741664,-46.9128806357,18.8
165.803875075,-46.9880364216,30.27
165.887980582,-47.0081718093,33.17
165.010856869,-46.6084638051,4.72
165.094429255,-46.6293268642,5.64
165.231421229,-46.6633593818,7.87
165.300827319,-46.68052305,9.18
165.563032349,-46.7448882885,18.8
165.873187832,-46.8200552375,30.27
165.957028137,-46.8401944906,33.17
165.1318755,-46.443463806,4.72
165.215194255,-46.4643270144,5.64
165.351769682,-46.4983605337,7.87
165.420964358,-46.5155250683,9.18
165.68236845,-46.5798957585,18.8
165.991572012,-46.6550736033,30.27
166.07515417,-46.6752166292,33.17
165.282891292,-46.3024638068,4.72
165.365995069,-46.323327142,5.64
165.502217432,-46.3573615126,7.87
165.571232915,-46.3745267834,9.18
165.831958146,-46.4389021059,18.8
166.140354886,-46.5140892091,30.27
166.223718247,-46.5342354408,33.17
