lon,lat,depth
135.1189,31.9750,5.1599
135.1019,32.0133,5.1599
135.0835,32.0547,5.1599
135.0643,32.0976,5.1599
135.0466,32.1374,5.1599
135.0274,32.1803,5.1599
135.0082,32.2232,5.4506
134.9890,32.2660,5.5233
134.9705,32.3074,5.6686
134.9520,32.3487,5.6686
134.9327,32.3916,5.8140
134.9141,32.4330,5.9593
134.8962,32.4728,5.9593
134.8762,32.5172,6.1773
134.8562,32.5616,6.3953
134.8369,32.6044,6.5407
134.8196,32.6427,6.5407
134.7989,32.6886,6.8314
134.7802,32.7299,6.8314
134.7608,32.7728,6.9041
134.7427,32.8126,6.4680
134.7260,32.8493,6.7587
134.7052,32.8952,7.6308
134.6850,32.9396,7.8488
134.6655,32.9824,7.9942
134.6460,33.0252,8.5029
134.6278,33.0650,9.9564
134.6090,33.1063,11.5552
134.5929,33.1415,12.7907
134.5712,33.1889,13.4448
134.5516,33.2317,14.0262
134.5327,33.2730,14.3169
134.5151,33.3112,14.7529
134.4912,33.3632,15.3343
134.4737,33.4014,15.9157
134.4554,33.4412,16.4244
134.4356,33.4840,16.9331
134.4250,33.5407,17.8779
134.4207,33.5798,18.7500
134.4158,33.6255,19.3314
134.4109,33.6695,20.2035
134.4063,33.7120,21.0756
134.4015,33.7560,21.9477
134.3965,33.8017,22.9651
134.3915,33.8473,24.1279
134.3863,33.8946,25.2907
134.3814,33.9387,26.4535
134.3768,33.9811,27.6163
134.3719,34.0251,28.6337
134.3671,34.0691,30.0145
134.3627,34.1083,31.3227
134.3572,34.1588,32.5581
134.3521,34.2045,34.2297
134.3467,34.2534,35.7558
134.3423,34.2925,36.9186
134.3373,34.3382,38.3721
134.3322,34.3839,39.6802
134.3271,34.4295,41.3517
134.3220,34.4752,42.7326
134.3173,34.5176,44.1134
134.3122,34.5633,45.4215
134.3073,34.6073,46.8023
134.3024,34.6513,48.1831
134.2974,34.6954,49.7820
