lon,lat,depth,unc,etype,src
139.9440,34.5828,2.1700,nan,AS,nan
139.9730,34.6037,2.1700,nan,AS,nan
140.0040,34.6259,2.5500,nan,AS,nan
140.0150,34.6336,3.0600,nan,AS,nan
140.0530,34.6607,4.3300,nan,AS,nan
140.1110,34.7018,5.8600,nan,AS,nan
140.1920,34.7595,7.9000,nan,AS,nan
140.2880,34.8274,9.8100,nan,AS,nan
140.3560,34.8753,10.9600,nan,AS,nan
140.4030,34.9086,11.8500,nan,AS,nan
140.4330,34.9293,12.3600,nan,AS,nan
140.4630,34.9508,13.5000,nan,AS,nan
140.4970,34.9743,14.4000,nan,AS,nan
140.5510,35.0124,14.4000,nan,AS,nan
140.5990,35.0462,14.2700,nan,AS,nan
140.6440,35.0773,14.7800,nan,AS,nan
140.6740,35.0987,15.4200,nan,AS,nan
140.7240,35.1333,16.0500,nan,AS,nan
140.7550,35.1554,16.0500,nan,AS,nan
140.8030,35.1885,16.9400,nan,AS,nan
140.8320,35.2092,17.5800,nan,AS,nan
