lon,lat,depth,unc,etype,src
-76.9803,-45.8772,2.3000,nan,AS,nan
-76.9241,-45.8608,2.2900,nan,AS,nan
-76.8813,-45.8483,2.7400,nan,AS,nan
-76.8316,-45.8337,2.2300,nan,AS,nan
-76.7953,-45.8231,2.5400,nan,AS,nan
-76.7656,-45.8144,2.4900,nan,AS,nan
-76.7295,-45.8037,3.6800,nan,AS,nan
-76.6931,-45.7930,3.7600,nan,AS,nan
-76.6502,-45.7804,3.5700,nan,AS,nan
-76.6172,-45.7706,3.1000,nan,AS,nan
-76.5281,-45.7443,2.8100,nan,AS,nan
-76.4525,-45.7218,2.7000,nan,AS,nan
-76.4458,-45.7198,2.3800,nan,AS,nan
-76.4195,-45.7120,2.6500,nan,AS,nan
-76.3898,-45.7031,2.0400,nan,AS,nan
-76.3603,-45.6943,2.7700,nan,AS,nan
-76.3143,-45.6806,2.6300,nan,AS,nan
-76.2815,-45.6708,2.9900,nan,AS,nan
-76.2158,-45.6510,3.0700,nan,AS,nan
-76.1731,-45.6382,2.4600,nan,AS,nan
-76.1043,-45.6175,2.9500,nan,AS,nan
-76.0094,-45.5888,3.6200,nan,AS,nan
-75.9373,-45.5669,4.1200,nan,AS,nan
-75.8458,-45.5391,4.1400,nan,AS,nan
-75.8000,-45.5251,4.5500,nan,AS,nan
-75.7283,-45.5032,5.0900,nan,AS,nan
-75.6532,-45.4802,5.0700,nan,AS,nan
-75.3995,-45.4019,8.5700,nan,AS,nan
-75.2892,-45.3676,10.0200,nan,AS,nan
-74.8884,-45.2418,19.2900,nan,AS,nan
