lon,lat,depth,unc,etype,src
-72.3400,-19.6800,3.6400,nan,AS,nan
-72.2576,-19.6804,3.6400,nan,AS,nan
-72.1029,-19.6809,3.8600,nan,AS,nan
-71.9432,-19.6814,4.5500,nan,AS,nan
-71.8298,-19.6816,5.0000,nan,AS,nan
-71.7009,-19.6818,6.8200,nan,AS,nan
-71.5464,-19.6819,7.0500,nan,AS,nan
-71.4845,-19.6819,7.2700,nan,AS,nan
-71.3763,-19.6819,10.0000,nan,AS,nan
-71.2113,-19.6817,14.0900,nan,AS,nan
-71.0774,-19.6814,17.7300,nan,AS,nan
-70.8764,-19.6808,23.1800,nan,AS,nan
-70.6857,-19.6800,28.8600,nan,AS,nan
