lon,lat,depth,unc,Reference_,Location_T
-125.001045,46.64706701,10.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-124.4722589,46.65098297,15.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-124.2241099,46.64576851,20.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-123.8909162,46.56635776,25.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-123.5654464,46.5487483,30.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-123.2554757,46.53628522,35.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-122.990261,46.55211666,40.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-122.7317541,46.53775547,45.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-122.4768042,46.5284106,50.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-122.2644884,46.52607863,50.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-122.044635,46.48491844,60.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-121.8087383,46.51853391,65.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
-121.6337222,46.60126735,70.0,4,28.0,WIDE-ANGLE OLD (ACTIVE SOURCE) <2003 new
