lon,lat,depth,unc,etype,src
-71.9722,-20.2400,3.0500,nan,AS,nan
-71.9336,-20.2402,2.7100,nan,AS,nan
-71.9027,-20.2403,2.5300,nan,AS,nan
-71.8564,-20.2404,3.5400,nan,AS,nan
-71.7868,-20.2406,4.3800,nan,AS,nan
-71.7365,-20.2407,4.0400,nan,AS,nan
-71.6862,-20.2408,5.3900,nan,AS,nan
-71.6090,-20.2410,5.3800,nan,AS,nan
-71.5471,-20.2411,5.7100,nan,AS,nan
-71.5201,-20.2411,5.3700,nan,AS,nan
-71.4351,-20.2412,6.7200,nan,AS,nan
-71.3577,-20.2412,7.0500,nan,AS,nan
-71.2881,-20.2412,7.2100,nan,AS,nan
-71.2031,-20.2412,8.7200,nan,AS,nan
-71.0137,-20.2409,13.9500,nan,AS,nan
-70.8321,-20.2405,18.5100,nan,AS,nan
