lon,lat,depth,unc,elev,thickness
288.0000,17.9170,5.8380,5.0000,-4290.0000,1548.0000
288.0000,17.8330,6.0880,5.0000,-4437.0000,1651.0000
288.0830,17.8330,5.1780,5.0000,-3532.0000,1646.0000
288.1670,17.8330,3.6480,5.0000,-2049.0000,1599.0000
288.2500,17.8330,2.0360,5.0000,-502.0000,1534.0000
288.3330,17.8330,1.5560,5.0000,-95.0000,1461.0000
288.0000,17.7500,6.1520,5.0000,-4352.0000,1800.0000
288.0830,17.7500,6.0250,5.0000,-4271.0000,1754.0000
288.1670,17.7500,4.4110,5.0000,-2744.0000,1667.0000
288.2500,17.7500,2.1960,5.0000,-625.0000,1571.0000
288.3330,17.7500,1.5200,5.0000,-43.0000,1477.0000
288.4170,17.7500,1.4050,5.0000,-19.0000,1386.0000
288.6670,17.7500,1.1380,5.0000,-33.0000,1105.0000
288.7500,17.7500,2.2280,5.0000,-1215.0000,1013.0000
288.8330,17.7500,3.1870,5.0000,-2182.0000,1005.0000
288.0000,17.6670,6.2870,5.0000,-4324.0000,1963.0000
288.0830,17.6670,6.2660,5.0000,-4414.0000,1852.0000
288.1670,17.6670,5.1890,5.0000,-3467.0000,1722.0000
288.2500,17.6670,2.4510,5.0000,-855.0000,1596.0000
288.3330,17.6670,1.6040,5.0000,-124.0000,1480.0000
288.4170,17.6670,1.6570,5.0000,-280.0000,1377.0000
288.5000,17.6670,1.2900,5.0000,-5.0000,1285.0000
288.6670,17.6670,1.7170,5.0000,-622.0000,1095.0000
288.7500,17.6670,3.1280,5.0000,-2102.0000,1026.0000
288.8330,17.6670,3.7110,5.0000,-2705.0000,1006.0000
288.9170,17.6670,3.6200,5.0000,-2609.0000,1011.0000
289.0000,17.6670,3.6440,5.0000,-2612.0000,1032.0000
289.0830,17.6670,4.3360,5.0000,-3266.0000,1070.0000
289.1670,17.6670,4.7730,5.0000,-3653.0000,1120.0000
289.2500,17.6670,4.8620,5.0000,-3688.0000,1174.0000
289.3330,17.6670,4.9010,5.0000,-3675.0000,1226.0000
288.0000,17.5830,6.2640,5.0000,-4305.0000,1959.0000
288.0830,17.5830,6.3070,5.0000,-4437.0000,1870.0000
288.1670,17.5830,5.7250,5.0000,-3997.0000,1728.0000
288.2500,17.5830,3.5080,5.0000,-1924.0000,1584.0000
288.3330,17.5830,1.8200,5.0000,-365.0000,1455.0000
288.4170,17.5830,1.5870,5.0000,-245.0000,1342.0000
288.5830,17.5830,1.3200,5.0000,-166.0000,1154.0000
288.6670,17.5830,2.9130,5.0000,-1831.0000,1082.0000
288.7500,17.5830,3.3530,5.0000,-2322.0000,1031.0000
288.8330,17.5830,3.9310,5.0000,-2924.0000,1007.0000
288.9170,17.5830,3.3350,5.0000,-2333.0000,1002.0000
289.0000,17.5830,4.4300,5.0000,-3420.0000,1010.0000
289.0830,17.5830,4.4490,5.0000,-3408.0000,1041.0000
289.1670,17.5830,4.6870,5.0000,-3601.0000,1086.0000
289.2500,17.5830,4.7540,5.0000,-3620.0000,1134.0000
289.3330,17.5830,4.7550,5.0000,-3575.0000,1180.0000
289.4170,17.5830,5.5200,5.0000,-4299.0000,1221.0000
289.5000,17.5830,5.3840,5.0000,-4127.0000,1257.0000
289.5830,17.5830,5.2830,5.0000,-3998.0000,1285.0000
289.6670,17.5830,5.4220,5.0000,-4118.0000,1304.0000
289.7500,17.5830,5.3690,5.0000,-4057.0000,1312.0000
288.0000,17.5000,6.2910,5.0000,-4329.0000,1962.0000
288.0830,17.5000,6.2910,5.0000,-4442.0000,1849.0000
288.1670,17.5000,5.7670,5.0000,-4103.0000,1664.0000
288.2500,17.5000,4.1570,5.0000,-2649.0000,1508.0000
288.3330,17.5000,1.4550,5.0000,-72.0000,1383.0000
288.4170,17.5000,1.4580,5.0000,-179.0000,1279.0000
288.5000,17.5000,1.5250,5.0000,-336.0000,1189.0000
288.5830,17.5000,2.2480,5.0000,-1135.0000,1113.0000
288.6670,17.5000,2.9480,5.0000,-1888.0000,1060.0000
288.7500,17.5000,3.5100,5.0000,-2487.0000,1023.0000
288.8330,17.5000,4.1420,5.0000,-3140.0000,1002.0000
288.9170,17.5000,3.8120,5.0000,-2814.0000,998.0000
289.0000,17.5000,4.7660,5.0000,-3765.0000,1001.0000
289.0830,17.5000,4.4930,5.0000,-3477.0000,1016.0000
289.1670,17.5000,4.7040,5.0000,-3646.0000,1058.0000
289.2500,17.5000,4.7780,5.0000,-3677.0000,1101.0000
289.3330,17.5000,4.4360,5.0000,-3297.0000,1139.0000
289.4170,17.5000,5.3290,5.0000,-4156.0000,1173.0000
289.5000,17.5000,5.5850,5.0000,-4384.0000,1201.0000
289.5830,17.5000,5.7340,5.0000,-4514.0000,1220.0000
289.6670,17.5000,5.7350,5.0000,-4504.0000,1231.0000
289.7500,17.5000,5.7140,5.0000,-4484.0000,1230.0000
289.8330,17.5000,5.5360,5.0000,-4320.0000,1216.0000
289.9170,17.5000,5.7940,5.0000,-4604.0000,1190.0000
290.0000,17.5000,5.5270,5.0000,-4370.0000,1157.0000
290.0830,17.5000,5.4990,5.0000,-4361.0000,1138.0000
290.1670,17.5000,5.6240,5.0000,-4448.0000,1176.0000
288.0000,17.4170,6.2610,5.0000,-4311.0000,1950.0000
288.0830,17.4170,6.0740,5.0000,-4313.0000,1761.0000
288.1670,17.4170,5.3250,5.0000,-3800.0000,1525.0000
288.2500,17.4170,3.6070,5.0000,-2219.0000,1388.0000
288.3330,17.4170,1.6190,5.0000,-328.0000,1291.0000
288.4170,17.4170,1.3700,5.0000,-164.0000,1206.0000
288.5000,17.4170,1.9390,5.0000,-812.0000,1127.0000
288.5830,17.4170,2.5020,5.0000,-1441.0000,1061.0000
288.6670,17.4170,3.0980,5.0000,-2069.0000,1029.0000
288.7500,17.4170,3.6890,5.0000,-2678.0000,1011.0000
288.8330,17.4170,4.2990,5.0000,-3299.0000,1000.0000
288.9170,17.4170,4.2870,5.0000,-3290.0000,997.0000
289.0000,17.4170,4.9100,5.0000,-3908.0000,1002.0000
289.0830,17.4170,4.6000,5.0000,-3585.0000,1015.0000
289.1670,17.4170,4.7530,5.0000,-3709.0000,1044.0000
289.2500,17.4170,4.4120,5.0000,-3337.0000,1075.0000
289.3330,17.4170,5.0020,5.0000,-3897.0000,1105.0000
289.4170,17.4170,5.3070,5.0000,-4176.0000,1131.0000
289.5000,17.4170,5.4760,5.0000,-4324.0000,1152.0000
289.5830,17.4170,5.6360,5.0000,-4470.0000,1166.0000
289.6670,17.4170,5.7970,5.0000,-4627.0000,1170.0000
289.7500,17.4170,5.9180,5.0000,-4755.0000,1163.0000
289.8330,17.4170,5.9170,5.0000,-4776.0000,1141.0000
289.9170,17.4170,6.0370,5.0000,-4933.0000,1104.0000
290.0000,17.4170,5.9820,5.0000,-4930.0000,1052.0000
290.0830,17.4170,5.8320,5.0000,-4824.0000,1008.0000
290.1670,17.4170,5.9520,5.0000,-4878.0000,1074.0000
290.2500,17.4170,5.9150,5.0000,-4777.0000,1138.0000
290.3330,17.4170,5.8810,5.0000,-4697.0000,1184.0000
290.4170,17.4170,6.0880,5.0000,-4875.0000,1213.0000
290.5000,17.4170,6.2980,5.0000,-5071.0000,1227.0000
288.0000,17.3330,6.1550,5.0000,-4320.0000,1835.0000
288.0830,17.3330,5.6190,5.0000,-4370.0000,1249.0000
288.1670,17.3330,5.4350,5.0000,-4199.0000,1236.0000
288.2500,17.3330,3.3960,5.0000,-2167.0000,1229.0000
288.3330,17.3330,2.1820,5.0000,-991.0000,1191.0000
288.4170,17.3330,1.7080,5.0000,-574.0000,1134.0000
288.5000,17.3330,2.1390,5.0000,-1071.0000,1068.0000
288.5830,17.3330,2.7440,5.0000,-1739.0000,1005.0000
288.6670,17.3330,3.4440,5.0000,-2445.0000,999.0000
288.7500,17.3330,3.8450,5.0000,-2846.0000,999.0000
288.8330,17.3330,4.3470,5.0000,-3351.0000,996.0000
288.9170,17.3330,4.4240,5.0000,-3427.0000,997.0000
289.0000,17.3330,5.0400,5.0000,-4038.0000,1002.0000
289.0830,17.3330,3.7860,5.0000,-2773.0000,1013.0000
