lat,lon,depth
-39.9912,-69.4810,287.0731
-39.9881,-69.3169,304.8386
-39.9861,-69.1235,316.8268
-39.9835,-68.9435,331.3566
-39.9802,-68.7710,347.5639
-39.9758,-68.6148,367.3085
-39.9668,-68.5228,400.9375
-39.9575,-68.4168,432.6650
-40.0290,-62.3416,642.0008
-40.0333,-62.1398,649.5940
-39.7682,-68.6165,422.0957
-39.8229,-62.5572,637.5094
-39.8315,-62.1429,650.0172
-39.6211,-62.5612,637.7397
-39.6257,-62.3489,642.6630
-39.6299,-62.1349,647.5392
-39.6339,-61.9281,654.2334
-39.3328,-66.7571,489.5193
-39.3319,-66.5587,496.4152
-39.4193,-62.5658,637.9323
-39.4241,-62.3492,641.9912
-39.4286,-62.1348,646.9542
-39.4331,-61.9313,654.6836
-39.4376,-61.7313,663.2706
-39.1994,-69.4141,383.3653
-39.1913,-69.2163,394.7548
-39.1683,-68.5951,422.1660
-39.1353,-67.3447,464.7226
-39.1333,-67.1318,468.8449
-39.1312,-66.9274,474.8370
-39.1299,-66.7233,480.8022
-39.1277,-66.5333,489.5638
-39.1242,-66.3573,502.1844
-39.2174,-62.5550,634.2748
-39.2226,-62.3420,639.3803
-39.2269,-62.1196,642.5239
-39.2321,-61.9235,652.2423
-39.2365,-61.7194,659.9444
-39.0003,-69.9820,194.9630
-39.0000,-69.7956,206.6958
-39.0000,-69.6044,217.3592
-38.9997,-69.4786,241.9036
-38.9874,-69.3393,369.4826
-38.9612,-68.5569,415.1898
-38.9534,-68.3618,426.6804
-38.9465,-68.1581,435.0824
-38.9416,-67.9395,439.5699
-38.9389,-67.7105,441.0586
-38.9356,-67.4973,445.2225
-38.9332,-67.2819,449.3904
-38.9305,-67.0776,455.3303
-38.9281,-66.8779,462.2044
-38.9239,-66.6934,472.8742
-38.9211,-66.5079,482.5484
-38.9185,-66.3251,493.2395
-38.9143,-66.1594,507.7240
-39.0172,-62.5722,637.2546
-39.0226,-62.3469,639.6104
-39.0278,-62.1316,644.7652
-39.0327,-61.9235,651.7093
-38.8039,-69.7461,196.0280
-38.8005,-69.5912,214.2355
-38.7952,-69.5228,250.9477
-38.7604,-68.5004,403.3375
-38.7551,-68.2824,409.0076
-38.7486,-68.0799,417.2621
-38.7439,-67.8666,422.5536
-38.7411,-67.6429,424.8548
-38.7376,-67.4346,429.8531
-38.7354,-67.2205,433.9136
-38.7310,-67.0281,442.6249
-38.7235,-66.8588,457.0463
-38.7191,-66.6750,467.6589
-38.7160,-66.4903,477.2905
-38.7104,-66.3235,491.7541
-38.7084,-66.1434,502.4220
-38.7627,-64.0004,584.9944
-38.7712,-63.7885,589.6865
-38.7792,-63.5779,595.3666
-38.7865,-63.3856,604.7457
-38.7940,-63.1903,614.1603
-38.8015,-62.9902,622.5668
-38.8089,-62.7856,629.9704
-38.8156,-62.5661,634.4968
-38.8217,-62.3523,639.8203
-38.8273,-62.1363,645.0860
-38.8326,-61.9276,652.1298
-38.5970,-69.6362,222.6921
-38.5927,-69.5109,247.5061
-38.5798,-69.5486,307.5615
-38.5583,-68.4185,384.6657
-38.5530,-68.2092,392.0833
-38.5486,-67.9964,397.3366
-38.5420,-67.8030,407.2404
-38.5378,-67.5954,413.2161
-38.5354,-67.3843,417.1441
-38.5311,-67.1858,424.9117
-38.5226,-67.0159,439.2534
-38.5173,-66.8325,449.7922
-38.5098,-66.6641,464.1544
-38.5074,-66.4765,472.7914
-38.5036,-66.2992,484.3746
-38.5008,-66.1237,495.9830
-38.5005,-65.9415,505.7551
-38.4998,-65.7672,517.5086
-38.5076,-65.3844,532.7158
-38.5412,-64.4088,569.7987
-38.5494,-64.2106,577.4262
-38.5587,-63.9994,582.2314
-38.5683,-63.7792,585.1732
-38.5767,-63.5727,591.9377
-38.5848,-63.3722,599.5566
-38.5928,-63.1686,607.2121
-38.6006,-62.9727,616.6922
-38.6084,-62.7721,625.1682
-38.6159,-62.5724,634.5664
-38.6229,-62.3661,641.9119
-38.6291,-62.1494,647.3001
-38.6352,-61.9438,655.4075
-38.3974,-69.6231,218.7788
-38.3899,-69.5078,245.6171
-38.3824,-69.4093,276.9283
-38.3791,-69.2633,298.7402
-38.3486,-68.1682,382.5013
-38.3446,-67.9562,387.6129
-38.3431,-67.7344,389.7607
-38.3363,-67.5456,400.3731
-38.3281,-67.3677,412.7658
-38.3239,-67.1698,420.4346
-38.3163,-66.9930,432.7846
-38.3084,-66.8212,446.1090
-38.3028,-66.6425,457.5588
-38.2979,-66.4668,469.0093
-38.2931,-66.2942,481.5163
-38.2943,-66.1006,488.3758
-38.2925,-65.9270,500.0561
-38.2926,-65.7497,510.8911
-38.2953,-65.5648,519.9259
-38.3004,-65.3725,527.1574
-38.3064,-65.1789,534.5168
-38.3131,-64.9854,541.9482
-38.3199,-64.7953,550.4212
-38.3283,-64.5946,557.1256
-38.3371,-64.3954,563.8299
-38.3454,-64.2018,572.5352
-38.3553,-63.9906,577.4867
-38.3651,-63.7788,582.4661
-38.3741,-63.5722,589.3854
-38.3828,-63.3718,597.1503
-38.3913,-63.1723,605.9000
-38.3998,-62.9553,610.8027
-38.4081,-62.7795,625.0878
-38.4163,-62.5794,634.6273
-38.4317,-62.1751,652.3738
-38.4370,-61.9450,654.8960
-38.4421,-61.7269,660.1123
-38.4574,-60.8766,688.0030
-38.1957,-69.6332,219.0776
-38.1854,-69.5280,247.9864
-38.1821,-69.3714,267.4177
-38.1806,-69.1957,282.7810
-38.1793,-69.0039,295.0503
-38.1729,-68.8492,315.3871
-38.1499,-68.0995,365.0795
-38.1416,-67.9171,377.6687
-38.1387,-67.7069,382.5403
-38.1325,-67.5148,392.0768
-38.1232,-67.3408,405.3110
-38.1174,-67.1504,414.7876
-38.1094,-66.9741,427.0507
-38.1020,-66.7992,439.3514
-38.0997,-66.6067,446.9448
-38.0910,-66.4463,462.1628
-38.0888,-66.2632,471.8052
-38.0893,-66.0741,479.6213
-38.0883,-65.8974,490.3760
-38.0875,-65.7247,502.1959
-38.0872,-65.5564,515.0643
-38.0929,-65.3650,522.3678
-38.1017,-65.1598,526.9970
-38.1081,-64.9709,535.4752
-38.1166,-64.7730,542.1870
-38.1271,-64.5599,546.2106
-38.1352,-64.3694,554.9346
-38.1433,-64.1803,564.7268
-38.1525,-63.9821,572.6543
-38.1626,-63.7745,578.7372
-38.1724,-63.5636,584.8837
-38.1817,-63.3589,591.8661
-38.1907,-63.1552,599.8333
-38.1995,-62.9380,604.8955
-38.2080,-62.7540,617.4302
-38.2175,-62.5953,636.5615
-38.2403,-61.9585,657.2514
-38.2446,-61.7240,658.7786
-38.2484,-61.4957,662.0554
-38.2519,-61.2765,667.0070
-38.2549,-61.0597,672.7423
-38.2610,-60.8707,686.9817
-38.2659,-60.6814,699.9459
-37.9636,-70.2395,229.8211
-37.9760,-69.9726,231.3492
-37.9873,-69.7020,230.1584
-37.9871,-69.5112,242.8564
-37.9825,-69.3549,262.4164
-37.9796,-69.1790,277.8599
-37.9762,-68.9945,292.0354
-37.9722,-68.8071,304.8007
-37.9662,-68.6264,319.1787
-37.9582,-68.4481,334.1952
-37.9553,-68.2402,340.3468
-37.9495,-68.0439,350.1922
-37.9411,-67.8617,362.6370
-37.9323,-67.6801,375.0043
