lat,lon,depth,unc,ID,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,mlon,mlat,mdep,id_no,src
18.061,-70.594,20.120,15.000,100000,EQ,4.300,2015-03-27 18:13:52.240,211.578,2.149,118.486,55.174,150.547,56.362,133.194,271.088,52.629,44.188,-70.582,18.098,21.000,us10001ra3,42718
18.056,-68.355,78.000,15.000,100001,EQ,4.200,2013-05-31 06:05:21.200,162.595,10.482,258.749,30.089,33.954,76.947,29.734,296.603,61.108,165.050,nan,nan,nan,pr13151003,42718
17.901,-64.638,143.000,15.000,100002,EQ,6.100,1970-07-08 04:49:11.000,319.816,57.754,139.691,32.246,49.740,77.246,270.058,229.478,12.754,-90.255,-64.670,18.000,138.800,iscgem793579,42718
17.828,-68.617,104.000,15.000,100003,EQ,5.900,1979-11-05 01:51:12.900,5.684,22.590,189.100,67.374,276.689,67.600,91.312,93.250,22.436,86.821,-68.460,17.960,78.300,usp00013uz,42718
18.034,-69.420,39.700,15.000,100004,EQ,5.200,1983-05-20 17:40:14.450,215.998,35.866,10.989,51.419,353.070,14.750,147.051,115.148,82.040,77.541,-70.200,18.320,15.000,usp0001vh3,42718
18.185,-68.474,101.300,15.000,100005,EQ,5.600,1983-09-20 08:50:58.310,338.481,4.473,234.840,71.648,264.423,51.976,112.783,50.135,43.423,63.655,-68.670,18.390,95.700,usp0001ygk,42718
17.984,-69.338,23.900,15.000,100006,EQ,6.900,1984-06-24 11:17:11.920,202.437,42.262,11.695,47.234,107.298,87.503,84.621,352.469,5.929,155.054,-69.230,18.090,16.400,usp000257x,42718
18.006,-69.197,32.300,15.000,100007,EQ,5.200,1984-06-24 18:18:51.070,221.214,56.405,1.716,27.139,54.472,24.281,220.390,286.679,74.547,-71.038,-69.640,18.020,33.400,usp0002586,42718
17.996,-69.215,32.200,15.000,100008,EQ,5.500,1984-06-25 18:45:09.350,182.240,20.640,21.111,68.294,260.700,25.012,74.647,97.555,65.938,97.042,-69.350,18.130,42.000,usp000259e,42718
18.295,-69.445,69.600,15.000,100009,EQ,5.200,1984-09-01 23:39:05.620,155.926,20.398,22.585,61.552,81.251,67.959,110.507,216.346,29.753,49.131,-69.250,18.310,38.200,usp00026yj,42718
17.761,-68.811,62.300,15.000,100010,EQ,5.700,1989-06-18 14:06:28.830,355.015,33.224,262.625,3.642,33.578,64.383,337.676,133.645,69.970,-152.601,-68.530,17.280,73.200,usp0003wd7,42718
18.017,-70.618,10.000,15.000,100011,EQ,5.700,1992-01-15 06:58:32.440,200.909,31.365,47.818,55.644,254.839,17.863,44.686,121.567,77.543,102.906,-70.660,18.200,15.000,usp00051tq,42718
18.222,-71.132,12.800,15.000,100012,EQ,5.200,1993-04-08 19:13:10.750,12.371,37.796,158.406,46.921,161.988,18.227,164.587,266.662,85.232,72.387,-71.460,18.400,15.000,usp0005qw0,42718
17.399,-65.717,25.400,15.000,100013,EQ,5.300,1993-08-01 19:32:28.560,293.251,64.581,152.766,20.135,50.629,66.719,253.790,266.964,28.108,-57.026,-65.710,17.420,15.000,usp0005xta,42718
18.066,-68.127,97.200,15.000,100014,EQ,5.100,2003-03-21 01:09:55.190,14.290,17.596,248.800,61.354,301.876,65.996,114.035,74.247,33.455,47.553,-68.020,18.340,66.500,usp000bt4p,42718
