lon,lat,depth,stdv,smag,shiftstd,avstr,avdip,avrke,psdepth,sstr,sdip,nID,pslon,pslat,bzlon,bzlat,centsurf,thickness,alen,blen,clen,ogstr,ogdip,hstdv,vstdv
126.60,1.60,7.54,10.00,0.00,0.00,nan,nan,nan,7.54,14.93,6.46,126616,126.60,1.60,126.60,1.60,10.00,129.14,100.00,20.00,100.00,12.03,13.56,2.34,9.72
126.80,1.60,9.53,10.00,0.00,0.00,nan,nan,nan,9.53,14.96,9.03,126816,126.80,1.60,126.80,1.60,10.00,129.14,100.00,20.00,100.00,21.00,6.83,1.19,9.93
126.60,1.80,7.52,10.00,0.00,0.00,nan,nan,nan,7.52,14.63,5.83,126618,126.60,1.80,126.60,1.80,10.00,129.32,100.00,20.00,100.00,12.53,14.53,2.51,9.68
126.80,1.80,8.77,10.00,0.00,0.00,nan,nan,nan,8.77,15.26,8.24,126818,126.80,1.80,126.80,1.80,10.00,129.32,100.00,20.00,100.00,21.49,7.05,1.23,9.92
126.80,2.00,8.39,10.00,0.00,0.00,nan,nan,nan,8.39,15.15,7.42,126820,126.80,2.00,126.80,2.00,10.00,128.32,100.00,20.00,100.00,20.44,7.73,1.35,9.91
126.80,2.20,7.98,10.00,0.00,0.00,nan,nan,nan,7.98,14.57,6.64,126822,126.80,2.20,126.80,2.20,10.00,127.73,100.00,20.00,100.00,18.26,9.04,1.57,9.88
126.80,2.40,7.61,10.00,0.00,0.00,nan,nan,nan,7.61,13.51,5.88,126824,126.80,2.40,126.80,2.40,10.00,126.54,100.00,20.00,100.00,17.10,10.57,1.83,9.83
126.80,2.60,7.35,10.00,0.00,0.00,nan,nan,nan,7.35,11.71,5.12,126826,126.80,2.60,126.80,2.60,10.00,123.59,100.00,20.00,100.00,16.70,11.88,2.06,9.79
126.20,-1.60,14.81,10.00,0.00,0.00,nan,nan,nan,14.81,55.91,14.98,1262016,126.20,-1.60,126.20,-1.60,10.00,105.16,56.00,20.00,100.00,351.74,19.26,3.30,9.44
125.80,-1.40,7.65,10.00,0.00,0.00,nan,nan,nan,7.65,84.81,9.34,1258014,125.80,-1.40,125.80,-1.40,10.00,105.16,45.00,20.00,100.00,333.02,23.19,3.94,9.19
126.00,-1.40,9.56,10.00,0.00,0.00,nan,nan,nan,9.56,68.55,10.94,1260014,126.00,-1.40,126.00,-1.40,10.00,105.16,76.00,20.00,100.00,339.31,22.67,3.85,9.23
126.20,-1.40,13.20,10.00,0.00,0.00,nan,nan,nan,13.20,53.09,14.01,1262014,126.20,-1.40,126.20,-1.40,10.00,105.16,100.00,20.00,100.00,337.57,16.59,2.86,9.58
126.40,-1.40,17.94,10.00,0.00,0.00,nan,nan,nan,17.94,41.93,16.82,1264014,126.40,-1.40,126.40,-1.40,10.00,105.16,56.00,20.00,100.00,350.30,10.24,1.78,9.84
125.80,-1.20,7.40,10.00,0.00,0.00,nan,nan,nan,7.40,89.46,7.45,1258012,125.80,-1.20,125.80,-1.20,10.00,107.76,20.00,20.00,100.00,346.42,16.96,2.92,9.57
126.00,-1.20,8.77,10.00,0.00,0.00,nan,nan,nan,8.77,59.78,8.25,1260012,126.00,-1.20,126.00,-1.20,10.00,107.76,100.00,20.00,100.00,351.32,21.17,3.61,9.33
126.20,-1.20,12.26,10.00,0.00,0.00,nan,nan,nan,12.26,40.46,10.99,1262012,126.20,-1.20,126.20,-1.20,10.00,107.76,100.00,20.00,100.00,348.85,12.44,2.15,9.77
126.40,-1.20,16.52,10.00,0.00,0.00,nan,nan,nan,16.52,31.18,14.33,1264012,126.40,-1.20,126.40,-1.20,10.00,108.91,20.00,20.00,100.00,3.36,5.91,1.03,9.95
125.80,-1.00,7.50,10.00,0.00,0.00,nan,nan,nan,7.50,72.34,4.65,1258010,125.80,-1.00,125.80,-1.00,10.00,108.91,30.00,20.00,100.00,12.25,17.67,3.04,9.53
126.00,-1.00,8.28,10.00,0.00,0.00,nan,nan,nan,8.28,45.37,6.04,1260010,126.00,-1.00,126.00,-1.00,10.00,108.91,100.00,20.00,100.00,5.92,21.21,3.62,9.32
126.20,-1.00,10.92,10.00,0.00,0.00,nan,nan,nan,10.92,28.95,9.24,1262010,126.20,-1.00,126.20,-1.00,10.00,108.91,34.00,20.00,100.00,9.89,11.58,2.01,9.80
126.40,-1.00,15.57,10.00,0.00,0.00,nan,nan,nan,15.57,22.83,12.76,1264010,126.40,-1.00,126.40,-1.00,10.00,111.43,29.00,20.00,100.00,32.54,4.75,0.83,9.97
