lon,lat,depth,strike,dip
125.7,-2.2,8.03307,6.061784,28.040062
125.75,-2.2,5.0906715,4.6643395,28.232332
125.8,-2.2,2.0869932,4.565236,28.607948
125.85000000000001,-2.2,-0.95011055,5.51916,28.798716
125.9,-2.2,-3.9927852,7.250923,28.813951
125.95,-2.2,-7.0131764,9.524279,28.665018
126.0,-2.2,-9.983429,12.124296,28.353994
126.05,-2.2,-12.8756895,14.846221,27.866673
126.10000000000001,-2.2,-15.662102,17.486816,27.168581
126.15,-2.2,-18.314814,19.84796,26.186806
126.2,-2.2,-20.801708,21.814081,24.795122
126.25,-2.2,-23.080202,23.551872,23.278639
126.3,-2.2,-25.183819,24.75772,22.016596
126.35000000000001,-2.2,-27.16019,25.26517,21.079248
126.4,-2.2,-29.056955,25.017838,20.485186
126.45,-2.2,-30.92175,24.036634,20.257832
126.5,-2.2,-32.802204,22.43332,20.423082
126.55,-2.2,-34.74596,20.401209,21.00383
126.60000000000001,-2.2,-36.800648,18.177776,22.012974
126.65,-2.2,-39.013905,16.347294,23.006796
126.7,-2.2,-41.327885,15.453063,23.078842
126.75,-2.2,-43.577217,14.793745,22.652885
126.8,-2.2,-45.81134,13.70602,22.67089
126.85000000000001,-2.2,-48.086327,12.300386,23.17318
126.9,-2.2,-50.45826,10.746812,24.160322
126.95,-2.2,-52.98322,9.214108,25.617561
127.0,-2.2,-55.717285,7.8361783,27.513205
127.05,-2.2,-58.71654,6.697215,29.799107
127.10000000000001,-2.2,-62.037064,5.834683,32.406147
127.15,-2.2,-65.73304,5.302873,34.9792
127.2,-2.2,-69.77791,5.0831933,37.161877
127.25,-2.2,-74.12211,5.077446,38.990948
127.3,-2.2,-78.73736,5.2144895,40.567856
127.35000000000001,-2.2,-83.59536,5.454198,41.917572
127.4,-2.2,-88.66783,5.7676353,43.061546
127.45,-2.2,-93.92647,6.13268,44.017776
127.5,-2.2,-99.34299,6.5319886,44.801006
127.55,-2.2,-104.8891,6.95113,45.422844
127.60000000000001,-2.2,-110.5365,7.350923,45.99516
127.65,-2.2,-116.29856,7.628913,46.91449
127.7,-2.2,-122.31103,7.866232,48.05856
127.75,-2.2,-128.5478,8.169222,49.001312
127.8,-2.2,-134.96385,8.53607,49.72086
127.85,-2.2,-141.51408,8.956635,50.23457
127.9,-2.2,-148.15346,9.423939,50.554558
127.95,-2.2,-154.83693,9.933374,50.687965
128.0,-2.2,-161.51942,10.481922,50.637413
128.05,-2.2,-168.15588,11.068156,50.4012
128.1,-2.2,-174.70126,11.611757,50.166378
128.15,-2.2,-181.20341,12.018477,50.176334
128.2,-2.2,-187.73404,12.349339,50.31427
128.25,-2.2,-194.28384,12.674178,50.412193
128.3,-2.2,-200.84355,12.992528,50.470356
128.35,-2.2,-207.40387,13.303393,50.48869
128.4,-2.2,-213.9555,13.606338,50.467064
128.45,-2.2,-220.48918,13.900512,50.40501
128.5,-2.2,-226.99559,14.184992,50.30188
128.55,-2.2,-233.46545,14.45265,50.168453
128.6,-2.2,-239.89516,14.645782,50.10913
128.65,-2.2,-246.32664,14.754803,50.130894
128.7,-2.2,-252.75986,14.841645,50.12124
128.75,-2.2,-259.1818,14.925006,50.054085
128.8,-2.2,-265.57947,15.009401,49.929333
128.85,-2.2,-271.93982,15.099208,49.746628
128.9,-2.2,-278.24988,15.198672,49.50523
128.95,-2.2,-284.4966,15.313184,49.203903
129.0,-2.2,-290.667,15.447309,48.84114
129.05,-2.2,-296.74805,15.590929,48.444004
129.1,-2.2,-302.74,15.691498,48.087234
129.15,-2.2,-308.6648,15.722802,47.77369
129.2,-2.2,-314.52454,15.718631,47.45933
129.25,-2.2,-320.32043,15.68837,47.14372
129.3,-2.2,-326.05377,15.641013,46.828453
