dist,depth,etype
-48,6.735216145,AA
-47,6.778056456,AA
-46,6.812935968,AA
-45,6.841115878,AA
-44,6.864084985,AA
-43,6.882885451,AA
-42,6.915148723,AA
-41,6.945771088,AA
-40,6.975967738,AA
-39,7.006366063,AA
-38,7.037507309,AA
-37,7.069882633,AA
-36,7.102269163,AA
-35,7.134832109,AA
-34,7.165863818,AA
-33,7.194468913,AA
-32,7.218444345,AA
-31,7.2368709,AA
-30,7.25397309,AA
-29,7.271673841,AA
-28,7.290908219,AA
-27,7.313958344,AA
-26,7.342001597,AA
-25,7.354733374,AA
-24,7.366922118,AA
-23,7.37845367,AA
-22,7.389108949,AA
-21,7.399845332,AA
-20,7.427361296,AA
-19,7.458393651,AA
-18,7.49334834,AA
-17,7.535918748,AA
-16,7.585881008,AA
-15,7.640623069,AA
-14,7.687342973,AA
-13,7.732473876,AA
-12,7.779679809,AA
-11,7.833672469,AA
-10,7.89534979,AA
-9,7.975524779,AA
-8,8.068040089,AA
-7,8.162298512,AA
-6,8.262476974,AA
-5,8.363444361,AA
-4,8.458936015,AA
-3,8.55815625,AA
-2,8.659093738,AA
-1,8.754766516,AA
0,8.856688638,AA
1,9.031829867,AA
2,9.154765924,AA
3,9.28133819,AA
4,9.414709502,AA
5,9.542880205,AA
6,9.605990623,AA
7,9.714654629,AA
8,9.811308759,AA
9,9.904784405,AA
10,9.992998942,AA
11,10.07065378,AA
12,10.15670054,AA
13,10.27027239,AA
14,10.38936541,AA
15,10.50844119,AA
16,10.65049163,AA
17,10.7934379,AA
18,10.9272183,AA
19,11.06508772,AA
20,11.20497741,AA
21,11.35743135,AA
22,11.52115993,AA
23,11.69403448,AA
24,11.86933616,AA
25,12.06213228,AA
26,12.2441079,AA
27,12.420578,AA
28,12.5897445,AA
29,12.7516437,AA
30,12.9054023,AA
31,13.04899444,AA
32,13.18557337,AA
33,13.3167913,AA
34,13.4431026,AA
35,13.56626924,AA
36,13.68791436,AA
37,13.80881309,AA
38,13.92913273,AA
39,14.0487772,AA
40,14.16688114,AA
41,14.28221759,AA
42,14.39479471,AA
43,14.50456094,AA
44,14.61161585,AA
45,14.68318208,AA
46,14.75355388,AA
47,14.82230935,AA
48,14.88941306,AA
49,14.95451989,AA
50,15.05130257,AA
51,15.14980733,AA
52,15.25077229,AA
53,15.35460508,AA
54,15.46185687,AA
55,15.57325895,AA
56,15.68588895,AA
57,15.79798028,AA
58,15.90923304,AA
59,16.01931513,AA
60,16.12779324,AA
61,16.23426178,AA
62,16.34011418,AA
63,16.44534269,AA
64,16.54996877,AA
65,16.64992384,AA
66,16.76127534,AA
67,16.88049959,AA
68,17.00823707,AA
69,17.14540148,AA
70,17.29712118,AA
71,17.44894464,AA
72,17.60477733,AA
73,17.76468517,AA
74,17.92842817,AA
75,18.09544715,AA
76,18.26461419,AA
77,18.5959726,AA
78,18.95108648,AA
79,19.33172001,AA
80,19.73967455,AA
81,20.17712958,AA
82,20.48681101,AA
83,20.79373262,AA
84,21.09524288,AA
85,21.38861581,AA
86,21.67053057,AA
87,21.93689131,AA
88,22.19891998,AA
89,22.45623832,AA
90,22.70887418,AA
91,22.95438612,AA
92,23.19320756,AA
93,23.42622487,AA
94,24.0873055,AA
95,24.79149038,AA
96,25.54634513,AA
97,26.35764911,AA
98,27.23171629,AA
99,27.74160977,AA
100,28.23638454,AA
101,28.71036177,AA
102,29.15660123,AA
103,29.56668421,AA
104,29.93071874,AA
105,30.28051734,AA
106,30.6160248,AA
107,30.93768529,AA
108,31.24693373,AA
109,31.54645143,AA
110,31.83987016,AA
111,32.1280036,AA
112,32.41175236,AA
113,32.6920168,AA
114,32.96938284,AA
115,33.2487368,AA
116,33.53214282,AA
117,33.82053464,AA
