avlat,avlon,depth,dist
18.40,260.62,15.09,78.00
18.40,260.62,15.13,78.10
18.40,260.62,15.17,78.20
18.40,260.62,15.21,78.30
18.40,260.62,15.25,78.40
18.40,260.62,15.28,78.50
18.40,260.62,15.32,78.60
18.40,260.62,15.36,78.70
18.40,260.62,15.40,78.80
18.40,260.62,15.44,78.90
18.40,260.62,15.48,79.00
18.40,260.62,15.52,79.10
18.40,260.62,15.56,79.20
18.40,260.62,15.59,79.30
18.40,260.62,15.63,79.40
18.40,260.62,15.67,79.50
18.40,260.62,15.71,79.60
18.40,260.62,15.75,79.70
18.40,260.62,15.79,79.80
18.40,260.62,15.83,79.90
18.40,260.62,15.87,80.00
18.40,260.62,15.90,80.10
18.40,260.62,15.94,80.20
18.40,260.62,15.98,80.30
18.40,260.62,16.02,80.40
18.40,260.62,16.06,80.50
18.40,260.62,16.10,80.60
18.40,260.62,16.14,80.70
18.40,260.62,16.17,80.80
18.40,260.62,16.21,80.90
18.40,260.62,16.25,81.00
18.40,260.62,16.29,81.10
18.40,260.62,16.33,81.20
18.40,260.62,16.37,81.30
18.40,260.62,16.41,81.40
18.40,260.62,16.45,81.50
18.40,260.62,16.48,81.60
18.40,260.62,16.52,81.70
18.40,260.62,16.56,81.80
18.40,260.62,16.60,81.90
18.40,260.62,16.64,82.00
18.40,260.62,16.68,82.10
18.40,260.62,16.72,82.20
18.40,260.62,16.76,82.30
18.40,260.62,16.79,82.40
18.40,260.62,16.83,82.50
18.40,260.62,16.87,82.60
18.40,260.62,16.91,82.70
18.40,260.62,16.95,82.80
18.40,260.62,16.99,82.90
18.40,260.62,17.02,83.00
18.40,260.62,17.04,83.10
18.40,260.62,17.07,83.20
18.40,260.62,17.10,83.30
18.40,260.62,17.12,83.40
18.40,260.62,17.15,83.50
18.40,260.62,17.18,83.60
18.40,260.62,17.20,83.70
18.40,260.62,17.23,83.80
18.40,260.62,17.26,83.90
18.40,260.62,17.28,84.00
18.40,260.62,17.31,84.10
18.40,260.62,17.34,84.20
18.40,260.62,17.36,84.30
18.40,260.62,17.39,84.40
18.40,260.62,17.42,84.50
18.40,260.62,17.44,84.60
18.40,260.62,17.47,84.70
18.40,260.62,17.50,84.80
18.40,260.62,17.52,84.90
18.40,260.62,17.55,85.00
18.40,260.62,17.58,85.10
18.40,260.62,17.60,85.20
18.40,260.62,17.63,85.30
18.40,260.62,17.66,85.40
18.40,260.62,17.68,85.50
18.40,260.62,17.71,85.60
18.40,260.62,17.74,85.70
18.40,260.62,17.76,85.80
18.40,260.62,17.79,85.90
18.40,260.62,17.82,86.00
18.40,260.62,17.84,86.10
18.40,260.62,17.87,86.20
18.40,260.62,17.90,86.30
18.40,260.62,17.92,86.40
18.40,260.62,17.95,86.50
18.40,260.62,17.98,86.60
18.40,260.62,18.00,86.70
18.40,260.62,18.03,86.80
18.40,260.62,18.06,86.90
18.40,260.62,18.09,87.00
18.40,260.62,18.12,87.10
18.40,260.62,18.15,87.20
18.40,260.62,18.18,87.30
18.40,260.62,18.21,87.40
18.40,260.62,18.24,87.50
18.40,260.62,18.27,87.60
18.40,260.62,18.30,87.70
18.40,260.62,18.33,87.80
18.40,260.62,18.36,87.90
18.40,260.62,18.39,88.00
18.40,260.62,18.41,88.10
18.40,260.62,18.44,88.20
18.40,260.62,18.47,88.30
18.40,260.62,18.50,88.40
18.40,260.62,18.53,88.50
18.40,260.62,18.56,88.60
18.40,260.62,18.59,88.70
18.40,260.62,18.62,88.80
18.40,260.62,18.65,88.90
18.40,260.62,18.68,89.00
18.40,260.62,18.71,89.10
18.40,260.62,18.74,89.20
18.40,260.62,18.77,89.30
18.40,260.62,18.79,89.40
18.40,260.62,18.82,89.50
18.40,260.62,18.85,89.60
18.40,260.62,18.88,89.70
18.40,260.62,18.91,89.80
18.40,260.62,18.94,89.90
18.40,260.62,18.97,90.00
18.40,260.62,19.00,90.10
18.40,260.62,19.02,90.20
18.40,260.62,19.04,90.30
18.40,260.62,19.06,90.40
18.40,260.62,19.08,90.50
18.40,260.62,19.10,90.60
18.40,260.62,19.12,90.70
18.40,260.62,19.14,90.80
18.40,260.62,19.16,90.90
18.40,260.62,19.17,91.00
18.40,260.62,19.19,91.10
18.40,260.62,19.21,91.20
18.40,260.62,19.23,91.30
18.40,260.62,19.25,91.40
18.40,260.62,19.27,91.50
18.40,260.62,19.29,91.60
18.40,260.62,19.31,91.70
18.40,260.62,19.33,91.80
18.40,260.62,19.35,91.90
18.40,260.62,19.37,92.00
18.40,260.62,19.39,92.10
18.40,260.62,19.41,92.20
18.40,260.62,19.43,92.30
18.40,260.62,19.45,92.40
18.40,260.62,19.47,92.50
18.40,260.62,19.49,92.60
18.40,260.62,19.51,92.70
18.40,260.62,19.53,92.80
18.40,260.62,19.54,92.90
18.40,260.62,19.56,93.00
18.40,260.62,19.58,93.10
18.40,260.62,19.60,93.20
18.40,260.62,19.62,93.30
18.40,260.62,19.64,93.40
18.40,260.62,19.66,93.50
18.40,260.62,19.68,93.60
18.40,260.62,19.70,93.70
18.40,260.62,19.72,93.80
18.40,260.62,19.74,93.90
18.40,260.62,19.76,94.00
18.40,260.62,19.78,94.10
18.40,260.62,19.80,94.20
18.40,260.62,19.82,94.30
18.40,260.62,19.84,94.40
18.40,260.62,19.86,94.50
18.40,260.62,19.88,94.60
18.40,260.62,19.90,94.70
18.40,260.62,19.91,94.80
18.40,260.62,19.93,94.90
18.40,260.62,19.95,95.00
18.40,260.62,19.97,95.10
18.40,260.62,19.99,95.20
18.40,260.62,20.02,95.30
18.40,260.62,20.06,95.40
18.40,260.62,20.09,95.50
18.40,260.62,20.13,95.60
18.40,260.62,20.17,95.70
18.40,260.62,20.20,95.80
18.40,260.62,20.24,95.90
18.40,260.62,20.27,96.00
18.40,260.62,20.31,96.10
18.40,260.62,20.34,96.20
18.40,260.62,20.38,96.30
18.40,260.62,20.42,96.40
18.40,260.62,20.45,96.50
18.40,260.62,20.49,96.60
18.40,260.62,20.52,96.70
18.40,260.62,20.56,96.80
18.40,260.62,20.59,96.90
18.40,260.62,20.63,97.00
18.40,260.62,20.67,97.10
18.40,260.62,20.70,97.20
18.40,260.62,20.74,97.30
18.40,260.62,20.77,97.40
18.40,260.62,20.81,97.50
18.40,260.62,20.84,97.60
18.40,260.62,20.88,97.70
18.40,260.62,20.92,97.80
18.40,260.62,20.95,97.90
18.40,260.62,20.99,98.00
18.40,260.62,21.02,98.10
18.40,260.62,21.06,98.20
18.40,260.62,21.09,98.30
18.40,260.62,21.13,98.40
18.40,260.62,21.17,98.50
18.40,260.62,21.20,98.60
18.40,260.62,21.24,98.70
18.40,260.62,21.27,98.80
18.40,260.62,21.31,98.90
18.40,260.62,21.34,99.00
18.40,260.62,21.38,99.10
18.40,260.62,21.42,99.20
18.40,260.62,21.45,99.30
18.40,260.62,21.49,99.40
18.40,260.62,21.52,99.50
18.40,260.62,21.56,99.60
18.40,260.62,21.60,99.70
18.40,260.62,21.63,99.80
18.40,260.62,21.67,99.90
18.40,260.62,21.70,100.00
18.40,260.62,21.74,100.10
18.40,260.62,21.77,100.20
18.40,260.62,21.81,100.30
18.40,260.62,21.85,100.40
18.40,260.62,21.88,100.50
18.40,260.62,21.92,100.60
18.40,260.62,21.95,100.70
18.40,260.62,21.99,100.80
18.40,260.62,22.04,100.90
18.40,260.62,22.10,101.00
18.40,260.62,22.15,101.10
18.40,260.62,22.21,101.20
18.40,260.62,22.27,101.30
18.40,260.62,22.33,101.40
