dist,depth,unc,AAID
-5.00,7.42,4.46,0
-4.90,7.40,4.41,1
-4.80,7.38,4.36,2
-4.70,7.36,4.31,3
-4.60,7.34,4.27,4
-4.50,7.32,4.22,5
-4.40,7.30,4.17,6
-4.30,7.28,4.12,7
-4.20,7.26,4.07,8
-4.10,7.24,4.03,9
-4.00,7.22,3.98,10
-3.90,7.22,3.93,11
-3.80,7.21,3.87,12
-3.70,7.20,3.82,13
-3.60,7.19,3.76,14
-3.50,7.18,3.71,15
-3.40,7.17,3.66,16
-3.30,7.16,3.60,17
-3.20,7.15,3.55,18
-3.10,7.15,3.49,19
-3.00,7.14,3.44,20
-2.90,7.16,3.45,21
-2.80,7.17,3.45,22
-2.70,7.19,3.46,23
-2.60,7.21,3.47,24
-2.50,7.23,3.47,25
-2.40,7.25,3.48,26
-2.30,7.27,3.49,27
-2.20,7.28,3.49,28
-2.10,7.30,3.50,29
-2.00,7.32,3.51,30
-1.90,7.34,3.56,31
-1.80,7.35,3.62,32
-1.70,7.36,3.68,33
-1.60,7.38,3.73,34
-1.50,7.39,3.79,35
-1.40,7.40,3.85,36
-1.30,7.42,3.91,37
-1.20,7.43,3.96,38
-1.10,7.45,4.02,39
-1.00,7.46,4.08,40
-0.90,7.47,4.08,41
-0.80,7.47,4.08,42
-0.70,7.47,4.08,43
-0.60,7.48,4.08,44
-0.50,7.48,4.08,45
-0.40,7.49,4.08,46
-0.30,7.49,4.08,47
-0.20,7.50,4.08,48
-0.10,7.50,4.08,49
-0.00,7.51,4.08,50
0.10,7.52,4.11,51
0.20,7.53,4.14,52
0.30,7.54,4.17,53
0.40,7.55,4.21,54
0.50,7.56,4.24,55
0.60,7.57,4.27,56
0.70,7.58,4.30,57
0.80,7.59,4.33,58
0.90,7.60,4.36,59
1.00,7.61,4.39,60
1.10,7.60,4.39,61
1.20,7.60,4.39,62
1.30,7.59,4.39,63
1.40,7.58,4.38,64
1.50,7.57,4.38,65
1.60,7.56,4.38,66
1.70,7.56,4.38,67
1.80,7.55,4.38,68
1.90,7.54,4.38,69
2.00,7.53,4.38,70
2.10,7.52,4.38,71
2.20,7.52,4.37,72
2.30,7.51,4.37,73
2.40,7.50,4.37,74
2.50,7.49,4.36,75
2.60,7.49,4.36,76
2.70,7.48,4.36,77
2.80,7.47,4.35,78
2.90,7.46,4.35,79
3.00,7.46,4.35,80
3.10,7.46,4.36,81
3.20,7.47,4.38,82
3.30,7.47,4.39,83
3.40,7.48,4.41,84
3.50,7.48,4.42,85
3.60,7.49,4.44,86
3.70,7.49,4.45,87
3.80,7.50,4.47,88
3.90,7.51,4.48,89
4.00,7.51,4.50,90
4.10,7.51,4.50,91
4.20,7.51,4.51,92
4.30,7.51,4.52,93
4.40,7.51,4.52,94
4.50,7.51,4.53,95
4.60,7.51,4.53,96
4.70,7.50,4.54,97
4.80,7.50,4.55,98
4.90,7.50,4.55,99
5.00,7.50,4.56,100
5.10,7.50,4.56,101
5.20,7.50,4.57,102
5.30,7.50,4.57,103
5.40,7.50,4.58,104
5.50,7.50,4.58,105
5.60,7.50,4.59,106
5.70,7.50,4.60,107
5.80,7.50,4.60,108
5.90,7.50,4.61,109
6.00,7.50,4.61,110
6.10,7.50,4.63,111
6.20,7.51,4.65,112
6.30,7.51,4.68,113
6.40,7.51,4.70,114
6.50,7.52,4.72,115
6.60,7.52,4.74,116
6.70,7.52,4.76,117
6.80,7.53,4.78,118
6.90,7.53,4.80,119
7.00,7.53,4.83,120
7.10,7.53,4.85,121
7.20,7.53,4.87,122
7.30,7.52,4.89,123
7.40,7.52,4.91,124
7.50,7.52,4.93,125
7.60,7.51,4.95,126
7.70,7.51,4.97,127
7.80,7.51,4.99,128
7.90,7.50,5.01,129
8.00,7.50,5.03,130
8.10,7.50,5.02,131
8.20,7.49,5.02,132
8.30,7.49,5.02,133
8.40,7.48,5.01,134
8.50,7.48,5.01,135
8.60,7.47,5.00,136
8.70,7.47,5.00,137
8.80,7.46,5.00,138
8.90,7.46,4.99,139
9.00,7.45,4.99,140
9.10,7.44,5.01,141
9.20,7.44,5.03,142
9.30,7.43,5.05,143
9.40,7.42,5.07,144
9.50,7.41,5.09,145
9.60,7.41,5.11,146
9.70,7.40,5.13,147
9.80,7.39,5.15,148
9.90,7.38,5.17,149
10.00,7.38,5.19,150
10.10,7.37,5.17,151
10.20,7.37,5.16,152
10.30,7.36,5.14,153
10.40,7.36,5.12,154
10.50,7.36,5.10,155
10.60,7.35,5.08,156
10.70,7.35,5.06,157
10.80,7.34,5.04,158
10.90,7.34,5.03,159
11.00,7.33,5.01,160
11.10,7.34,5.02,161
11.20,7.35,5.03,162
11.30,7.35,5.04,163
11.40,7.36,5.06,164
11.50,7.37,5.07,165
11.60,7.37,5.08,166
11.70,7.38,5.09,167
11.80,7.39,5.10,168
11.90,7.39,5.12,169
12.00,7.40,5.13,170
12.10,7.41,5.14,171
12.20,7.43,5.16,172
12.30,7.44,5.18,173
12.40,7.46,5.19,174
12.50,7.47,5.21,175
12.60,7.49,5.23,176
12.70,7.50,5.24,177
12.80,7.52,5.26,178
12.90,7.53,5.28,179
13.00,7.55,5.29,180
13.10,7.55,5.29,181
13.20,7.55,5.28,182
13.30,7.55,5.28,183
13.40,7.55,5.27,184
13.50,7.55,5.27,185
13.60,7.56,5.27,186
13.70,7.56,5.26,187
13.80,7.56,5.26,188
13.90,7.56,5.25,189
14.00,7.56,5.25,190
14.10,7.57,5.25,191
14.20,7.58,5.26,192
14.30,7.58,5.26,193
14.40,7.59,5.26,194
14.50,7.60,5.27,195
14.60,7.61,5.27,196
14.70,7.62,5.28,197
14.80,7.62,5.28,198
14.90,7.63,5.28,199
15.00,7.64,5.29,200
15.10,7.66,5.30,201
15.20,7.67,5.31,202
15.30,7.69,5.32,203
15.40,7.71,5.33,204
15.50,7.72,5.34,205
15.60,7.74,5.35,206
15.70,7.76,5.36,207
15.80,7.77,5.37,208
15.90,7.79,5.38,209
16.00,7.81,5.40,210
16.10,7.81,5.40,211
16.20,7.81,5.41,212
16.30,7.82,5.41,213
16.40,7.82,5.42,214
16.50,7.82,5.43,215
16.60,7.82,5.43,216
16.70,7.83,5.44,217
16.80,7.83,5.44,218
16.90,7.83,5.45,219
17.00,7.83,5.45,220
17.10,7.85,5.45,221
17.20,7.86,5.44,222
17.30,7.87,5.44,223
17.40,7.89,5.43,224
17.50,7.90,5.43,225
17.60,7.91,5.42,226
17.70,7.93,5.42,227
17.80,7.94,5.41,228
17.90,7.95,5.41,229
18.00,7.96,5.40,230
18.10,7.97,5.40,231
18.20,7.97,5.39,232
18.30,7.97,5.39,233
18.40,7.98,5.38,234
18.50,7.98,5.37,235
18.60,7.98,5.37,236
18.70,7.99,5.36,237
18.80,7.99,5.36,238
18.90,7.99,5.35,239
19.00,7.99,5.35,240
19.10,8.01,5.33,241
19.20,8.02,5.32,242
19.30,8.04,5.31,243
19.40,8.05,5.29,244
19.50,8.06,5.28,245
19.60,8.08,5.27,246
19.70,8.09,5.26,247
19.80,8.11,5.24,248
19.90,8.12,5.23,249
20.00,8.13,5.22,250
20.10,8.14,5.23,251
20.20,8.15,5.24,252
20.30,8.16,5.26,253
20.40,8.17,5.27,254
20.50,8.18,5.28,255
20.60,8.19,5.29,256
20.70,8.20,5.31,257
20.80,8.20,5.32,258
20.90,8.21,5.33,259
21.00,8.22,5.35,260
21.10,8.23,5.33,261
21.20,8.23,5.32,262
21.30,8.23,5.30,263
21.40,8.24,5.29,264
21.50,8.24,5.27,265
21.60,8.25,5.26,266
21.70,8.25,5.25,267
21.80,8.26,5.23,268
21.90,8.26,5.22,269
22.00,8.26,5.20,270
22.10,8.26,5.20,271
22.20,8.26,5.20,272
22.30,8.25,5.19,273
22.40,8.25,5.19,274
22.50,8.25,5.19,275
22.60,8.24,5.18,276
22.70,8.24,5.18,277
22.80,8.24,5.18,278
22.90,8.24,5.17,279
23.00,8.23,5.17,280
23.10,8.25,5.20,281
23.20,8.27,5.23,282
23.30,8.29,5.26,283
23.40,8.32,5.29,284
23.50,8.34,5.32,285
23.60,8.36,5.35,286
23.70,8.38,5.39,287
23.80,8.40,5.42,288
23.90,8.42,5.45,289
24.00,8.44,5.48,290
24.10,8.45,5.48,291
24.20,8.45,5.49,292
24.30,8.46,5.49,293
24.40,8.46,5.50,294
24.50,8.47,5.51,295
24.60,8.47,5.51,296
24.70,8.48,5.52,297
24.80,8.49,5.52,298
24.90,8.49,5.53,299
25.00,8.50,5.54,300
25.10,8.49,5.53,301
25.20,8.48,5.52,302
