dist,depth,avlon,avlat
-3.0,-0.2,80.8,29.7
-2.9,-0.2,80.8,29.7
-2.8,-0.2,80.8,29.7
-2.7,-0.2,80.8,29.7
-2.6,-0.2,80.8,29.7
-2.5,-0.2,80.8,29.7
-2.4,-0.2,80.8,29.7
-2.3,-0.2,80.8,29.7
-2.2,-0.2,80.8,29.7
-2.1,-0.2,80.8,29.7
-2.0,-0.3,80.8,29.7
-1.9,-0.3,80.8,29.7
-1.8,-0.3,80.8,29.7
-1.7,-0.3,80.8,29.7
-1.6,-0.3,80.8,29.7
-1.5,-0.3,80.8,29.7
-1.4,-0.3,80.8,29.7
-1.3,-0.3,80.8,29.7
-1.2,-0.3,80.8,29.7
-1.1,-0.3,80.8,29.7
-1.0,-0.3,80.8,29.7
-0.9,-0.3,80.8,29.7
-0.8,-0.3,80.8,29.7
-0.7,-0.3,80.8,29.7
-0.6,-0.3,80.8,29.7
-0.5,-0.3,80.8,29.7
-0.4,-0.2,80.8,29.7
-0.3,-0.1,80.8,29.7
-0.2,-0.0,80.8,29.7
-0.1,0.1,80.8,29.7
0.0,0.2,80.8,29.7
0.1,0.3,80.8,29.7
0.2,0.4,80.8,29.7
0.3,0.5,80.8,29.7
0.4,0.6,80.8,29.7
0.5,0.7,80.8,29.7
0.6,0.8,80.8,29.7
0.7,0.9,80.8,29.7
0.8,1.0,80.8,29.7
0.9,1.1,80.8,29.7
1.0,1.2,80.8,29.7
1.1,1.3,80.8,29.7
1.2,1.7,80.8,29.7
1.3,1.6,80.8,29.7
1.4,1.5,80.8,29.7
1.5,1.4,80.8,29.7
1.6,1.3,80.8,29.7
1.7,1.2,80.8,29.7
1.8,1.1,80.8,29.7
1.9,1.1,80.8,29.7
2.0,1.1,80.8,29.7
2.1,1.0,80.8,29.7
2.2,1.0,80.8,29.7
2.3,0.9,80.8,29.7
2.4,0.9,80.8,29.7
2.5,0.9,80.8,29.7
2.6,0.9,80.8,29.7
2.7,1.0,80.8,29.7
2.8,1.1,80.8,29.7
2.9,1.1,80.8,29.7
3.0,1.2,80.8,29.7
3.1,1.3,80.8,29.7
3.2,1.3,80.8,29.7
3.3,1.5,80.8,29.7
3.4,1.6,80.8,29.7
3.5,1.8,80.8,29.7
3.6,2.0,80.8,29.7
3.7,2.2,80.8,29.7
3.8,2.6,80.8,29.7
3.9,2.6,80.8,29.7
4.0,2.5,80.8,29.7
4.1,2.5,80.8,29.7
4.2,2.5,80.8,29.7
4.3,2.5,80.8,29.7
4.4,2.4,80.8,29.7
4.5,2.4,80.8,29.7
4.6,2.4,80.8,29.7
4.7,2.4,80.8,29.7
4.8,2.3,80.8,29.7
4.9,2.3,80.8,29.7
5.0,2.3,80.8,29.7
5.1,2.2,80.8,29.7
5.2,2.2,80.8,29.7
5.3,2.2,80.8,29.7
5.4,2.2,80.8,29.7
5.5,2.1,80.8,29.7
5.6,2.1,80.8,29.7
5.7,2.4,80.8,29.7
5.8,2.7,80.8,29.7
5.9,2.9,80.8,29.7
6.0,3.2,80.8,29.7
6.1,3.5,80.8,29.7
6.2,3.7,80.8,29.7
6.3,3.7,80.8,29.7
6.4,3.5,80.8,29.7
6.5,3.3,80.8,29.7
6.6,3.1,80.8,29.7
6.7,2.9,80.8,29.7
6.8,2.7,80.8,29.7
6.9,3.6,80.8,29.7
7.0,3.7,80.8,29.7
7.1,3.7,80.8,29.7
7.2,3.7,80.8,29.7
7.3,3.7,80.8,29.7
7.4,3.7,80.8,29.7
7.5,3.7,80.8,29.7
7.6,3.7,80.8,29.7
7.7,3.7,80.8,29.7
7.8,3.7,80.8,29.7
7.9,3.7,80.8,29.7
8.0,3.7,80.8,29.7
8.1,3.7,80.8,29.7
8.2,3.7,80.8,29.7
8.3,3.7,80.8,29.7
8.4,3.7,80.8,29.7
8.5,3.7,80.8,29.7
8.6,3.7,80.8,29.7
8.7,3.8,80.8,29.7
8.8,3.8,80.8,29.7
8.9,3.8,80.8,29.7
9.0,3.8,80.8,29.7
9.1,3.8,80.8,29.7
9.2,3.8,80.8,29.7
9.3,3.8,80.8,29.7
9.4,3.8,80.8,29.7
9.5,3.9,80.8,29.7
9.6,3.9,80.8,29.7
9.7,3.9,80.8,29.7
9.8,4.1,80.8,29.7
9.9,4.2,80.8,29.7
10.0,4.3,80.8,29.7
10.1,4.4,80.8,29.7
10.2,4.5,80.8,29.7
