lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
5.154,125.835,112.000,15.000,EQ,5.000,1973-07-14 05:19:57.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100365,92217
5.406,125.753,134.000,15.000,EQ,5.100,1973-10-01 13:41:57.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100366,92217
5.227,125.313,290.000,15.000,EQ,4.200,1975-05-09 19:08:18.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100371,92217
5.022,125.376,196.200,15.000,EQ,4.300,2000-05-11 22:51:13.160,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100885,92217
5.345,125.633,156.000,15.000,EQ,4.900,1978-12-12 16:34:02.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100374,92217
5.121,125.841,125.600,15.000,EQ,5.100,2000-06-08 00:41:28.210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100887,92217
5.260,125.736,200.000,15.000,EQ,4.600,2002-09-10 07:26:55.820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100893,92217
5.396,125.470,222.500,15.000,EQ,4.400,2002-10-02 21:52:43.780,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100894,92217
5.442,125.711,102.500,15.000,EQ,4.600,2002-12-10 13:08:06.280,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100897,92217
5.104,125.646,195.800,15.000,EQ,4.700,2003-01-22 11:06:02.820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100898,92217
5.318,125.317,209.300,15.000,EQ,4.800,2003-08-08 15:21:23.070,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100901,92217
5.477,125.613,145.000,15.000,EQ,4.400,2004-04-28 10:49:24.150,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100904,92217
5.208,125.298,174.300,15.000,EQ,5.000,2004-07-25 17:28:37.320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100905,92217
4.451,124.821,250.000,15.000,EQ,4.300,2005-07-08 22:46:14.750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100977,92217
4.302,124.602,330.800,15.000,EQ,4.300,2006-02-17 20:44:03.390,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100980,92217
4.452,124.903,351.400,15.000,EQ,3.300,2006-04-29 22:18:46.870,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100981,92217
4.442,124.779,350.000,15.000,EQ,4.100,2006-08-08 14:57:52.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100982,92217
4.410,124.652,320.500,15.000,EQ,4.600,2006-08-13 06:37:51.680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100983,92217
4.437,124.540,384.700,15.000,EQ,4.900,2007-08-20 15:49:29.670,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100991,92217
4.645,124.921,129.400,15.000,EQ,4.000,2007-11-15 22:56:41.710,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100993,92217
4.799,124.567,366.700,15.000,EQ,4.100,2008-04-30 19:55:09.880,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100995,92217
4.745,125.263,301.900,15.000,EQ,4.300,2005-05-05 10:32:59.940,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100996,92217
4.945,125.332,247.500,15.000,EQ,4.500,2006-12-28 08:08:12.160,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101001,92217
