lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
1.589,128.505,71.800,15.000,EQ,4.500,1995-07-03 12:28:34.980,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107008,51817
1.821,128.256,59.400,15.000,EQ,4.900,1995-10-08 08:17:02.280,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107009,51817
1.385,128.235,87.100,15.000,EQ,4.700,1998-11-01 13:38:05.150,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107010,51817
1.462,128.184,99.000,15.000,EQ,4.500,1999-02-05 05:11:32.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107011,51817
1.687,128.562,67.400,15.000,EQ,3.900,1999-04-06 17:59:20.330,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107012,51817
2.365,128.282,83.340,15.000,EQ,4.100,2017-02-16 18:09:28.530,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110080,51817
2.118,128.610,88.300,15.000,EQ,4.500,2005-05-09 19:42:26.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103936,51817
1.610,128.558,53.100,15.000,EQ,5.000,2015-09-29 17:50:14.500,59.621,49.549,294.456,26.153,69.805,31.815,334.565,181.810,76.914,-119.260,101385,51817
2.299,128.142,141.800,15.000,EQ,6.500,1989-07-22 05:02:11.510,331.498,3.643,215.187,81.827,248.348,49.080,99.690,53.737,41.854,79.011,100361,51817
1.883,128.251,113.800,15.000,EQ,5.800,1989-08-06 06:36:29.160,200.243,5.090,43.303,84.470,287.861,39.955,86.644,112.236,50.128,92.808,100363,51817
1.812,128.320,88.180,15.000,EQ,5.100,2015-10-14 02:47:07.760,203.040,19.314,325.683,56.987,328.261,34.227,140.329,92.701,68.957,62.362,101387,51817
2.133,128.306,173.500,15.000,EQ,4.400,2006-01-14 00:42:08.060,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103948,51817
2.309,128.353,149.600,15.000,EQ,4.900,2005-12-25 16:28:48.110,5.590,7.844,116.532,68.922,116.876,40.861,120.570,258.885,55.716,66.253,100877,51817
2.245,128.311,173.400,15.000,EQ,4.700,2006-03-06 02:00:21.290,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103951,51817
2.077,128.628,62.900,15.000,EQ,3.900,1981-09-06 22:53:20.910,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,108965,51817
0.931,128.476,37.120,15.000,EQ,4.000,2014-06-05 14:47:33.870,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102418,51817
2.296,128.267,125.900,15.000,EQ,5.200,2002-03-28 00:50:19.470,218.344,41.480,2.148,42.390,18.995,19.079,178.535,110.379,89.521,70.927,100743,51817
2.273,128.389,87.600,15.000,EQ,4.900,1992-04-07 06:12:40.600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107263,51817
